# 実 Excel 16.0 の ★組み込みの セルの スタイル 47個★ 2026-08-31
# 取り方: 新規の 空ブックで ★スタイルを 1つずつ ★別のセル★に 当てて 読む★
#   ★同じセルを 使い回すと 前の 書式が 残る★（2026-08-31 実際に 踏んだ）
#   Style を そのまま 読むと 「自動」の 扱いが 違うので ★当てた 結果が 真値★
# 色は Excel の 並び（BGR）。R=c&255 / G=(c>>8)&255 / B=(c>>16)&255
# LineStyle: -4142=無し / 1=一本線 / -4119=二重線　Weight: 1=極細 2=細 -4138=中 4=太
# 司さんの 実物は 1つも 開いていない・保存していない・VBAは 動かしていない
name	fontColor	bold	italic	size	fontName	fill	numFmt	bTop	bBottom	bLeft	bRight	bTopW	bBottomW
20% - アクセント 1	0	False	False	11	游ゴシック	16115392	G/標準	-4142	-4142	-4142	-4142	2	2
20% - アクセント 2	0	False	False	11	游ゴシック	14017275	G/標準	-4142	-4142	-4142	-4142	2	2
20% - アクセント 3	0	False	False	11	游ゴシック	13168833	G/標準	-4142	-4142	-4142	-4142	2	2
20% - アクセント 4	0	False	False	11	游ゴシック	16510410	G/標準	-4142	-4142	-4142	-4142	2	2
20% - アクセント 5	0	False	False	11	游ゴシック	15716082	G/標準	-4142	-4142	-4142	-4142	2	2
20% - アクセント 6	0	False	False	11	游ゴシック	13693658	G/標準	-4142	-4142	-4142	-4142	2	2
40% - アクセント 1	0	False	False	11	游ゴシック	15453315	G/標準	-4142	-4142	-4142	-4142	2	2
40% - アクセント 2	0	False	False	11	游ゴシック	11323383	G/標準	-4142	-4142	-4142	-4142	2	2
40% - アクセント 3	0	False	False	11	游ゴシック	9364099	G/標準	-4142	-4142	-4142	-4142	2	2
40% - アクセント 4	0	False	False	11	游ゴシック	16309396	G/標準	-4142	-4142	-4142	-4142	2	2
40% - アクセント 5	0	False	False	11	游ゴシック	14524132	G/標準	-4142	-4142	-4142	-4142	2	2
40% - アクセント 6	0	False	False	11	游ゴシック	10675893	G/標準	-4142	-4142	-4142	-4142	2	2
60% - アクセント 1	0	False	False	11	游ゴシック	14791492	G/標準	-4142	-4142	-4142	-4142	2	2
60% - アクセント 2	0	False	False	11	游ゴシック	8628721	G/標準	-4142	-4142	-4142	-4142	2	2
60% - アクセント 3	0	False	False	11	游ゴシック	5886791	G/標準	-4142	-4142	-4142	-4142	2	2
60% - アクセント 4	0	False	False	11	游ゴシック	15977313	G/標準	-4142	-4142	-4142	-4142	2	2
60% - アクセント 5	0	False	False	11	游ゴシック	13463000	G/標準	-4142	-4142	-4142	-4142	2	2
60% - アクセント 6	0	False	False	11	游ゴシック	7592334	G/標準	-4142	-4142	-4142	-4142	2	2
アクセント 1	16777215	False	False	11	游ゴシック	8544277	G/標準	-4142	-4142	-4142	-4142	2	2
アクセント 2	16777215	False	False	11	游ゴシック	3305961	G/標準	-4142	-4142	-4142	-4142	2	2
アクセント 3	16777215	False	False	11	游ゴシック	2386713	G/標準	-4142	-4142	-4142	-4142	2	2
アクセント 4	16777215	False	False	11	游ゴシック	13999631	G/標準	-4142	-4142	-4142	-4142	2	2
アクセント 5	16777215	False	False	11	游ゴシック	9644960	G/標準	-4142	-4142	-4142	-4142	2	2
アクセント 6	16777215	False	False	11	游ゴシック	3057486	G/標準	-4142	-4142	-4142	-4142	2	2
タイトル	4270094	False	False	18	游ゴシック Light		G/標準	-4142	-4142	-4142	-4142	2	2
チェック セル	16777215	True	False	11	游ゴシック	10855845	G/標準	-4119	-4119	-4119	-4119	4	4
どちらでもない	22428	False	False	11	游ゴシック	10284031	G/標準	-4119	-4142	-4142	-4142	4	2
Percent	0	False	False	11	游ゴシック		0%	-4142	-4142	-4142	-4142	2	2
メモ	0	False	False	11	游ゴシック	13434879	G/標準	1	1	1	1	2	2
リンク セル	32250	False	False	11	游ゴシック		G/標準	1	-4119	-4142	-4142	2	4
悪い	393372	False	False	11	游ゴシック	13551615	G/標準	-4119	-4142	-4142	-4142	4	2
計算	32250	True	False	11	游ゴシック	15921906	G/標準	1	1	1	1	2	2
警告文	255	False	False	11	游ゴシック		G/標準	1	-4142	-4142	-4142	2	2
Comma [0]	0	False	False	11	游ゴシック		#,##0;[赤]-#,##0	-4142	-4142	-4142	-4142	2	2
Comma	0	False	False	11	游ゴシック		#,##0.00;[赤]-#,##0.00	-4142	-4142	-4142	-4142	2	2
見出し 1	4270094	True	False	15	游ゴシック		G/標準	-4142	1	-4142	-4142	2	4
見出し 2	4270094	True	False	13	游ゴシック		G/標準	1	1	-4142	-4142	4	4
見出し 3	4270094	True	False	11	游ゴシック		G/標準	1	1	-4142	-4142	4	-4138
見出し 4	4270094	True	False	11	游ゴシック		G/標準	1	-4142	-4142	-4142	-4138	2
集計	0	True	False	11	游ゴシック		G/標準	1	-4119	-4142	-4142	2	4
出力	4144959	True	False	11	游ゴシック	15921906	G/標準	-4119	1	1	1	4	2
説明文	8355711	False	True	11	游ゴシック		G/標準	1	-4142	-4142	-4142	2	2
Currency [0]	0	False	False	11	游ゴシック		¥#,##0;[赤]¥-#,##0	-4142	-4142	-4142	-4142	2	2
Currency	0	False	False	11	游ゴシック		¥#,##0.00;[赤]¥-#,##0.00	-4142	-4142	-4142	-4142	2	2
入力	7749439	False	False	11	游ゴシック	10079487	G/標準	1	1	1	1	2	2
Normal	0	False	False	11	游ゴシック		G/標準	1	-4142	-4142	-4142	2	2
良い	24832	False	False	11	游ゴシック	13561798	G/標準	-4142	-4142	-4142	-4142	2	2
