# 実Excel 16.0 の ★キーの 割り当て（Alt の 順番・ショートカット）★ 2026-08-30
# 取り方: UI Automation の AccessKey / AcceleratorKey（新規ブック・保存なし・読むだけ）
# 列: タブ / 部品 / AccessKey(Altの順) / AcceleratorKey(Ctrl等) / 説明の1行目
ホーム	ファイル タブ	Alt, F		
ホーム	ホーム	Alt, H		
ホーム	挿入	Alt, N		
ホーム	描画	Alt, J I		
ホーム	ページ レイアウト	Alt, P		
ホーム	数式	Alt, M		
ホーム	データ	Alt, A		
ホーム	校閲	Alt, R		
ホーム	表示	Alt, W		
ホーム	自動化	Alt, U		
ホーム	開発	Alt, L		
ホーム	ヘルプ	Alt, Y		
ホーム	コメント	Alt, Z C		
ホーム	共有	Alt, Z S		
ホーム	貼り付け	Alt, H, V		
ホーム	その他のオプション	Alt, H, V		
ホーム	切り取り	Alt, H, X	Ctrl+X	
ホーム	コピー	Alt, H, C		
ホーム	その他のオプション	Alt, H, C		
ホーム	書式のコピー/貼り付け	Alt, H, F P		
ホーム	Office クリップボード...	Alt, H, F O		
ホーム	フォント	Alt, H, F F		
ホーム	フォント	Alt, H, F F		
ホーム	フォント サイズ	Alt, H, F S		
ホーム	フォント サイズ	Alt, H, F S		
ホーム	フォント サイズの拡大	Alt, H, F G		
ホーム	フォント サイズの縮小	Alt, H, F K		
ホーム	太字	Alt, H, 1	Ctrl+B	
ホーム	斜体	Alt, H, 2	Ctrl+I	
ホーム	下線	Alt, H, 3		
ホーム	その他のオプション	Alt, H, 3		
ホーム	罫線	Alt, H, B		
ホーム	その他のオプション	Alt, H, B		
ホーム	塗りつぶしの色	Alt, H, H		
ホーム	その他のオプション	Alt, H, H		
ホーム	フォントの色	Alt, H, F C		
ホーム	その他のオプション	Alt, H, F C		
ホーム	ふりがなの表示	Alt, H, G		
ホーム	その他のオプション	Alt, H, G		
ホーム	セルのフォントの設定	Alt, H, F N	Ctrl+Shift+F	
ホーム	上揃え	Alt, H, A T		
ホーム	上下中央揃え	Alt, H, A M		
ホーム	下揃え	Alt, H, A B		
ホーム	方向	Alt, H, F Q		
ホーム	左揃え	Alt, H, A L		
ホーム	中央揃え	Alt, H, A C		
ホーム	右揃え	Alt, H, A R		
ホーム	インデントを減らす	Alt, H, 5		
ホーム	インデントを増やす	Alt, H, 6		
ホーム	折り返して全体を表示する	Alt, H, W		
