# ★台が 持つ 名前の 全部★（2026-09-20）
# ★何を★ ... lib/shiki-kansuu.js の `NAME: function` ＋ lib/shiki-tsunagi.js の `'NAME': function`
# ★どこを★ ... この 2本だけ（★皮 lib/formula-extra-plug.js は 数えて いません★）
# ★全部で 376個★
# 欄 ... 名前 / 名簿(XLFN)に在るか / 紙で聞いたか / LAMBDAの一族か
#
名前	名簿	聞いた	LAMBDA族
ABS	無い	まだ	
ACOS	無い	まだ	
ACOSH	無い	まだ	
ACOT	在る	まだ	
ACOTH	在る	まだ	
ADDRESS	無い	まだ	
AGGREGATE	在る	聞いた	
AND	無い	まだ	
ARABIC	在る	まだ	
AREAS	無い	まだ	
ARRAYTOTEXT	在る	聞いた	
ASC	無い	聞いた	
ASIN	無い	まだ	
ASINH	無い	まだ	
ATAN	無い	まだ	
ATAN2	無い	まだ	
ATANH	無い	まだ	
AVEDEV	無い	まだ	
AVERAGE	無い	まだ	
AVERAGEA	無い	まだ	
AVERAGEIF	無い	まだ	
AVERAGEIFS	無い	聞いた	
BAHTTEXT	無い	聞いた	
BASE	在る	まだ	
BETADIST	無い	まだ	
BETAINV	無い	まだ	
BIN2DEC	無い	まだ	
BIN2HEX	無い	まだ	
BIN2OCT	無い	まだ	
BINOMDIST	無い	まだ	
BITAND	在る	まだ	
BITLSHIFT	在る	まだ	
BITOR	在る	まだ	
BITRSHIFT	在る	まだ	
BITXOR	在る	まだ	
BYCOL	無い	聞いた	そう
BYROW	無い	聞いた	そう
CEILING	無い	まだ	
CHAR	無い	まだ	
CHIDIST	無い	まだ	
CHIINV	無い	まだ	
CHITEST	無い	まだ	
CHOOSE	無い	まだ	
CHOOSECOLS	在る	聞いた	
CHOOSEROWS	在る	聞いた	
CLEAN	無い	まだ	
CODE	無い	まだ	
COLUMN	無い	まだ	
COLUMNS	無い	まだ	
COMBIN	無い	まだ	
COMBINA	在る	まだ	
COMPLEX	無い	まだ	
CONCAT	在る	まだ	
CONCATENATE	無い	聞いた	
CONFIDENCE	無い	まだ	
CORREL	無い	まだ	
COS	無い	まだ	
COSH	無い	まだ	
COT	在る	まだ	
COTH	在る	まだ	
COUNT	無い	まだ	
COUNTA	無い	まだ	
COUNTBLANK	無い	まだ	
COUNTIF	無い	まだ	
COUNTIFS	無い	まだ	
COVAR	無い	まだ	
CRITBINOM	無い	まだ	
CSC	在る	まだ	
CSCH	在る	まだ	
CUMIPMT	無い	まだ	
CUMPRINC	無い	まだ	
DATE	無い	まだ	
DATEDIF	無い	まだ	
DATEVALUE	無い	まだ	
DAVERAGE	無い	まだ	
DAY	無い	まだ	
DAYS	在る	まだ	
DAYS360	無い	まだ	
DB	無い	まだ	
DBCS	無い	聞いた	
DCOUNT	無い	まだ	
DCOUNTA	無い	まだ	
DDB	無い	まだ	
DEC2BIN	無い	まだ	
DEC2HEX	無い	まだ	
DEC2OCT	無い	まだ	
DECIMAL	在る	まだ	
DEGREES	無い	まだ	
DELTA	無い	まだ	
DEVSQ	無い	まだ	
DGET	無い	まだ	
DMAX	無い	まだ	
DMIN	無い	まだ	
DOLLAR	無い	聞いた	
DOLLARDE	無い	まだ	
DOLLARFR	無い	まだ	
DPRODUCT	無い	まだ	
DROP	在る	聞いた	
DSTDEV	無い	まだ	
DSTDEVP	無い	まだ	
DSUM	無い	まだ	
DVAR	無い	まだ	
DVARP	無い	まだ	
EDATE	無い	まだ	
EFFECT	無い	まだ	
ENCODEURL	在る	聞いた	
EOMONTH	無い	まだ	
ERF	無い	まだ	
ERFC	無い	まだ	
EVEN	無い	まだ	
EXACT	無い	まだ	
EXP	無い	まだ	
EXPAND	在る	聞いた	
EXPONDIST	無い	まだ	
FACT	無い	まだ	
FACTDOUBLE	無い	まだ	
FALSE	無い	まだ	
FDIST	無い	まだ	
FILTER	在る	聞いた	
FIND	無い	まだ	
FINV	無い	まだ	
FISHER	無い	まだ	
FISHERINV	無い	まだ	
FIXED	無い	聞いた	
FLOOR	無い	まだ	
FORECAST	無い	聞いた	
FORMULATEXT	無い	聞いた	
FREQUENCY	無い	まだ	
FTEST	無い	まだ	
FV	無い	まだ	
FVSCHEDULE	無い	まだ	
GAMMA	在る	まだ	
GAMMADIST	無い	まだ	
GAMMAINV	無い	まだ	
GAMMALN	無い	まだ	
GAUSS	在る	まだ	
GCD	無い	まだ	
GEOMEAN	無い	まだ	
GESTEP	無い	まだ	
HARMEAN	無い	まだ	
HEX2BIN	無い	まだ	
HEX2DEC	無い	まだ	
HEX2OCT	無い	まだ	
HLOOKUP	無い	まだ	
HOUR	無い	まだ	
HSTACK	在る	まだ	
HYPERLINK	無い	まだ	
HYPGEOMDIST	無い	まだ	
IF	無い	まだ	
IFERROR	無い	まだ	
IFNA	在る	まだ	
IFS	在る	まだ	
IMABS	無い	まだ	
IMAGINARY	無い	まだ	
IMARGUMENT	無い	まだ	
IMCONJUGATE	無い	まだ	
IMCOS	無い	まだ	
IMCOSH	在る	まだ	
IMCOT	在る	まだ	
IMCSC	在る	まだ	
IMCSCH	在る	まだ	
IMDIV	無い	まだ	
IMEXP	無い	まだ	
IMLN	無い	まだ	
IMLOG10	無い	まだ	
IMLOG2	無い	まだ	
IMPOWER	無い	まだ	
IMPRODUCT	無い	まだ	
IMREAL	無い	まだ	
IMSEC	在る	まだ	
IMSECH	在る	まだ	
IMSIN	無い	まだ	
IMSINH	在る	まだ	
IMSQRT	無い	まだ	
IMSUB	無い	まだ	
IMSUM	無い	まだ	
IMTAN	在る	まだ	
INDEX	無い	まだ	
