# ★1900年の あたり と 日付・時刻の 字を 実Excel に 聞いた★（2026-09-15・経営者1）
#
# ★測った年 … 2026年★（★"1-2" の 行は 年が 補われる＝★来年 変わる★）
# ★どの Excel か … 版 16.0 ／ build 20326★（出た字 そのまま）
# ★読み方 … 式は .Formula ／ 答えは ★.Value2★（.Text では ない）／型も 隣に★
#
# ★★「字を 数に する」道は 1本では ない★★
#   直に 書いた 字（AVERAGE 等） … ★24時間を 日数に 繰り上げる★  "24:00" → 1
#   TIMEVALUE                  … ★24時間を 切り捨てる★        "24:00" → 0
#   DATEVALUE                  … 日付だけ
#   ⇒ ★どの道で 読んだかを 必ず 見る★
#
# ★誤りの 数 -2146826273 は #VALUE!★（2015＝xlErrValue／COM Value2 = -2146828288 + XlCVError）
#
# ★★この紙は 実Excel の 答えだけ★★＝★うちの 答えは 1つも 入れていません★
#   （答えの列に うちの 答えを 混ぜると、次に 読む 人が 真値と 読む＝2026-09-14 に 実際に 踏んだ）
#   ★2026-09-15 時点の うちとの 違い（参考・この紙の 外の 話）★
#     日から数(1900,1,1)=3 ／ ★実Excel 1★     日から数(1900,2,28)=61 ／ ★実Excel 59★
#     数から日(60)=1900-03-01 ／ ★実Excel 1900-02-29★
#     日から数(1900,3,1)=61 ／ 実Excel 61 ＝★3月以降は 一致★
#
# 式	実Excel の 答え(.Value2)	型
=TEXT(60,"yyyy-mm-dd")	1900-02-29	String
=DATE(1900,1,1)	1	Double
=TEXT(1,"yyyy-mm-dd")	1900-01-01	String
=TEXT(59,"yyyy-mm-dd")	1900-02-28	String
=TEXT(61,"yyyy-mm-dd")	1900-03-01	String
=TEXT(62,"yyyy-mm-dd")	1900-03-02	String
=DATE(1900,2,28)	59	Double
=DATE(1900,3,1)	61	Double
=DATEVALUE("1900-01-01")	1	Double
=DAY(60)	29	Double
=AVERAGE("24:00")	1	Double
=AVERAGE("0000-01-01")	-2146826273	Int32
=AVERAGE("1900-01-01")	1	Double
=AVERAGE("1900-02-29")	60	Double
=AVERAGE("1-2")	46024	Double
=AVERAGE("12:3")	0.502083333333333	Double
=AVERAGE("12:30")	0.520833333333333	Double
=AVERAGE("2024-01-01")	45292	Double
=AVERAGE("1/2")	46024	Double
=AVERAGE("13:00:00")	0.541666666666667	Double
=AVERAGE("25:00")	1.04166666666667	Double
=AVERAGE("abc")	-2146826273	Int32
=DATEVALUE("1900-01-01")	1	Double
=DATEVALUE("2024-01-01")	45292	Double
=DATEVALUE("1-2")	46024	Double
=DATEVALUE("0000-01-01")	-2146826273	Int32
=DATEVALUE("1900-02-29")	60	Double
=TIMEVALUE("24:00")	0	Double
=TIMEVALUE("12:30")	0.520833333333333	Double
=TIMEVALUE("12:3")	0.502083333333333	Double
=TIMEVALUE("25:00")	0.0416666666666667	Double
=TIMEVALUE("13:00:00")	0.541666666666667	Double
