# ★実Excel が 作った ファイルの「正解」★（2026-09-11）
#
# ★向き★ … ★Excel が 書いた 物を うちで 開く★（★今日まで 一度も 測って いません★）
#   ①実Excel に 打たせて 答えを 合わせる … やって いた
#   ②うちが 書いた 物を Excel で 開き直す … 2026-09-10 に 足した
#   ③★Excel が 書いた 物を うちで 開く★ … ★これ★
#
# ★3つ とも 見る★ ①式(.Formula2) ②出る字(.Text) ③答え(.Value2)
#
# ★どの Excel か★ … 版 16.0 ／ build 20326
# ★作った ファイル★ … excel-kara-2026-09-11.xlsx
#
# マス	入れた 物	実Excel の 式	出る字	答え	何を 見て いるか
D1	=XIRR(A1:A3,B1:B3)	=XIRR(A1:A3,B1:B3)	1.001193	1.00119332075119	お金の 利回り
D2	=MIRR(A1:A3,0.1,0.12)	=MIRR(A1:A3,0.1,0.12)	17%	0.17132403714770583	お金の 利回り
D3	=XNPV(0.1,A1:A3,B1:B3)	=XNPV(0.1,A1:A3,B1:B3)	253.4217	253.4216596369007	お金の 今の 値
D4	=1/3	=1/3	0.333333	0.3333333333333333	割り切れない 数の 出る字
D5	=206800/1.1	=206800/1.1	188000	187999.99999999997	税抜き
D6	=1.64E-14	=0.0000000000000164	1.64E-14	1.64E-14	とても 小さい 数
G1	=SORT(E1:E5)	=SORT(E1:E5)	1	1	溢れ（並べ替え）
H1	=UNIQUE(E1:E5)	=UNIQUE(E1:E5)	3	3	溢れ（重なりを 取る）
I1	=SEQUENCE(3)	=SEQUENCE(3)	1	1	溢れ（数を 並べる）
J1	=TEXT(E1,"#,##0.00")	=TEXT(E1,"#,##0.00")	3.00	3.00	書式の 字
K1	=TODAY()-TODAY()	=TODAY()-TODAY()	0	0	日付の 引き算（0 に なる）
G2	(溢れた 先)		1	1	溢れの 先
G3	(溢れた 先)		3	3	溢れの 先
H2	(溢れた 先)		1	1	溢れの 先（重なりを 取る）
I2	(溢れた 先)		2	2	溢れの 先（数を 並べる）
A5	1234567.891 ＋ #,##0.00	1234567.891	####	1234567.891	桁区切りの 書式（★列は 狭い★）
A6	0.1234 ＋ 0.0%	0.1234	12.3%	0.1234	割合の 書式（★列は 狭い★）
A8	100000	100000	####	100000	★狭い 列＝##### に なるか★
C8	むすんだ マス	むすんだ マス	むすんだ マス	むすんだ マス	結合した マス
