# ★古い 紙（2026-09-08）を 今の 道（Formula2）で 打ち直した★（67）（2026-09-21）
# ★元の 紙★ ... docs/measured/kansuu46/golden-346-2026-09-08.tsv
# ★★元の 紙は `.Formula`（昔の 道＝溢れない）で 取られて います★★（kansuu46 の 道具 21本とも）
# ★盤面★ A1:A5=1,2,3,4,5 ／ B1:B5=2,4,6,8,10 ／ D1=2024/1/1 ／ D2=2026/1/1
# ★置き場★ H列・行1 から 10行 おき
# ★どの Excel か★ ... 版 16.0 ／ build 20326
# ★どの 貝殻か★ ... PowerShell 5.1.26100.9278
# 名前	式	昔の 答え	実Excel（今の 道＝Formula2）	埋まった数	判じ
ABS	=ABS(A1:A5)	1	1	5	onaji
ABS	=ABS(B1:B5)	2	2	5	onaji
ACOS	=ACOS(A1:A5)	0	0	5	onaji
ACOSH	=ACOSH(A1:A5)	0	0	5	onaji
ACOSH	=ACOSH(B1:B5)	1.3169578969248166	1.3169578969248166	5	onaji
ACOT	=ACOT(A1:A5)	0.78539816339744828	0.78539816339744828	5	onaji
ACOT	=ACOT(B1:B5)	0.46364760900080609	0.46364760900080609	5	onaji
ACOTH	=ACOTH(B1:B5)	0.54930614433405489	0.54930614433405489	5	onaji
ADDRESS	=ADDRESS(A1:A5,B1:B5)	$B$1	$B$1	5	onaji
ADDRESS	=ADDRESS(A1:A5,2)	$B$1	$B$1	5	onaji
ADDRESS	=ADDRESS(A1:A5,2,3)	$B1	$B1	5	onaji
ADDRESS	=ADDRESS(A1:A5,A1)	$A$1	$A$1	5	onaji
ADDRESS	=ADDRESS(A1:A5,1,B1:B5,1)	A$1	A$1	5	onaji
ADDRESS	=ADDRESS(A1:A5,B1:B5,1)	$B$1	$B$1	5	onaji
ASIN	=ASIN(A1:A5)	1.5707963267948966	1.5707963267948966	5	onaji
ASINH	=ASINH(A1:A5)	0.88137358701954294	0.88137358701954294	5	onaji
ASINH	=ASINH(B1:B5)	1.4436354751788103	1.4436354751788103	5	onaji
ATAN	=ATAN(A1:A5)	0.78539816339744828	0.78539816339744828	5	onaji
ATAN	=ATAN(B1:B5)	1.1071487177940904	1.1071487177940904	5	onaji
ATAN2	=ATAN2(A1:A5,B1:B5)	1.1071487177940904	1.1071487177940904	5	onaji
ATAN2	=ATAN2(A1:A5,2)	1.1071487177940904	1.1071487177940904	5	onaji
ATAN2	=ATAN2(A1:A5,A1)	0.78539816339744828	0.78539816339744828	5	onaji
AVEDEV	=AVEDEV(A1:A5)	1.2	1.2	1	onaji
AVEDEV	=AVEDEV(B1:B5)	2.4	2.4	1	onaji
AVEDEV	=AVEDEV(A1:B5)	2.2	2.2	1	onaji
AVEDEV	=AVEDEV(A1:A5,B1:B5)	2.2	2.2	1	onaji
AVEDEV	=AVEDEV(A1:A5,2)	1.1666666666666667	1.1666666666666667	1	onaji
AVEDEV	=AVEDEV(A1:A5,2,3)	1.0204081632653061	1.0204081632653061	1	onaji
AVEDEV	=AVEDEV(A1:B5,2,FALSE)	2.2500000000000004	2.2500000000000004	1	onaji
AVEDEV	=AVEDEV(A1:A5,A1)	1.3333333333333333	1.3333333333333333	1	onaji
AVEDEV	=AVEDEV(A1:A5,1,B1:B5,1)	2.2500000000000004	2.2500000000000004	1	onaji
AVEDEV	=AVEDEV(A1:A5,B1:B5,1)	2.2314049586776861	2.2314049586776861	1	onaji
AVERAGE	=AVERAGE(A1:A5)	3	3	1	onaji
AVERAGE	=AVERAGE(B1:B5)	6	6	1	onaji
AVERAGE	=AVERAGE(A1:B5)	4.5	4.5	1	onaji
AVERAGE	=AVERAGE(A1:A5,B1:B5)	4.5	4.5	1	onaji
AVERAGE	=AVERAGE(A1:A5,2)	2.8333333333333335	2.8333333333333335	1	onaji
AVERAGE	=AVERAGE(A1:A5,2,3)	2.8571428571428572	2.8571428571428572	1	onaji
AVERAGE	=AVERAGE(A1:B5,2,FALSE)	3.9166666666666665	3.9166666666666665	1	onaji
AVERAGE	=AVERAGE(A1:A5,A1)	2.6666666666666665	2.6666666666666665	1	onaji
AVERAGE	=AVERAGE(A1:A5,1,B1:B5,1)	3.9166666666666665	3.9166666666666665	1	onaji
AVERAGE	=AVERAGE(A1:A5,B1:B5,1)	4.1818181818181817	4.1818181818181817	1	onaji
AVERAGEA	=AVERAGEA(A1:A5)	3	3	1	onaji
AVERAGEA	=AVERAGEA(B1:B5)	6	6	1	onaji
AVERAGEA	=AVERAGEA(A1:B5)	4.5	4.5	1	onaji
AVERAGEA	=AVERAGEA(A1:A5,B1:B5)	4.5	4.5	1	onaji
