# ★古い 紙（2026-09-08）を 今の 道（Formula2）で 打ち直した★（67）（2026-09-21）
# ★元の 紙★ ... docs/measured/kansuu46 の tsv を ★全部★（自分で 作った 紙は 除く）
# ★★元の 紙は `.Formula`（むかしの みち＝溢れない）で 取られて います★★（kansuu46 の 道具 21本とも）
# ★★盤面★★ ... ★紙ごとに その 紙の `#材料` を 使います★（1つの 盤面では 打ちません）
#   ＝`golden-tana-12-13` は C1:C4=10,8,6,4 を 使う＝★1つの 盤面だと 偽の 違いが 出ます★
# ★置き場★ H列・行1 から 10行 おき
# ★どの Excel か★ ... 版 16.0 ／ build 20326
# ★どの 貝殻か★ ... PowerShell 5.1.26100.9278
#材料	A1	1
#材料	A2	2
#材料	A3	3
#材料	A4	4
#材料	A5	5
#材料	B1	2
#材料	B2	4
#材料	B3	6
#材料	B4	8
#材料	B5	10
#材料	D1	
#材料	D2	
# 紙	名前	式	昔の 答え	今の 道（Formula2・まだ 信じられない）	埋まった数	判じ
golden-346-2026-09-08.tsv	ABS	=ABS(A1:A5)	1	1	5	onaji
golden-346-2026-09-08.tsv	ABS	=ABS(B1:B5)	2	2	5	onaji
golden-346-2026-09-08.tsv	ACOS	=ACOS(A1:A5)	0	0	5	onaji
golden-346-2026-09-08.tsv	ACOSH	=ACOSH(A1:A5)	0	0	5	onaji
golden-346-2026-09-08.tsv	ACOSH	=ACOSH(B1:B5)	1.3169578969248166	1.3169578969248166	5	onaji
golden-346-2026-09-08.tsv	ACOT	=ACOT(A1:A5)	0.78539816339744828	0.78539816339744828	5	onaji
golden-346-2026-09-08.tsv	ACOT	=ACOT(B1:B5)	0.46364760900080609	0.46364760900080609	5	onaji
golden-346-2026-09-08.tsv	ACOTH	=ACOTH(B1:B5)	0.54930614433405489	0.54930614433405489	5	onaji
golden-346-2026-09-08.tsv	ADDRESS	=ADDRESS(A1:A5,B1:B5)	$B$1	$B$1	5	onaji
golden-346-2026-09-08.tsv	ADDRESS	=ADDRESS(A1:A5,2)	$B$1	$B$1	5	onaji
golden-346-2026-09-08.tsv	ADDRESS	=ADDRESS(A1:A5,2,3)	$B1	$B1	5	onaji
golden-346-2026-09-08.tsv	ADDRESS	=ADDRESS(A1:A5,A1)	$A$1	$A$1	5	onaji
golden-346-2026-09-08.tsv	ADDRESS	=ADDRESS(A1:A5,1,B1:B5,1)	A$1	A$1	5	onaji
golden-346-2026-09-08.tsv	ADDRESS	=ADDRESS(A1:A5,B1:B5,1)	$B$1	$B$1	5	onaji
golden-346-2026-09-08.tsv	ASIN	=ASIN(A1:A5)	1.5707963267948966	1.5707963267948966	5	onaji
