# ★=0.1+0.2-0.3 が 実Excel で 0 に なる 境目を 探した★（2026-09-08）
#
# ★見つけた 物★
#   =0.1+0.2-0.3 … 実Excel ★0★ ／ JS（と うち）5.551115123125783e-17
#   =0.1+0.2     … 実Excel ★0.30000000000000004★（★JS と 同じ＝丸めて いない★）
#   ⇒★足し算は 丸めて いないのに、引き算の 後だけ 0 に なる★
#
# ★★仮説（★決めつけない★）★★
#   「実Excel には 引き算の 最後に 小さい 残りを 0 に する 作りが 在る」
#   ⇒★私は 確かめて いません★。この 紙で 境目を 探して 合うか 見る
#   ⇒★合わなければ 仮説を 書き直す★
#
# ★★『0 か どうか』は 字では 分からない★★
#   画面の 字は 小さい 数を 0 と 見せる 事が 在る
#   ⇒★`=（式）=0` で TRUE/FALSE を 取る＝これが 本当の 判じ★
#   ⇒ 値（.Value2）と 字（.Text）と ★=0 の 真偽★の 3つを 全部 取った
#
# ★測った 型（先に 書き出した 6通り）★
#   ①残りの 大きさを 変える（★0 に ならない 側も 入れた★）
#   ②最後が 引き算か どうか  ③括弧  ④マスから 読む  ⑤関数を 通す  ⑥桁を 変える
# ★土台★ A1=0.1 A2=0.2 A3=0.3
# 型	式	実Excel の 値	型	実Excel の 字	=0 は TRUE か	JS の 値
①残りの大きさ	=0.1+0.2-0.3	0	Double	0	FALSE	
①残りの大きさ	=1.1+2.2-3.3	0	Double	0	FALSE	
①残りの大きさ	=11.1+22.2-33.3	0	Double	0	TRUE	
①残りの大きさ	=0.01+0.02-0.03	0	Double	0	TRUE	
①残りの大きさ	=0.001+0.002-0.003	0	Double	0	TRUE	
①残りの大きさ	=1000000.1+2000000.2-3000000.3	0	Double	0	TRUE	
①残りの大きさ	=0.1+0.7-0.8	0	Double	0	FALSE	
①残りの大きさ	=0.3-0.1-0.2	0	Double	0	FALSE	
①残りの大きさ	=1-0.9-0.1	0	Double	0	FALSE	
①★0にならない側★	=0.1+0.2-0.3000001	-9.999999994736442E-08	Double	-1E-07	FALSE	
①★0にならない側★	=0.1+0.2-0.29999	1.0000000000065512E-05	Double	1E-05	FALSE	
①★0にならない側★	=1e-15	1E-15	Double	1E-15	FALSE	
①★0にならない側★	=1e-16	1E-16	Double	1E-16	FALSE	
①★0にならない側★	=1e-17	1E-17	Double	1E-17	FALSE	
②最後が引き算でない	=0.1+0.2	0.30000000000000004	Double	0.3	FALSE	
②最後が引き算でない	=-0.3+0.1+0.2	0	Double	0	FALSE	
②最後が引き算でない	=(0.1+0.2-0.3)*1	5.551115123125783E-17	Double	5.55E-17	FALSE	
②最後が引き算でない	=(0.1+0.2-0.3)+0	5.551115123125783E-17	Double	5.55E-17	FALSE	
②最後が引き算でない	=(0.1+0.2-0.3)/1	5.551115123125783E-17	Double	5.55E-17	FALSE	
②最後が引き算でない	=0.1+0.2-0.3+0	5.551115123125783E-17	Double	5.55E-17	FALSE	
②最後が引き算でない	=0-(0.1+0.2-0.3)	-5.551115123125783E-17	Double	-5.6E-17	FALSE	
③括弧	=(0.1+0.2)-0.3	0	Double	0	FALSE	
③括弧	=0.1+(0.2-0.3)	0	Double	0	FALSE	
③括弧	=((0.1+0.2))-0.3	0	Double	0	FALSE	
④マスから読む	=A1+A2-A3	0	Double	0	FALSE	
④マスから読む	=(A1+A2)-A3	0	Double	0	FALSE	
④マスから読む	=A1+A2-0.3	0	Double	0	FALSE	
④マスから読む	=0.1+0.2-A3	0	Double	0	FALSE	
⑤関数	=SUM(0.1,0.2,-0.3)	0	Double	0	TRUE	
⑤関数	=SUM(A1:A2)-A3	0	Double	0	FALSE	
⑤関数	=ROUND(0.1+0.2-0.3,20)	5.551E-17	Double	5.55E-17	FALSE	
⑤関数	=ABS(0.1+0.2-0.3)	5.551115123125783E-17	Double	5.55E-17	FALSE	
⑤関数	=N(0.1+0.2-0.3)	5.551115123125783E-17	Double	5.55E-17	FALSE	
⑥桁	=1e10+1-1e10	1	Double	1	FALSE	
⑥桁	=1e15+1-1e15	1	Double	1	FALSE	
⑥桁	=1e16+1-1e16	0	Double	0	TRUE	
⑥桁	=0.0000001+0.0000002-0.0000003	0	Double	0	TRUE	
⑥桁	=1e-10+2e-10-3e-10	0	Double	0	TRUE	
