# ★保留 27行を ★元の 紙の 土台★で 取り直した★（2026-09-08）
#
# ★なぜ 保留だったか★
#   `toru-zero-torinaosu.ps1` は ★1つの 土台★で 697行を 押した
#   ⇒ 紙ごとに 土台が 違うので 27行は ★窓①が 元の 紙と 違う 値★に なった
#   ⇒★判じられない＝保留★に した
#
# ★元の 紙の 土台（それぞれの 取り方の 頭から 写した）★
#   golden-346          … A1:A5=1..5 ／ B1:B5=2,4,6,8,10 ／ ★D1=2024/1/1 D2=2026/1/1★
#   ★1回目は 私が 土台を 書き写し間違え（D1=0.5 D2=1）、20行の 取り直しに 失敗した★
#   ⇒★元の 取り方 kansuu46/toru-346.ps1 の 106〜111行目から 写し直した★
#   golden-hikizan-zero … ★A1=0.1 A2=0.2 A3=0.3★
#
# ★★CELL 系 4行は この 紙では 取り直して いません★★
#   （紙ごとに 土台が 違い、`=CELL("width",D1)` は ★列の 幅★まで 要る）
#   ⇒★「取り直して いない」と はっきり 書く＝★測って いない を 緑に しない★
#
# ★3つの 窓＋型★ 窓①.Value2 ／ ★型★ ／ 窓②=(式)=0 ／ 窓③(式)*1e17
# 元の紙	式	窓①.Value2	型	窓②=0の真偽	窓③*1e17	判じ
golden-hikizan-zero-2026-09-08.tsv	=A1+A2-0.3	0	Number	FALSE	5.551115123125783	★★見せかけの 0★★
golden-hikizan-zero-2026-09-08.tsv	=0.1+0.2-A3	0	Number	FALSE	5.551115123125783	★★見せかけの 0★★
golden-346-2026-09-08.tsv	=BESSELK(D1,D2)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=BESSELK(D1,2)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=BITAND(D1,2)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=CHIDIST(D1,2)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=CHISQ.DIST.RT(D1,2)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=CSCH(D1)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=ERFC(D1)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=EXPON.DIST(D1,D2,0)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=EXPONDIST(D1,D2,0)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=IMCSCH(D1)	0	String	FALSE	0	★字の "0"（数では ない）★
golden-346-2026-09-08.tsv	=IMSECH(D1)	0	String	FALSE	0	★字の "0"（数では ない）★
golden-346-2026-09-08.tsv	=LOGNORMDIST(D1,D2,1)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=PHI(D1)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=SECH(D1)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=SEQUENCE(D1,D2)	0	Number	0	0	★判じられない（窓②が 真偽で 返らない＝0）★
golden-346-2026-09-08.tsv	=SEQUENCE(D1,D2,1)	0	Number	0	0	★判じられない（窓②が 真偽で 返らない＝0）★
golden-346-2026-09-08.tsv	=T.DIST(D1,D2,0)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=T.DIST.2T(D1,D2)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=T.DIST.RT(D1,D2)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=TDIST(D1,D2,1)	0	Number	TRUE	0	本当に 0
golden-cell-2026-09-07.tsv	=CELL("contents",A4)	—	—	—	—	★取り直して いない（土台が 別）★
golden-cell2-2026-09-07.tsv	=CELL("contents",C4)	—	—	—	—	★取り直して いない（土台が 別）★
golden-cell2-2026-09-07.tsv	=CELL("contents",C5)	—	—	—	—	★取り直して いない（土台が 別）★
golden-cell4-2026-09-07.tsv	=CELL("width",D1)	—	—	—	—	★取り直して いない（土台が 別）★
golden-cell4-2026-09-07.tsv	=CELL("protect",E1)	—	—	—	—	★取り直して いない（土台が 別）★
