# ★範囲を 渡した 時 実Excel は 何を 返すか★（64）（2026-09-20）
# ★なぜ★ ... Exally1 が 「105個 中 82個 足りない／11個は 気付けない」と 数えた
#           ⇒★但し 見たのは 私の 紙の `ref` の 字だけ＝中身は 未測定★
# ★どの Excel か★ ... 版 16.0 ／ build 20326
# ★どの 貝殻か★ ... PowerShell 5.1.26100.9278
# ★盤面★ A1=1 ／ ★A2==1+1（式）★ ／ A3=2 ／ E1,F1,E2,F2=1,2,3,4
# ★置き場★ ... 行1（A1:A3 と 交わる）／列は 4つ おき（H L P T X AB AF AJ）
# ★読む★ ... 頭の マスから 6行 x 3列（★中身まで★）
# 組	名前	マス	式	埋まった数	中身（|で マス／ / で 行）
shirabe	COLUMN-yoko2	H1	=COLUMN(E1:F2)	2	5|6|| / ||| / ||| / ||| / ||| / |||
shirabe	COLUMN-tate	L1	=COLUMN(A1:A3)	1	1||| / ||| / ||| / ||| / ||| / |||
shirabe	ROW-yoko2	P1	=ROW(E1:F2)	2	1||| / 2||| / ||| / ||| / ||| / |||
basho	FORMULATEXT-h	T1	=FORMULATEXT(A1:A3)	3	#N/A||| / =1+1||| / #N/A||| / ||| / ||| / |||
basho	CELL-row-h	X1	=CELL("row",A1:A3)	1	1||| / ||| / ||| / ||| / ||| / |||
basho	ISFORMULA-h	AB1	=ISFORMULA(A1:A3)	3	FALSE||| / TRUE||| / FALSE||| / ||| / ||| / |||
taishou	SEQUENCE	AF1	=SEQUENCE(2)	2	1||| / 2||| / ||| / ||| / ||| / |||
taishou	SUM	AJ1	=SUM(A1:A3)	1	5||| / ||| / ||| / ||| / ||| / |||
#
# ★★対照★★（★盤面が 狂って いない 事を 見ます★）
# 対照 SEQUENCE(2) の 2マス目 ... （待つ 2）
# 対照 SUM(A1:A3) ............... （待つ 5）
# ★対照 ok ... 2 / 2★
