# ★溢れる 式 全部を ★1つの 盤面★で 取り直した（★中身まで★）★（65）（2026-09-20）
# ★★盤面（★この 紙は 全部 この 1つ★）★★
#   A1:A6 = 1,2,2,3,3,4 ／ B1:B3 = 10,20,30 ／ D1 = abc ／ E1,F1,E2,F2 = 1,2,3,4
#   A20 = 5（数）／A21 = =1+1（★式★）／A22 = abc（字）
# ★どの Excel か★ ... 版 16.0 ／ build 20326
# ★どの 貝殻か★ ... PowerShell 5.1.26100.9278
# ★印（_xlfn. 等）は 外して 打って います★＝実Excel が 自分で 付けます
# ★読む★ ... 頭の マスから 6行 x 6列
#材料	A1	1
#材料	A2	2
#材料	A3	2
#材料	A4	3
#材料	A5	3
#材料	A6	4
#材料	B1	10
#材料	B2	20
#材料	B3	30
#材料	D1	abc
#材料	E1	1
#材料	F1	2
#材料	E2	3
#材料	F2	4
#材料	A20	5
#材料	A22	abc
# ★A21 は 式（=1+1）なので 材料に 書いて いません★＝ISFORMULA の 行は 押されない
# 式	実Excel（今の 道＝Formula2）	埋まった数	中身（|で マス／ / で 行）
=SEQUENCE(3)	1	3	1 / 2 / 3
=SORT(A1:A3)	1	3	1 / 2 / 2
=UNIQUE(A1:A3)	1	2	1 / 2
=FILTER(A1:A3,A1:A3>1)	2	2	2 / 2
=TRANSPOSE(A1:A3)	1	3	1|2|2
=MAKEARRAY(2,3,LAMBDA(r,c,r*c))	1	6	1|2|3 / 2|4|6
=WRAPROWS(A1:A6,3)	1	6	1|2|2 / 3|3|4
=WRAPCOLS(A1:A6,3)	1	6	1|3 / 2|3 / 2|4
=MAKEARRAY(2,2,LAMBDA(r,c,r*c))	1	4	1|2 / 2|4
=BYROW(A1:A3,LAMBDA(x,SUM(x)))	1	3	1 / 2 / 2
=BYCOL(A1:A3,LAMBDA(x,SUM(x)))	5	1	5
=SCAN(0,A1:A3,LAMBDA(a,b,a+b))	1	3	1 / 3 / 5
=MAP(A1:A3,LAMBDA(x,x*2))	2	3	2 / 4 / 4
=REDUCE(0,A1:A3,LAMBDA(a,b,a+b))	5	1	5
=GROUPBY(A1:A3,A1:A3,SUM)	1	6	1|1 / 2|4 / 合計|5
