# ★濃さ（tint / shade）で 色が どう 変わるか★（92）（2026-09-21）
# ★なぜ★ ... Exally1「当て推量で 付けたく ないので 実Excel に 聞いて ほしい」（tint と 判子の 線）
# ★どの Excel か★ ... 版 16.0 ／ build 20326
# ★どの 貝殻か★ ... PowerShell 5.1.26100.9278
# ★道具★ ... docs/measured/toru-jitsu-excel-no-iro-no-koide.ps1
# ★元の 色★ ... テーマの accent1 ＝ 8544277（COM・BGR） ＝ ★#156082★（R21 G96 B130）
# ★包みに 何と 書かれるか★
#   マス ... <fgColor theme="4" tint="-0.499984740745262"/>（`.xlsx`）
#   判子 ... <a:lnRef idx="2"><a:schemeClr val="accent1"><a:shade val="15000"/></a:schemeClr>
#
# ★★★① マスの 濃さ（tint）── ★2026-09-21 に 私が 書いた 事は 間違いでした★★★★
#   ★★取り消します★★
#     私は「ぴったり 合う 式は 見つかって いない／差 2までは 出る」と 書きました。
#     ★これは 私の 数え方が 悪かっただけ です★。
#   ★★正しくは ★9 / 9 ぴったり★★★
#     ★`lib/theme.js` の `濃淡()` を そのまま 呼ぶと 9個 とも 差 0★（実測・下の 表）
#     ＝★この 台は 2026-08-30 に 既に 実測 15/15 で 作られて いました★
#       （`lib/theme.js` の 頭に そう 書いて あります）
#   ★★なぜ 外したか（★同じ 穴を 踏まない ように★）★★
#     ⑴★在る 台を 呼ばず 自分で 書き直した★
#        ＝記憶「★作る前に 探せ／在るのに 呼んで いないを 探せ★」を 踏みました。
#        ＝`lib/theme.js` の 頭には ★式まで 書いて あった★のに 読んで いません。
#     ⑵★式が 違いました★
#        私 ... HSL（0〜1 の 実数）で 四捨五入
#        正 ... ★昔からの Windows の HLS（H・L・S を 0〜240 の 整数）★で ★切り捨て★
#               t>0 ... L2 = floor(L*(1-t) + 240*t)
#               t<0 ... L2 = floor(L*(1+t))
#     ⑶★自分で 書き直した 変換が 壊れて いた★
#        （R と B が 入れ替わり #156082 が #821522 に なった）
#        ⇒★「式が 合わない」と 「自分の 道具が 壊れて いる」を 分けて いませんでした★
#   ★★だから 門は 「差 2まで 通す」では なく ★差 0★ に して ください★★
#     ＝緩い 門は ★間違った 作りを 通します★
#
# ★★② 判子の 線（shade 15000）＝★光の 量で 0.15倍★★★
#   sRGB ⇒ 光の 量（linear）に 直して 0.15倍 ⇒ sRGB に 戻す
#   ⇒ #156082 から ★#042433★（実物と ★ぴったり★）
#   ★外れた 見立て 2つ（★捨てずに 残します★）★
#     ・字の 値を そのまま 0.15倍 ⇒ #030e14（★違い★）
#     ・明るさを t=-0.85 で 動かす ⇒ #030e14（★違い★）
#   ⇒★マスの tint と 判子の shade は ★別の 計算★です★
#     （COM は 線の `TintAndShade` を -0.85 と 返しますが ★その 式では 出ません★）
#
# ★★測って いない 事★★
#   ・accent1 以外の 色で 同じ 式に なるか（★1色でしか 見て いません★）
#   ・`<a:tint>` `<a:lumMod>` `<a:lumOff>`（判子の 側の 他の 濃さ）
#   ・線の 太さ 1.5 / 形 1 は 読んだだけで ★突き合わせて いません★
#
濃さt	Interior.Color	実際の色	lib/theme.js の 濃淡()	差(最大)
-0.9	854530	#020a0d	#020a0d	0
-0.75	2037509	#05171f	#05171f	0
-0.5	4206603	#0b3040	#0b3040	0
-0.25	6375440	#104861	#104861	0
0	8544277	#156082	#156082	0
0.25	13539874	#229ace	#229ace	0
0.5	15122020	#64bee6	#64bee6	0
0.75	15916720	#b0def2	#b0def2	0
0.9	16446176	#e0f2fa	#e0f2fa	0
# ── 判子 ──
hanko-nuri	8544277	#156082	(accent1 そのまま)	0
hanko-sen	3351556	#042433	光の量で0.15倍=#042433	0
