# ★実Excel 自身が 溢れる 式に 付ける 印★（51・52）（2026-09-20）
# ★読むだけ★（1バイトも 書いて いません）
# ★作った 物★ ... docs/measured/tsukuru-jitsu-excel-kobore-6shurui.ps1
#                docs/measured/tsukuru-jitsu-excel-meibo-ni-nai-11.ps1
# ★実Excel★ ... 版 16.0 ／ build 20326（作った 道具が 出して います）
# ★判じは ここでは しません★＝実Excel が 書いた 字を そのまま 写すだけ
#
# ═══ ★51(SEQUENCE ほか 7本)★ ... exally-jitsu-excel-kobore.xlsx（9850 バイト）═══
# ★cm= の 数★ 6 ／ ★t="array" の 数★ 6
# マス	cm	ref	実Excel が 書いた 式
C1	在り	C1:C3	_xlfn.SEQUENCE(3)
E1	在り	E1:E3	_xlfn._xlws.SORT(A1:A3)
G1	在り	G1:G3	_xlfn.UNIQUE(A1:A3)
I1	在り	I1:I2	_xlfn._xlws.FILTER(A1:A3,A1:A3>1)
K1	在り	K1:M1	TRANSPOSE(A1:A3)
A10	在り	A10:C11	_xlfn.MAKEARRAY(2,3,_xlfn.LAMBDA(_xlpm.r,_xlpm.c,_xlpm.r*_xlpm.c))
A15	無し	(無し)	SUM(A1:A3)
# ★式が 在る マス ... 7個★
#
# ═══ ★52(名簿に無い 11本)★ ... exally-jitsu-excel-meibo11.xlsx（10385 バイト）═══
# ★cm= の 数★ 11 ／ ★t="array" の 数★ 11
# マス	cm	ref	実Excel が 書いた 式
C1	在り	C1:E2	_xlfn.WRAPROWS(A1:A6,3)
C5	在り	C5:D7	_xlfn.WRAPCOLS(A1:A6,3)
C9	在り	C9:E9	TRANSPOSE(A1:A3)
C12	在り	C12:D13	_xlfn.MAKEARRAY(2,2,_xlfn.LAMBDA(_xlpm.r,_xlpm.c,_xlpm.r*_xlpm.c))
C16	在り	C16:C18	_xlfn.BYROW(A1:A3,_xlfn.LAMBDA(_xlpm.x,SUM(_xlpm.x)))
C20	在り	C20	_xlfn.BYCOL(A1:A3,_xlfn.LAMBDA(_xlpm.x,SUM(_xlpm.x)))
C24	在り	C24:C26	_xlfn.SCAN(0,A1:A3,_xlfn.LAMBDA(_xlpm.a,_xlpm.b,_xlpm.a+_xlpm.b))
C28	在り	C28:C30	_xlfn.MAP(A1:A3,_xlfn.LAMBDA(_xlpm.x,_xlpm.x*2))
C32	在り	C32	_xlfn.REDUCE(0,A1:A3,_xlfn.LAMBDA(_xlpm.a,_xlpm.b,_xlpm.a+_xlpm.b))
C36	在り	C36:D39	_xlfn.GROUPBY(A1:A3,A1:A3,_xleta.SUM)
C40	在り	C40:G44	_xlfn.PIVOTBY(A1:A3,A1:A3,A1:A3,_xleta.SUM)
# ★式が 在る マス ... 11個★
#
# ═══ ★55(残り 21本)★ ... exally-jitsu-excel-nokori21.xlsx（10291 バイト）═══
# ★cm= の 数★ 2 ／ ★t="array" の 数★ 2
# マス	cm	ref	実Excel が 書いた 式
H1	無し	(無し)	ASC("ABC")
H4	無し	(無し)	AVERAGEIFS(A1:A6,A1:A6,">2")
H7	無し	(無し)	BAHTTEXT(15)
H10	無し	(無し)	DBCS("ABC")
H13	無し	(無し)	DOLLAR(1234.567,2)
H16	無し	(無し)	FIXED(1234.567,1)
H19	無し	(無し)	FORECAST(4,B1:B3,A1:A3)
H22	在り	H22	INDIRECT("A1")
H25	無し	(無し)	KURT(A1:A6)
H28	無し	(無し)	LEFTB("ABC",2)
H31	無し	(無し)	LENB("ABC")
H34	無し	(無し)	LOOKUP(2,A1:A6)
H37	無し	(無し)	MDETERM(E1:F2)
H40	無し	(無し)	MIDB("ABC",1,2)
H43	在り	H43:H44	_xlfn.MODE.MULT(A1:A6)
H46	無し	(無し)	OFFSET(A1,1,0)
H49	無し	(無し)	PERCENTRANK(A1:A6,3)
H52	無し	(無し)	PERMUT(5,2)
H55	無し	(無し)	PHONETIC(A1)
H58	無し	(無し)	RIGHTB("ABC",2)
H61	無し	(無し)	TRIMMEAN(A1:A6,0.2)
# ★式が 在る マス ... 21個★
#
# ═══ ★58(名簿に在る 16本)★ ... exally-jitsu-excel-meibo16.xlsx（10242 バイト）═══
# ★cm= の 数★ 7 ／ ★t="array" の 数★ 7
# マス	cm	ref	実Excel が 書いた 式
H1	無し	(無し)	_xlfn.ARRAYTOTEXT(A1:A3)
H7	在り	H7:H8	_xlfn.CHOOSECOLS(E1:F2,1)
H13	在り	H13:I13	_xlfn.CHOOSEROWS(E1:F2,1)
H19	在り	H19:H23	_xlfn.DROP(A1:A6,1)
H25	在り	H25:H27	_xlfn.EXPAND(A1:A2,3,1,0)
H31	在り	H31:H32	_xlfn.TAKE(A1:A6,2)
H37	在り	H37:H40	_xlfn.TOCOL(E1:F2)
H43	在り	H43:K43	_xlfn.TOROW(E1:F2)
H49	無し	(無し)	_xlfn.AGGREGATE(1,0,A1:A6)
H55	無し	(無し)	_xlfn.ENCODEURL("a b")
H61	無し	(無し)	_xlfn.NUMBERVALUE("1.5")
H67	無し	(無し)	_xlfn.PERMUTATIONA(5,2)
H73	無し	(無し)	_xlfn.TEXTAFTER("a-b","-")
H79	無し	(無し)	_xlfn.TEXTBEFORE("a-b","-")
H85	無し	(無し)	_xlfn.VALUETOTEXT(A1)
H91	無し	(無し)	_xlfn.XMATCH(2,A1:A6)
# ★式が 在る マス ... 16個★
