# ★「実Excel が 修復しました」を 機械で 拾えるか★（93）（2026-09-21）
# ★なぜ★ ... Exally1「足した 板を 包みに 入れる」を 書く ⇒ 私が 実Excel に 開かせて 数える
#            その 中で ★一番 怖いのが「修復しました」★＝★窓で 出るので 拾えないかも★
#            ⇒★見張りに する 前に わざと 壊して 拾えるかを 測りました★
# ★どの Excel か★ ... 版 16.0 ／ build 20326
# ★どの 貝殻か★ ... PowerShell 5.1.26100.9278
# ★道具★ ... docs/measured/toru-jitsu-excel-ga-shuufuku-shita-ka.ps1
# ★元★ ... 実Excel に 作らせた xlsx（A1=1 / A2=abc / B1 黄色 / 判子 1つ）
#
# ★★答え ── ★拾えます★★★
#   `DisplayAlerts = $false` ／ `ReadOnly = $true` で 開くと、
#   ★壊れた 包みは `Workbooks.Open` が ★投げます★★（窓は 出ません）
#   ⇒★「投げたか」を そのまま 門に できます★
#
# ★★但し ここまでしか 言えません★★
#   ・測ったのは ★壊し方 3通りだけ★です。
#   ・★「黙って 直して 開く」事が 無い とは 言えません★
#     ⇒だから ★開けた 時も 中身を 数えます★（板の 数・図形の 数・値）
#   ・投げた 時の 字は ★どれも 同じ★（「Workbooks クラスの Open プロパティを取得できません」）
#     ⇒★どこが 悪いかは 字からは 分かりません★
#   ・`%TEMP%` の log は ★4通り とも 増えません★（9 ⇒ 9）＝★記録では 拾えません★
#
# ★★★測る 側で 踏んだ 穴 ⑵ ── ★危うく 嘘の 答えを 出す 所でした★★★★
#   壊した 3本は どれも ★.NET で 詰め直した 物★でした。
#   ⇒★投げた 因が「壊れ」か「詰め直し」か 分けて いませんでした★
#   ⇒★壊さずに 詰め直しただけ の 物（⓪）を 足して 測り直し★
#     ⇒★⓪は 投げません（板 1・図形 1）★＝★投げた 因は 壊れです★
#   ★控えを 置くまでは 「壊れたら 投げる」とは 言えませんでした★
#
# ★★測る 側で 踏んだ 穴 ⑶ ── 詰め直しの 名前★★
#   `CreateFromDirectory` は 部品の 名前に ★逆斜線★ を 使います（.NET Framework）
#   ⇒zip の 決まり（斜線）と 違い、前後を 突き合わせると ★全部 「増えた」★に 見えました
#   ⇒★自分で 1本ずつ 入れて 斜線に 直しました★
#   ⇒その 直しで ★逆斜線が 便りで 落ちて `.Replace('', '/')`★ に なり、
#     ★空の 包み（22バイト）が 4本★ 出来ました（★記憶「逆斜線は 落ちる」そのもの★）
#   ⇒`[char]92` で 書く 形に しました
#
# ★★測る 側で 踏んだ 穴 ⑴（★1回 嘘の 緑を 出しました★）★★
#   `[Content_Types].xml` の ★角括弧は PowerShell では ワイルドカード★
#   ⇒`Remove-Item (Join-Path $d '[Content_Types].xml')` は ★何にも 当たらず 黙って 何も しない★
#   ⇒壊れて いない 包みを 開いて ★「壊したのに 開けた」★と 出しました
#   ⇒`-LiteralPath` に 直し、★消えたかを その場で 数える★ 門を 足しました
#
札	壊し方	大きさ	Openが投げたか	板の数	図形の数
1-kirei	（Excel が 書いた まま）	10241	いいえ	1	1
0-tsumenaoshi	★壊さず 詰め直しただけ（控え）★	7984	いいえ	1	1
2-katamei	[Content_Types].xml を 消す	7523	★投げた★	-	-
3-ita	xl/worksheets/sheet1.xml の 字を 壊す	7991	★投げた★	-	-
4-nai-ita	xl/workbook.xml に 在りもしない 板を 1行 足す	7996	★投げた★	-	-
#
# ★★部品の 突き合わせ（`kuraberu-tsutsumi-no-buhin.mjs`・95）と 合わせた 結果★★
#   0-tsumenaoshi ... 増 0 ／ 減 0 ／ 中身 変 0 ／ ★詰め方だけ 違う 12本★  ⇒ Excel も 投げない
#   4-nai-ita     ... 増 0 ／ 減 0 ／ ★中身 変 1本（xl/workbook.xml 2445B ⇒ 2489B）★ ⇒ Excel が 投げる
#   ⇒★2つの 道具の 答えが 揃いました★（片方だけでは 決めません）
