# ★書く 前に 聞く★（2026-09-18・7回目）
#
# ★見込みは 聞く 前に commit 済み★ … kansuu46/nanawakume-no-an.md（9e6d5b9）
#
# ★字は UNICHAR で 作り、答えは コードと 文字数で 受けます★
#   ⇒★式の 中は ASCII だけ＝化ける 所が 1つも ありません★
#
# ★材料★ A1:A5 = 1,2,3,4,5 ／ B1:B5 = 1,2,(=1/0),4,5 ／ C1:C5 = 1,3,5,7,9
#
# ★2つ目の 窓★ =(式)=0 … .Value2 は 0 で ない 値に 0 を 返す
#
# ★外へ 出る 6個★ … ★0件★（門で 数えました）
#
# ★どの Excel か★ … 版 16.0 ／ build 20326
#
# 訳	式	答え	出る字	=(式)=0	型
対照1(PERMUT・紙に在る)	=PERMUT(5,2)	20	20	False	Double
対照2(ODDL f4・紙に在る)	=ODDLPRICE(DATE(2009,3,10),DATE(2009,8,31),DATE(2008,11,30),0.045,0.05,100,4,1)	99.776476358001872	99.77648	False	Double
対照3(ODDF・前の枠と同じ)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,1)	103.37232293583249	103.3723	False	Double
(1)順列 PERMUT(0,0) ★境目★	=PERMUT(0,0)	1	1	False	Double
(1)順列 PERMUT(5,0) ★境目★	=PERMUT(5,0)	1	1	False	Double
(1)順列 PERMUT(0,1) ★境目★	=PERMUT(0,1)	-2146826252	#NUM!	-2146826252	Other
(1)順列 PERMUT(3,4) ★境目★	=PERMUT(3,4)	-2146826252	#NUM!	-2146826252	Other
(1)順列 PERMUT(-1,1) ★境目★	=PERMUT(-1,1)	-2146826252	#NUM!	-2146826252	Other
(1)順列 PERMUT(5,-1) ★境目★	=PERMUT(5,-1)	-2146826252	#NUM!	-2146826252	Other
(1)順列 PERMUTATIONA(0,0) ★境目★	=PERMUTATIONA(0,0)	1	1	False	Double
(1)順列 PERMUTATIONA(5,0) ★境目★	=PERMUTATIONA(5,0)	1	1	False	Double
(1)順列 PERMUTATIONA(0,1) ★境目★	=PERMUTATIONA(0,1)	0	0	True	Double
(1)順列 PERMUTATIONA(3,4) ★境目★	=PERMUTATIONA(3,4)	81	81	False	Double
(1)順列 PERMUTATIONA(-1,1) ★境目★	=PERMUTATIONA(-1,1)	-2146826252	#NUM!	-2146826252	Other
(1)順列 PERMUTATIONA(5,-1) ★境目★	=PERMUTATIONA(5,-1)	-2146826252	#NUM!	-2146826252	Other
(2)AGGREGATE 選択0＝何も無視しない	=AGGREGATE(9,0,B1:B5)	-2146826281	#DIV/0!	-2146826281	Other
(2)AGGREGATE 選択2＝誤りを無視	=AGGREGATE(9,2,B1:B5)	12	12	False	Double
(2)AGGREGATE 選択6＝誤りを無視	=AGGREGATE(9,6,B1:B5)	12	12	False	Double
(2)AGGREGATE 選択4＝何も無視しない	=AGGREGATE(9,4,B1:B5)	-2146826281	#DIV/0!	-2146826281	Other
(2)AGGREGATE 選択7＝隠した行だけ無視	=AGGREGATE(9,7,B1:B5)	12	12	False	Double
(2)AGGREGATE 機能1(平均)×選択6	=AGGREGATE(1,6,B1:B5)	3	3	False	Double
(2)AGGREGATE 機能14(LARGE)＋k	=AGGREGATE(14,6,B1:B5,2)	4	4	False	Double
(2)AGGREGATE 機能15(SMALL)＋k	=AGGREGATE(15,6,B1:B5,2)	2	2	False	Double
