# ★9枠目＝溜まった 問いを 1枠に★（2026-09-18）
#
# ★問いは 紙から 機械で 拾いました★ ... kansuu46/kyuwakume-no-kiku-koto.md
# ★見込みも 一緒に 並べて あります★（★聞く 前に 書いた 物★）
#
# ★材料★ A1:A5 = 1,2,3,4,5 ／ B1:B5 = 1,2,(=1/0),4,5
#        C1:C5 = 1,3,5,7,9（昇順）／ D1:D5 = 9,7,5,3,1（降順）
#        ★F1:G2 = 1,2／10,20★（★行ごと 3・30 ／ 列ごと 11・22＝分かれる★）
#
# ★2つ目の 窓★ =(式)=0 ... .Value2 は 0 で ない 値に 0 を 返す
# ★外へ 出る 6個★ ... ★0件★（門で 数えました）
#
# ★どの Excel か★ ... 版 16.0 ／ build 20326
# ★どの 貝殻か★ ... PowerShell 5.1.26100.9278（★5.1 に 揃える 決め★）
# ★どの 文字コードか★ ... ANSI 932 ／ ja-JP
#
# 番	訳	式	見込み	答え	出る字	=(式)=0	型	合ったか
49	★★行か 列か（F1:G2 ＝ 1,2／10,20）★★	=BYROW(F1:G2,LAMBDA(r,SUM(r)))	★3★	3	3	False	Double	○
50	★行なら 3+30★	=SUM(BYROW(F1:G2,LAMBDA(r,SUM(r))))	★33★	33	33	False	Double	○
51	★列なら 11+22＝33★ ← ★★和では 分かれない★★	=SUM(BYCOL(F1:G2,LAMBDA(c,SUM(c))))	★33★	33	33	False	Double	○
52	★★左上で 分かれます★★（行なら 3）	=BYCOL(F1:G2,LAMBDA(c,SUM(c)))	★11★	11	11	False	Double	○
1	正方で ない	=MDETERM(A1:B5)	#VALUE!	-2146826281	#DIV/0!	-2146826281	Other	×
2	1×1 は その 値	=MDETERM(A1:A1)	1	1	1	False	Double	○
3	B3 では ない ... B1:C2 に 誤りは 無い ⇒ ★-1 の はず★	=MDETERM(B1:C2)	#DIV/0!	1	1	False	Double	×
4	n が 4未満	=KURT(A1:A3)	#DIV/0!	-2146826281	#DIV/0!	-2146826281	Other	○
5	ばらつき 0	=KURT({2;2;2;2})	#DIV/0!	-2146826281	#DIV/0!	-2146826281	Other	○
6	1つも 落ちない	=TRIMMEAN(A1:A5,0)	3	3	3	False	Double	○
7	1 は 入らない	=TRIMMEAN(A1:A5,1)	#NUM!	-2146826252	#NUM!	-2146826252	Other	○
8	負	=TRIMMEAN(A1:A5,-0.1)	#NUM!	-2146826252	#NUM!	-2146826252	Other	○
9	片側 1つずつ 落ちて 2,3,4	=TRIMMEAN(A1:A5,0.5)	3	3	3	False	Double	○
10	長さ違い	=FORECAST(6,A1:A5,C1:C3)	#N/A	-2146826246	#N/A	-2146826246	Other	○
11	x の ばらつき 0	=FORECAST(6,A1:A5,{1;1;1;1;1})	#DIV/0!	-2146826281	#DIV/0!	-2146826281	Other	○
12	小数の 印が 2回	=NUMBERVALUE("1.2.3")	#VALUE!	-2146826273	#VALUE!	-2146826273	Other	○
13	印が 同じ 字	=NUMBERVALUE("1.5",".",".")	#VALUE!	-2146826273	#VALUE!	-2146826273	Other	○
14	％を 重ねる	=NUMBERVALUE("50%%")	0.005	0.005	0.005	False	Double	○
15	前後の 空白	=NUMBERVALUE(" 1.5 ")	1.5	1.5	1.5	False	Double	○
16	UTF-8 なら %E3	=UNICODE(MID(ENCODEURL(UNICHAR(12354)),2,1))	69（"E"）	69	69	False	Double	×
17	＋も 逃がす	=ENCODEURL("a+b")	`a%2Bb`	a%2Bb	a%2Bb	False	String	○
