# ★実Excel は 結合した マスも ふつうの マスと 同じ 規則か★（2026-09-10）
#
# ★なぜ★ うちは ★結合した マスだけ 生の 値を 出して いました★
#   `book.html` の 結合を 描く 所が `String(raw)` で ★fmtForDisplay を 通って いなかった★
#   ⇒★09-10 の 直し（PR #62 指数／PR #63 出る字）が ★結合には 1つも 効いて いない★★
#
# ★測り方★ 実Excel で ★A列に ふつう／C:D を 結合★して ★同じ 式★を 打ち、`.Text` を 読んだ
# ★司さんの 実物には 触って いません★＝新しい ブック・保存せず
#
# 式	実Excel ふつう(A)	実Excel 結合(C:D)	うち 前	うち 後	判じ
=1/3	0.333333	0.333333333	0.3333333333333333	0.333333333	★直った★
=10/3	3.333333	3.333333333	3.3333333333333335	3.333333333	★直った★
=1234567.1-1234567	0.1	0.1	0.10000000009313226	0.1	★直った★
=206800/1.1	188000	188000	187999.99999999997	188000	★直った★
=1.64E-14	1.64E-14	1.64E-14	1.64e-14	1.64E-14	★直った★
#
# ★★分かった 事★★
#   ★実Excel は 結合も ふつうも ★同じ 規則★★
#   違うのは ★使える 字数だけ★（結合すると 幅が 広がるので 字数が 増える）
#     =1/3 … ふつう ★0.333333★（8字）／★結合 0.333333333★（11字）
#   ⇒★だから 結合を 別扱いに しない＝`fmtForDisplay` を 通す★
#
# ★★まだ 見て いない★★
#   ★うちは 結合の 幅を 見て いません★（枠は いつも 11）
#   ⇒ 実Excel は 結合の 幅で 字数が 変わる＝★幅を 見る 直しは 別★
#     （幅 11未満の 縮み方と 同じ 棚）
