# ★溢れの 物差しを 広げた★（2026-09-19）
# ★材料★ A1:A3 = 3/1/2 ／ B1:B3 = 10/20/30
# ★邪魔★ ⑱は E1 に 先に 字を 置く（#SPILL! に なるか）
# ★どの Excel か★ ... 版 16.0 ／ build 20326
# ★どの 貝殻か★ ... PowerShell 5.1.26100.9278
# 番	式	行数	列数	並び(行は / 列は |)	型	=(式)=0 の 左上	邪魔のマス	訳
1	=SEQUENCE(1,4)	1	4	1|2|3|4|	Double	False		yoko 1x4
2	=SEQUENCE(4,1)	4	1	1|||| / 2|||| / 3|||| / 4||||	Double	False		tate 4x1
3	=SEQUENCE(3,3)	3	3	1|2|3|| / 4|5|6|| / 7|8|9||	Double	False		shikaku 3x3
4	=TRANSPOSE(SEQUENCE(2,3))	3	2	1|4||| / 2|5||| / 3|6|||	Double	False		tenchi 3x2
5	=MAP(A1:A3,LAMBDA(x,x*10))	3	1	30|||| / 10|||| / 20||||	Double	False		MAP tate
6	=MAP(A1:B3,LAMBDA(x,x+1))	3	2	4|11||| / 2|21||| / 3|31|||	Double	False		MAP shikaku 3x2
7	=BYROW(A1:B3,LAMBDA(r,MAX(r)))	3	1	10|||| / 20|||| / 30||||	Double	False		BYROW
8	=BYCOL(A1:B3,LAMBDA(c,MIN(c)))	1	2	1|10|||	Double	False		BYCOL yoko
9	=SCAN(1,A1:A3,LAMBDA(a,c,a*c))	3	1	3|||| / 3|||| / 6||||	Double	False		SCAN kakezan
10	=MAKEARRAY(3,2,LAMBDA(r,c,r+c))	3	2	2|3||| / 3|4||| / 4|5|||	Double	False		MAKEARRAY 3x2
11	=MAKEARRAY(1,3,LAMBDA(r,c,c*c))	1	3	1|4|9||	Double	False		MAKEARRAY yoko
12	=REDUCE(0,A1:A3,LAMBDA(a,c,a+c))	1	1	6||||	Double	False		REDUCE = koboremasen
13	=SORT(B1:B3,1,-1)	3	1	30|||| / 20|||| / 10||||	Double	False		SORT gyaku
14	=UNIQUE(A1:A3)	3	1	3|||| / 1|||| / 2||||	Double	False		UNIQUE
15	=FILTER(A1:A3,A1:A3>5)	1	1	-2146826238||||	Other	-2146826238		FILTER = atehamaru mono nashi
16	=TEXTSPLIT("a,b;c,d",",",";")	2	2	a|b||| / c|d|||	String	False		TEXTSPLIT 2jigen
17	=MAP(A1:A3,LAMBDA(x,IF(x>2,"dai","shou")))	3	1	dai|||| / shou|||| / shou||||	String	False		MAP ji wo kaesu
18	=SEQUENCE(2,2)	1	2	-2146826243|jama|||	Other	False	E1	★溢れ先が 塞がれて いる（#SPILL! に なるか）★
19	=SEQUENCE(2,2)	2	2	1|2||| / 3|4|||	Double	False		★上と 同じ 式／邪魔が 無い 時★（対照）
20	=SUM(A1:A3)	1	1	6||||	Double	False		★対照★ 6 に なる はず
# ★★押すのに かかった 秒 ... 2.49★★
