# ★LINEST が 何を 返すか 実Excel に 全部 聞いた★（2026-09-09・2件目）
#
# ★なぜ★ うちは 裸の =LINEST(範囲,範囲) だけ 拾い ★傾き 1つ★しか 返して いない
#   ⇒ =INDEX(LINEST(…),1,1) は ★#NAME?★＝★在るように 見えて 実は 無い★
#   ⇒★直す 前に 実Excel が 本当は 何を 返すかを 測る★
#
# ★どの Excel で 打ったか★ … 版 16.0 ／ build 20326
# ★物差し★ 表は =INDEX(式,行,列) で 1つずつ（★溢れさせない★）
#           行数・列数は ROWS/COLUMNS で ★別に 聞く★（見た目で 数えない）
#           『0』が 出たら ★=(式)=0 と 型★で 疑う
#
# ★★材料（機械が 読む）★★ … `#材料<タブ>マス<タブ>値` の 形
#材料	A1	100
#材料	B1	1
#材料	A2	120
#材料	B2	2
#材料	A3	140
#材料	B3	3
#材料	A4	160
#材料	B4	4
#材料	A5	180
#材料	B5	5
#材料	D1	2.7
#材料	E1	1
#材料	D2	5.1
#材料	E2	2
#材料	D3	6.9
#材料	E3	3
#材料	D4	9.4
#材料	E4	4
#材料	D5	11.2
#材料	E5	5
#材料	G1	10
#材料	H1	1
#材料	I1	2
#材料	G2	14
#材料	H2	2
#材料	I2	1
#材料	G3	21
#材料	H3	3
#材料	I3	4
#材料	G4	25
#材料	H4	4
#材料	I4	3
#材料	G5	33
#材料	H5	5
#材料	I5	6
#材料	G6	38
#材料	H6	6
#材料	I6	5
#材料	K1	3
#材料	L1	1
#材料	K2	7
#材料	L2	2
#材料	N1	100
#材料	N2	1
#材料	O1	120
#材料	O2	2
#材料	P1	140
#材料	P2	3
#材料	Q1	160
#材料	Q2	4
#材料	R1	180
#材料	R2	5
#材料	S1	200
#材料	S2	6
#
# 組	式	実Excel の 答え	型	窓２(=(式)=0)	何の 場所
x1本・きれい	=LINEST(A1:A5,B1:B5)	19.999999999999993	Double	—	裸（★うちが 拾う 形★）
x1本・きれい	=ROWS(LINEST(A1:A5,B1:B5))	1	Double	—	表の 大きさ（ROWS）
x1本・きれい	=COLUMNS(LINEST(A1:A5,B1:B5))	2	Double	—	表の 大きさ（COLUMNS）
x1本・きれい	=ROWS(LINEST(A1:A5,B1:B5,TRUE,TRUE))	5	Double	—	表の 大きさ（ROWS）
x1本・きれい	=COLUMNS(LINEST(A1:A5,B1:B5,TRUE,TRUE))	2	Double	—	表の 大きさ（COLUMNS）
x1本・きれい	=ROWS(LINEST(A1:A5,B1:B5,TRUE,FALSE))	1	Double	—	表の 大きさ（ROWS）
x1本・きれい	=COLUMNS(LINEST(A1:A5,B1:B5,TRUE,FALSE))	2	Double	—	表の 大きさ（COLUMNS）
x1本・きれい	=ROWS(LINEST(A1:A5,B1:B5,FALSE,TRUE))	5	Double	—	表の 大きさ（ROWS）
x1本・きれい	=COLUMNS(LINEST(A1:A5,B1:B5,FALSE,TRUE))	2	Double	—	表の 大きさ（COLUMNS）
x1本・きれい	=ROWS(LINEST(A1:A5,B1:B5,FALSE,FALSE))	1	Double	—	表の 大きさ（ROWS）
x1本・きれい	=COLUMNS(LINEST(A1:A5,B1:B5,FALSE,FALSE))	2	Double	—	表の 大きさ（COLUMNS）
x1本・きれい	=INDEX(LINEST(A1:A5,B1:B5,TRUE,TRUE),1,1)	19.999999999999993	Double	—	補正TRUE の 1行1列
x1本・きれい	=INDEX(LINEST(A1:A5,B1:B5,TRUE,TRUE),1,2)	80.00000000000003	Double	—	補正TRUE の 1行2列
x1本・きれい	=INDEX(LINEST(A1:A5,B1:B5,TRUE,TRUE),2,1)	1.8630587706705477E-15	Double	—	補正TRUE の 2行1列
