# ★LINEST の 紙を うちの 本番の 道で 押して 突き合わせた★（2026-09-09・2件目）
#
# ★正★ golden-linest-hyou-2026-09-09.tsv（実Excel の 実測）
# ★押す 道★ 本番と 同じ ①JS層 → ②convertFormula → エンジン
# ★材料は 紙から 読んだ★（54マス）★手で 写して いません★
# ★合う 幅★ 相対 1e-9（★字が そのまま 同じ 物は そのまま 合う★）
#
# 組	式	実Excel	うち	道	判じ	何の 場所
x1本・きれい	=LINEST(A1:A5,B1:B5)	19.999999999999993	20.00000000000003	エンジン	合った	裸（★うちが 拾う 形★）
x1本・きれい	=ROWS(LINEST(A1:A5,B1:B5))	1	1	エンジン	合った	表の 大きさ（ROWS）
x1本・きれい	=COLUMNS(LINEST(A1:A5,B1:B5))	2	2	エンジン	合った	表の 大きさ（COLUMNS）
x1本・きれい	=ROWS(LINEST(A1:A5,B1:B5,TRUE,TRUE))	5	5	エンジン	合った	表の 大きさ（ROWS）
x1本・きれい	=COLUMNS(LINEST(A1:A5,B1:B5,TRUE,TRUE))	2	2	エンジン	合った	表の 大きさ（COLUMNS）
x1本・きれい	=ROWS(LINEST(A1:A5,B1:B5,TRUE,FALSE))	1	1	エンジン	合った	表の 大きさ（ROWS）
x1本・きれい	=COLUMNS(LINEST(A1:A5,B1:B5,TRUE,FALSE))	2	2	エンジン	合った	表の 大きさ（COLUMNS）
x1本・きれい	=ROWS(LINEST(A1:A5,B1:B5,FALSE,TRUE))	5	5	エンジン	合った	表の 大きさ（ROWS）
x1本・きれい	=COLUMNS(LINEST(A1:A5,B1:B5,FALSE,TRUE))	2	2	エンジン	合った	表の 大きさ（COLUMNS）
x1本・きれい	=ROWS(LINEST(A1:A5,B1:B5,FALSE,FALSE))	1	1	エンジン	合った	表の 大きさ（ROWS）
x1本・きれい	=COLUMNS(LINEST(A1:A5,B1:B5,FALSE,FALSE))	2	2	エンジン	合った	表の 大きさ（COLUMNS）
x1本・きれい	=INDEX(LINEST(A1:A5,B1:B5,TRUE,TRUE),1,1)	19.999999999999993	20.00000000000003	エンジン	合った	補正TRUE の 1行1列
x1本・きれい	=INDEX(LINEST(A1:A5,B1:B5,TRUE,TRUE),1,2)	80.00000000000003	79.99999999999991	エンジン	合った	補正TRUE の 1行2列
x1本・きれい	=INDEX(LINEST(A1:A5,B1:B5,TRUE,TRUE),2,1)	1.8630587706705477E-15	1.640928159047308e-14	エンジン	★★違う★★	補正TRUE の 2行1列
x1本・きれい	=INDEX(LINEST(A1:A5,B1:B5,TRUE,TRUE),2,2)	6.1790669046949934E-15	5.4423430114885503e-14	エンジン	★★違う★★	補正TRUE の 2行2列
x1本・きれい	=INDEX(LINEST(A1:A5,B1:B5,TRUE,TRUE),3,1)	1	1	エンジン	合った	補正TRUE の 3行1列
x1本・きれい	=INDEX(LINEST(A1:A5,B1:B5,TRUE,TRUE),3,2)	5.891509130072236E-15	5.189070459296527e-14	エンジン	★★違う★★	補正TRUE の 3行2列
x1本・きれい	=INDEX(LINEST(A1:A5,B1:B5,TRUE,TRUE),4,1)	1.1524096365711176E+32	1.4855280471424563e+30	エンジン	★★違う★★	補正TRUE の 4行1列
x1本・きれい	=INDEX(LINEST(A1:A5,B1:B5,TRUE,TRUE),4,2)	3	3	エンジン	合った	補正TRUE の 4行2列
x1本・きれい	=INDEX(LINEST(A1:A5,B1:B5,TRUE,TRUE),5,1)	4000	4000	エンジン	合った	補正TRUE の 5行1列
x1本・きれい	=INDEX(LINEST(A1:A5,B1:B5,TRUE,TRUE),5,2)	1.0412963948917356E-28	8.077935669463161e-27	エンジン	★★違う★★	補正TRUE の 5行2列
x1本・きれい	=INDEX(LINEST(A1:A5,B1:B5),1,1)	19.999999999999993	20.00000000000003	エンジン	合った	既定の 1行1列
x1本・きれい	=INDEX(LINEST(A1:A5,B1:B5),1,2)	80.00000000000003	79.99999999999991	エンジン	合った	既定の 1行2列
x1本・きれい	=INDEX(LINEST(A1:A5,B1:B5,TRUE,TRUE),6,1)	#REF!	#NUM	エンジン	★誤りの 出方が 違う★	★表の 外を 指した（境目）★
x1本・きれい	=INDEX(LINEST(A1:A5,B1:B5,TRUE,TRUE),1,9)	#REF!	#NUM	エンジン	★誤りの 出方が 違う★	★表の 外を 指した（境目）★
x1本・きれい	=INDEX(LINEST(A1:A5,B1:B5,TRUE,TRUE),0,1)	19.999999999999993	#VALUE	エンジン	★誤りの 出方が 違う★	★表の 外を 指した（境目）★
x1本・きれい	=INDEX(LINEST(A1:A5,B1:B5,TRUE,TRUE),1,0)	19.999999999999993	#VALUE	エンジン	★誤りの 出方が 違う★	★表の 外を 指した（境目）★
x1本・端数	=LINEST(D1:D5,E1:E5)	2.1299999999999994	2.1300000000000034	エンジン	合った	裸（★うちが 拾う 形★）
x1本・端数	=ROWS(LINEST(D1:D5,E1:E5))	1	1	エンジン	合った	表の 大きさ（ROWS）
x1本・端数	=COLUMNS(LINEST(D1:D5,E1:E5))	2	2	エンジン	合った	表の 大きさ（COLUMNS）
