# ★A群の 4か所目★ BINOM.DIST.RANGE の 4桁丸めを 実Excel と 突き合わせた（2026-09-08）
#
# ★直す 所★ exally-formula.js:1301
#   String(Math.round(_jsBinomDistRange(…)★*10000)/10000★)
#   ⇒★お客さんの 計算の 答えを 黙って 4桁に して いる★
#
# ★★A群は 3か所だと 思って いたが 4か所でした★★
#   見張りの 探す 形が ★入れ子 2段★を 読めず、★コードに 在るのに 見えて いなかった★
#   ⇒ 見張りを ★括弧を 数えて 読む★形に 直してから 見つけた
#
# ★どの Excel で 打ったか★ … 版 16.0 ／ build 20326
#
# ★列★ 式／実Excel の 答え／型／4桁に 丸めた 数／相対の ずれ／★0に なるか★
# 式	実Excelの答え	型	4桁に丸めた数	相対のずれ	判じ
=BINOM.DIST.RANGE(10,0.5,3)	0.11718750000000003	Number	0.1172	1.067E-004	★4桁に すると ずれる（相対 1.067E-004）★
=BINOM.DIST.RANGE(20,0.3,4,8)	0.7795817326192905	Number	0.7796	2.343E-005	★4桁に すると ずれる（相対 2.343E-005）★
=BINOM.DIST.RANGE(60,0.75,48)	0.0839749674290475	Number	0.084	2.981E-004	★4桁に すると ずれる（相対 2.981E-004）★
=BINOM.DIST.RANGE(100,0.5,60)	0.010843866711637992	Number	0.0108	4.045E-003	★4桁に すると ずれる（相対 4.045E-003）★
=BINOM.DIST.RANGE(100,0.5,45,55)	0.7287469759261653	Number	0.7287	6.446E-005	★4桁に すると ずれる（相対 6.446E-005）★
=BINOM.DIST.RANGE(100,0.02,5)	0.035346804727720955	Number	0.0353	1.324E-003	★4桁に すると ずれる（相対 1.324E-003）★
=BINOM.DIST.RANGE(500,0.01,20)	2.1426377248779138E-07	Number	0	1.000E+000	★★4桁に すると 0 に なる（実Excel の 答えは 0 では ない … =(式)=0 は FALSE）★★
=BINOM.DIST.RANGE(1000,0.5,550)	0.00016939724527711636	Number	0.0002	1.807E-001	★4桁に すると ずれる（相対 1.807E-001）★
=BINOM.DIST.RANGE(1000,0.001,10)	9.782838349942018E-08	Number	0	1.000E+000	★★4桁に すると 0 に なる（実Excel の 答えは 0 では ない … =(式)=0 は FALSE）★★
=BINOM.DIST.RANGE(50,0.9,49,50)	0.03378585969243188	Number	0.0338	4.185E-004	★4桁に すると ずれる（相対 4.185E-004）★
=BINOM.DIST.RANGE(200,0.05,25)	1.7028799926336542E-05	Number	0	1.000E+000	★★4桁に すると 0 に なる（実Excel の 答えは 0 では ない … =(式)=0 は FALSE）★★
=BINOM.DIST.RANGE(30,0.5,0,30)	1	Number	1	0.000E+000	4桁でも 同じ（この 式では 差が 出ない）
#
# ★★締め★★ 測った 12本 ／ ★4桁で 0 に なる 3本★ ／ 相対の ずれ 最大 1.000E+000
#   ⇒★★『起きる事』が『起きない事』に 変わる＝一番 悪い 形★★
