# ★A群の 丸めを 外す 前と 後を 同じ 紙・同じ 行で 押し比べた★（2026-09-08）
#
# ★前★ 丸めが 在る 一番 新しい 版 … 09332d2499e780d4bba570cb96513b63e59f55d3（★履歴から 自分で 探した★）
# ★後★ 今 手元の exally-formula.js（丸めを 外した）
# ★正★ 実Excel の 実測（golden の 紙）
#   ⇒★「丸めを 外しただけ だから 同じ はず」は 私の 頭の 中の 話★
#     ⇒★本当に 前の コードを 読み込んで 押した★
#
# ★★book.html の 数式バーの 逃がし道は ★押して いません★★★
#   node には 画面が 無い＝★本物の ブラウザで 押す 要が 在る★
#   ⇒★「押して いない」と 書く（測って いないを 緑に しない）★
#
# ★材料も 正解も ★紙から 読んだ★（私が 書き写して いない）
#   A群の 紙 … 68個の マス ／ 58行
#   BINOM の 紙 … 12行
#
# 名	式	前(丸めが在る)	後(外した)	実Excel	判じ
XIRR	=XIRR(A1:A5,B1:B5)	0.5479	0.5478870839454123	0.5478870809078217	★★直った★★
XIRR	=XIRR(C1:C3,D1:D3)	0.0602	0.06023252670426265	0.0602325290441513	★★直った★★
XIRR	=XIRR(E1:E8,F1:F8)	-0.2444	-0.24437783722318418	-0.24437783285975462	★★直った★★
XIRR	=XIRR(G1:G3,H1:H3)	375686054239746.3	375686054239746.3	#NUM!	★実Excel が 誤り＝丸めの 話では ない（別に 見る）★
XIRR	=XIRR(I1:I3,J1:J3)	-0.5003	-0.5002981524324954	#NUM!	★実Excel が 誤り＝丸めの 話では ない（別に 見る）★
XIRR	=XIRR(K1:K2,L1:L2)	0.1	0.09999999999999988	0.09999999403953552	変わらず（前から 合って いた）
LINEST	=LINEST(A1:A5,B1:B5)	20	20	19.999999999999993	変わらず（前から 合って いた）
LINEST	=LINEST(C1:C5,D1:D5)	2.13	2.13	2.1299999999999994	変わらず（前から 合って いた）
LINEST	=LINEST(E1:E5,F1:F5)	0.1429	0.14285714285714285	0.14285714285714282	★★直った★★
LINEST	=LINEST(G1:G5,H1:H5)	0.3333	0.3333333333333333	0.33333333333333337	★★直った★★
LINEST	=LINEST(I1:I7,J1:J7)	0.6429	0.6428571428571429	0.6428571428571429	★★直った★★
LINEST	=LINEST(K1:K5,L1:L5)	0.0011	0.0010800000000000004	0.0010799999999999998	★★直った★★
LINEST	=LINEST(M1:M5,N1:N5)	1111088	1111088	1111088	変わらず（前から 合って いた）
BINOM.DIST.RANGE	=BINOM.DIST.RANGE(10,0.5,3)	0.1172	0.1171875	0.11718750000000003	★★直った★★
BINOM.DIST.RANGE	=BINOM.DIST.RANGE(20,0.3,4,8)	0.7796	0.7795817326192898	0.7795817326192905	★★直った★★
BINOM.DIST.RANGE	=BINOM.DIST.RANGE(60,0.75,48)	0.084	0.08397496742904749	0.0839749674290475	★★直った★★
BINOM.DIST.RANGE	=BINOM.DIST.RANGE(100,0.5,60)	0.0108	0.010843866711637985	0.010843866711637992	★★直った★★
BINOM.DIST.RANGE	=BINOM.DIST.RANGE(100,0.5,45,55)	0.7287	0.7287469759261652	0.7287469759261653	★★直った★★
BINOM.DIST.RANGE	=BINOM.DIST.RANGE(100,0.02,5)	0.0353	0.03534680472772088	0.035346804727720955	★★直った★★
BINOM.DIST.RANGE	=BINOM.DIST.RANGE(500,0.01,20)	0	2.142637724877904e-7	2.1426377248779138E-07	★★直った★★
BINOM.DIST.RANGE	=BINOM.DIST.RANGE(1000,0.5,550)	0.0002	0.00016939724527711563	0.00016939724527711636	★★直った★★
BINOM.DIST.RANGE	=BINOM.DIST.RANGE(1000,0.001,10)	0	9.782838349942047e-8	9.782838349942018E-08	★★直った★★
BINOM.DIST.RANGE	=BINOM.DIST.RANGE(50,0.9,49,50)	0.0338	0.03378585969243189	0.03378585969243188	★★直った★★
BINOM.DIST.RANGE	=BINOM.DIST.RANGE(200,0.05,25)	0	0.000017028799926336437	1.7028799926336542E-05	★★直った★★
BINOM.DIST.RANGE	=BINOM.DIST.RANGE(30,0.5,0,30)	1	1	1	変わらず（前から 合って いた）
#
# ★★締め★★ ★直った 18★ ／ ★壊れた 0★ ／ 変わらず 5 ／ 判じられない 0 ／ 実Excel が 誤りの 行 2
#   ―― 足すと 25 ／ 全 25行
#   ★押して いない … book.html の 数式バーの 逃がし道 1か所★
#   幅 … XIRR … 0.000001（実Excel 自身が 見当（第3引数）で 最大 9.65e-8 ばらつく＝その 10倍）
#   幅 … LINEST … 1e-14（丸めを 外した 後の 実測 7本の ばらつき 最大 6.023e-16（倍精度 2.7刻み分）の 約10倍）
#   幅 … BINOM … 1e-9（見当の 繰り返しが 無い＝実Excel と 桁まで 合う）
