# ★文字を 返す 式の 答えを 実Excel に 聞いた★（2026-09-11）
#
# ★なぜ★ うちは 答えを 文字で 持って いるのに、画面に 出す 時に
#   ★数として 読み直して★ いた ⇒ "3.00" が ★"3"★ に なる
#   ★TEXT だけの 話では ない★＝LEFT／RIGHT／TRIM … 文字を 返す 式は 全部
#
# ★3つ とも 見る★ ①出る字(.Text) ②型 ③窓２(=(A1)=0)
#
# ★どの Excel か★ … 版 16.0 ／ build 20326
# ★A1 = 3★
#
# 式	出る字	型	窓２(=(A1)=0)	何を 見て いるか
=TEXT(A1,"0.00")	3.00	String	—	書式の 字（うちは 3 に なって いた）
=TEXT(A1,"000")	003	String	—	頭に ゼロを 足す
=TEXT(1234.5,"#,##0.00")	1,234.50	String	—	桁区切り つき
=LEFT("3.00",4)	3.00	String	—	左から 切る
=RIGHT("12.50",5)	12.50	String	—	右から 切る
=MID("x12.50y",2,5)	12.50	String	—	真ん中を 切る
=A1&""	3	String	—	つなげる（数 → 文字）
=CONCATENATE("1",".","50")	1.50	String	—	つなげる（3つ）
=REPT("1",3)	111	String	—	繰り返す
=TRIM("  4.50  ")	4.50	String	—	前後の 空白を 取る
=SUBSTITUTE("1,5",",",".")	1.5	String	—	置き換える
=LEN(TEXT(A1,"0.00"))	4	Number	—	★数を 返す★（4 で なければ 文字で 持って いない）
=ISTEXT(TEXT(A1,"0.00"))	TRUE	Boolean	—	★真偽を 返す★（TRUE で なければ 文字で ない）
=A1*2	6	Number	—	★数を 返す★（ここは 数の まま で 正しい）
