# ★ODDFPRICE の 切り分け 2回目★（2026-09-16）
#
# ★見込みは 聞く 前に 書いて あります★ … kansuu46/oddf-kiku-koto-2.md
#   ⇒★後から 答えに 寄せられません★
#
# ★1回目で 分かった 事★
#   ㋐まるごとの 期間も basis で 割る（見込み ㋐-2 が 当たり）
#   ㋑準利払日を 越えた 所で 差が 約10倍に 跳ぶ（見込み ㋑-2 が 当たり）
#   ★端数3期・basis 3 は ぴたり 一致★
#
# ★2つ目の 窓★ `=(式)=0` … `.Value2` は 0 で ない 値に 0 を 返す
#
# ★どの Excel か★ … 版 16.0 ／ build 20326
#
# 訳	式	答え	出る字	=(式)=0	型
㋐段の中の傾き DATE(2009,7,2) (basis=1)	=ODDFPRICE(DATE(2009,7,2),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,1)	103.09945989078082	103.0995	False	Double
㋐段の中の傾き DATE(2009,7,2) (basis=2)	=ODDFPRICE(DATE(2009,7,2),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,2)	103.04078829202203	103.0408	False	Double
㋐段の中の傾き DATE(2009,7,2) (basis=3)	=ODDFPRICE(DATE(2009,7,2),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,3)	103.07851161035204	103.0785	False	Double
㋐段の中の傾き DATE(2009,7,3) (basis=1)	=ODDFPRICE(DATE(2009,7,3),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,1)	103.09739712601501	103.0974	False	Double
㋐段の中の傾き DATE(2009,7,3) (basis=2)	=ODDFPRICE(DATE(2009,7,3),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,2)	103.03867399677252	103.0387	False	Double
㋐段の中の傾き DATE(2009,7,3) (basis=3)	=ODDFPRICE(DATE(2009,7,3),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,3)	103.07642574643232	103.0764	False	Double
㋐段の中の傾き DATE(2009,7,4) (basis=1)	=ODDFPRICE(DATE(2009,7,4),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,1)	103.09533627258338	103.0953	False	Double
㋐段の中の傾き DATE(2009,7,4) (basis=2)	=ODDFPRICE(DATE(2009,7,4),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,2)	103.03656169797142	103.0366	False	Double
㋐段の中の傾き DATE(2009,7,4) (basis=3)	=ODDFPRICE(DATE(2009,7,4),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,3)	103.07434182456466	103.0743	False	Double
㋐段の中の傾き DATE(2009,7,5) (basis=1)	=ODDFPRICE(DATE(2009,7,5),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,1)	103.09327733074247	103.0933	False	Double
㋐段の中の傾き DATE(2009,7,5) (basis=2)	=ODDFPRICE(DATE(2009,7,5),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,2)	103.03445139589263	103.0345	False	Double
㋐段の中の傾き DATE(2009,7,5) (basis=3)	=ODDFPRICE(DATE(2009,7,5),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,3)	103.0722598450119	103.0723	False	Double
㋑境目の1日 DATE(2009,6,30) (basis=0)	=ODDFPRICE(DATE(2009,6,30),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,0)	103.10363709913845	103.1036	False	Double
㋑境目の1日 DATE(2009,6,30) (basis=1)	=ODDFPRICE(DATE(2009,6,30),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,1)	103.10362542220334	103.1036	False	Double
㋑境目の1日 DATE(2009,6,30) (basis=2)	=ODDFPRICE(DATE(2009,6,30),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,2)	103.10322836463808	103.1032	False	Double
㋑境目の1日 DATE(2009,6,30) (basis=3)	=ODDFPRICE(DATE(2009,6,30),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,3)	103.10421280474593	103.1042	False	Double
㋑境目の1日 DATE(2009,6,30) (basis=4)	=ODDFPRICE(DATE(2009,6,30),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,4)	103.10363709913845	103.1036	False	Double
㋑境目の1日 DATE(2009,7,1) (basis=0)	=ODDFPRICE(DATE(2009,7,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,0)	103.10152456662433	103.1015	False	Double
㋑境目の1日 DATE(2009,7,1) (basis=1)	=ODDFPRICE(DATE(2009,7,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,1)	103.10152456662433	103.1015	False	Double
㋑境目の1日 DATE(2009,7,1) (basis=2)	=ODDFPRICE(DATE(2009,7,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,2)	103.04290458344613	103.0429	False	Double
㋑境目の1日 DATE(2009,7,1) (basis=3)	=ODDFPRICE(DATE(2009,7,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,3)	103.08059941606115	103.0806	False	Double
㋑境目の1日 DATE(2009,7,1) (basis=4)	=ODDFPRICE(DATE(2009,7,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,4)	103.10152456662433	103.1015	False	Double
㋑境目の1日 DATE(2009,7,2) (basis=0)	=ODDFPRICE(DATE(2009,7,2),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,0)	103.09941403080053	103.0994	False	Double
㋑境目の1日 DATE(2009,7,2) (basis=1)	=ODDFPRICE(DATE(2009,7,2),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,1)	103.09945989078082	103.0995	False	Double
㋑境目の1日 DATE(2009,7,2) (basis=2)	=ODDFPRICE(DATE(2009,7,2),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,2)	103.04078829202203	103.0408	False	Double
㋑境目の1日 DATE(2009,7,2) (basis=3)	=ODDFPRICE(DATE(2009,7,2),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,3)	103.07851161035204	103.0785	False	Double
㋑境目の1日 DATE(2009,7,2) (basis=4)	=ODDFPRICE(DATE(2009,7,2),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,4)	103.09941403080053	103.0994	False	Double
㋒合った形の隣 DATE(2009,6,30) (basis=2)	=ODDFPRICE(DATE(2009,6,30),DATE(2013,1,1),DATE(2008,7,1),DATE(2010,1,1),0.06,0.05,100,2,2)	103.01176328440553	103.0118	False	Double
㋒合った形の隣 DATE(2009,6,30) (basis=3)	=ODDFPRICE(DATE(2009,6,30),DATE(2013,1,1),DATE(2008,7,1),DATE(2010,1,1),0.06,0.05,100,2,3)	103.05409431246628	103.0541	False	Double
㋒合った形の隣 DATE(2009,7,1) (basis=2)	=ODDFPRICE(DATE(2009,7,1),DATE(2013,1,1),DATE(2008,7,1),DATE(2010,1,1),0.06,0.05,100,2,2)	102.95021533012857	102.9502	False	Double
㋒合った形の隣 DATE(2009,7,1) (basis=3)	=ODDFPRICE(DATE(2009,7,1),DATE(2013,1,1),DATE(2008,7,1),DATE(2010,1,1),0.06,0.05,100,2,3)	103.03027970006697	103.0303	False	Double
㋒合った形の隣 DATE(2009,7,2) (basis=2)	=ODDFPRICE(DATE(2009,7,2),DATE(2013,1,1),DATE(2008,7,1),DATE(2010,1,1),0.06,0.05,100,2,2)	102.94850704042291	102.9485	False	Double
㋒合った形の隣 DATE(2009,7,2) (basis=3)	=ODDFPRICE(DATE(2009,7,2),DATE(2013,1,1),DATE(2008,7,1),DATE(2010,1,1),0.06,0.05,100,2,3)	103.02859435540036	103.0286	False	Double
㋒合った形の隣 DATE(2009,10,1) (basis=2)	=ODDFPRICE(DATE(2009,10,1),DATE(2013,1,1),DATE(2008,7,1),DATE(2010,1,1),0.06,0.05,100,2,2)	102.80167843454248	102.8017	False	Double
㋒合った形の隣 DATE(2009,10,1) (basis=3)	=ODDFPRICE(DATE(2009,10,1),DATE(2013,1,1),DATE(2008,7,1),DATE(2010,1,1),0.06,0.05,100,2,3)	102.88361830323325	102.8836	False	Double
㋓ODDLPRICE対照(作り直し basis=0)	=ODDLPRICE(DATE(2009,3,10),DATE(2009,8,31),DATE(2008,11,30),0.045,0.05,100,4,0)	99.765199612696492	99.7652	False	Double
㋓ODDLPRICE対照(作り直し basis=1)	=ODDLPRICE(DATE(2009,3,10),DATE(2009,8,31),DATE(2008,11,30),0.045,0.05,100,4,1)	99.776476358001872	99.77648	False	Double
㋓ODDLPRICE対照(作り直し basis=2)	=ODDLPRICE(DATE(2009,3,10),DATE(2009,8,31),DATE(2008,11,30),0.045,0.05,100,4,2)	99.776476358001872	99.77648	False	Double
㋓ODDLPRICE対照(作り直し basis=3)	=ODDLPRICE(DATE(2009,3,10),DATE(2009,8,31),DATE(2008,11,30),0.045,0.05,100,4,3)	99.776476358001872	99.77648	False	Double
㋓ODDLPRICE対照(作り直し basis=4)	=ODDLPRICE(DATE(2009,3,10),DATE(2009,8,31),DATE(2008,11,30),0.045,0.05,100,4,4)	99.767345276872959	99.76735	False	Double
㋔対照(紙に在る・○のはず)	=ODDFPRICE(DATE(2008,11,11),DATE(2021,3,1),DATE(2008,10,15),DATE(2009,3,1),0.0785,0.0625,100,2,2)	113.59879960832529	113.5988	False	Double
㋔対照(紙に在る・○のはず)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,1)	103.37232293583249	103.3723	False	Double
㋔対照(前の枠と同じ・○のはず)	=ODDFPRICE(DATE(2009,7,1),DATE(2013,1,1),DATE(2008,7,1),DATE(2010,1,1),0.06,0.05,100,2,3)	103.03027970006697	103.0303	False	Double
