# ★ODDFPRICE の 切り分け 3回目★（2026-09-16）
#
# ★聞く 事は 1つ★ … ODDFPRICE の 中で basis 2・3 の「1期の 長さ」は 何か
# ★見込みは 聞く 前に 書いて あります★ … kansuu46/oddf-kiku-koto-3.md
#
# ★2つ目の 窓★ `=(式)=0` … `.Value2` は 0 で ない 値に 0 を 返す
#
# ★どの Excel か★ … 版 16.0 ／ build 20326
#
# 訳	式	答え	出る字	=(式)=0	型
㋐NC1で1日ずつ DATE(2009,1,2) (basis=1)	=ODDFPRICE(DATE(2009,1,2),DATE(2013,1,1),DATE(2009,1,1),DATE(2009,7,1),0.06,0.05,100,2,1)	-2146826252	#NUM!	-2146826252	Other
㋐NC1で1日ずつ DATE(2009,1,2) (basis=2)	=ODDFPRICE(DATE(2009,1,2),DATE(2013,1,1),DATE(2009,1,1),DATE(2009,7,1),0.06,0.05,100,2,2)	103.58466207967315	103.5847	False	Double
㋐NC1で1日ずつ DATE(2009,1,2) (basis=3)	=ODDFPRICE(DATE(2009,1,2),DATE(2013,1,1),DATE(2009,1,1),DATE(2009,7,1),0.06,0.05,100,2,3)	103.57961004865872	103.5796	False	Double
㋐NC1で1日ずつ DATE(2009,1,3) (basis=1)	=ODDFPRICE(DATE(2009,1,3),DATE(2013,1,1),DATE(2009,1,1),DATE(2009,7,1),0.06,0.05,100,2,1)	-2146826252	#NUM!	-2146826252	Other
㋐NC1で1日ずつ DATE(2009,1,3) (basis=2)	=ODDFPRICE(DATE(2009,1,3),DATE(2013,1,1),DATE(2009,1,1),DATE(2009,7,1),0.06,0.05,100,2,2)	103.58220854050761	103.5822	False	Double
㋐NC1で1日ずつ DATE(2009,1,3) (basis=3)	=ODDFPRICE(DATE(2009,1,3),DATE(2013,1,1),DATE(2009,1,1),DATE(2009,7,1),0.06,0.05,100,2,3)	103.57718939195769	103.5772	False	Double
㋐NC1で1日ずつ DATE(2009,4,1) (basis=1)	=ODDFPRICE(DATE(2009,4,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2009,7,1),0.06,0.05,100,2,1)	-2146826252	#NUM!	-2146826252	Other
㋐NC1で1日ずつ DATE(2009,4,1) (basis=2)	=ODDFPRICE(DATE(2009,4,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2009,7,1),0.06,0.05,100,2,2)	103.37396340035723	103.374	False	Double
㋐NC1で1日ずつ DATE(2009,4,1) (basis=3)	=ODDFPRICE(DATE(2009,4,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2009,7,1),0.06,0.05,100,2,3)	103.37162851016076	103.3716	False	Double
㋐NC1で1日ずつ DATE(2009,6,29) (basis=1)	=ODDFPRICE(DATE(2009,6,29),DATE(2013,1,1),DATE(2009,1,1),DATE(2009,7,1),0.06,0.05,100,2,1)	-2146826252	#NUM!	-2146826252	Other
㋐NC1で1日ずつ DATE(2009,6,29) (basis=2)	=ODDFPRICE(DATE(2009,6,29),DATE(2013,1,1),DATE(2009,1,1),DATE(2009,7,1),0.06,0.05,100,2,2)	103.17889771515634	103.1789	False	Double
㋐NC1で1日ずつ DATE(2009,6,29) (basis=3)	=ODDFPRICE(DATE(2009,6,29),DATE(2013,1,1),DATE(2009,1,1),DATE(2009,7,1),0.06,0.05,100,2,3)	103.17885127479231	103.1789	False	Double
㋐NC1で1日ずつ DATE(2009,6,30) (basis=1)	=ODDFPRICE(DATE(2009,6,30),DATE(2013,1,1),DATE(2009,1,1),DATE(2009,7,1),0.06,0.05,100,2,1)	-2146826252	#NUM!	-2146826252	Other
㋐NC1で1日ずつ DATE(2009,6,30) (basis=2)	=ODDFPRICE(DATE(2009,6,30),DATE(2013,1,1),DATE(2009,1,1),DATE(2009,7,1),0.06,0.05,100,2,2)	103.17679550769063	103.1768	False	Double
㋐NC1で1日ずつ DATE(2009,6,30) (basis=3)	=ODDFPRICE(DATE(2009,6,30),DATE(2013,1,1),DATE(2009,1,1),DATE(2009,7,1),0.06,0.05,100,2,3)	103.17677231506883	103.1768	False	Double
㋑f=1 (basis=1)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,1,1)	-2146826252	#NUM!	-2146826252	Other
㋑f=2 (basis=1)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2009,7,1),0.06,0.05,100,2,1)	-2146826252	#NUM!	-2146826252	Other
㋑f=4 (basis=1)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2009,4,1),0.06,0.05,100,4,1)	-2146826252	#NUM!	-2146826252	Other
㋑f=1 (basis=2)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,1,2)	103.40314858400055	103.4031	False	Double
㋑f=2 (basis=2)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2009,7,1),0.06,0.05,100,2,2)	103.44558827478386	103.4456	False	Double
