# ★ODDFPRICE … 部品を 直に 取り出す★（2026-09-17・4回目）
#
# ★考え★ 価格には DFC・A・DSC・N が 全部 混ざって います
#   ⇒★引数を 0 に すると 混ざりが 解けます★
#   ㋐利率0  … 券=0  ⇒ 価格 = 償還 ÷ (1+利回り/f)^((N-1)+DSC)
#   ㋑利回り0 … 割引なし ⇒ 価格 = 償還 + (N-1)×券 + 券×(DFC-A)
#   ㋒両方0  … ★100 の はず★（対照）
#
# ★見込みは 聞く 前に 書いて あります★ … kansuu46/oddf-yonwakume-no-an.md
#
# ★2つ目の 窓★ `=(式)=0` … `.Value2` は 0 で ない 値に 0 を 返す
#
# ★どの Excel か★ … 版 16.0 ／ build 20326
#
# 訳	式	答え	出る字	=(式)=0	型	㆒の 印
㋐利率0 端数1期 (basis=0)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2009,7,1),0,0.05,100,2,0)	-2146826252	#NUM!	-2146826252	Other	
㋑利回り0 端数1期 (basis=0)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2009,7,1),0.06,0,100,2,0)	-2146826252	#NUM!	-2146826252	Other	
㋒両方0 端数1期 (basis=0)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2009,7,1),0,0,100,2,0)	-2146826252	#NUM!	-2146826252	Other	
㋐利率0 端数1期 (basis=1)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2009,7,1),0,0.05,100,2,1)	-2146826252	#NUM!	-2146826252	Other	
㋑利回り0 端数1期 (basis=1)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2009,7,1),0.06,0,100,2,1)	-2146826252	#NUM!	-2146826252	Other	
㋒両方0 端数1期 (basis=1)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2009,7,1),0,0,100,2,1)	-2146826252	#NUM!	-2146826252	Other	
㋐利率0 端数1期 (basis=2)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2009,7,1),0,0.05,100,2,2)	82.73028960219726	82.73029	False	Double	
㋑利回り0 端数1期 (basis=2)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2009,7,1),0.06,0,100,2,2)	123.03333333333333	123.0333	False	Double	
㋒両方0 端数1期 (basis=2)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2009,7,1),0,0,100,2,2)	100	100	False	Double	
㋐利率0 端数1期 (basis=3)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2009,7,1),0,0.05,100,2,3)	82.749258663377034	82.74926	False	Double	
㋑利回り0 端数1期 (basis=3)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2009,7,1),0.06,0,100,2,3)	123.0054794520548	123.0055	False	Double	
㋒両方0 端数1期 (basis=3)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2009,7,1),0,0,100,2,3)	100	100	False	Double	
㋐利率0 端数1期 (basis=4)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2009,7,1),0,0.05,100,2,4)	-2146826252	#NUM!	-2146826252	Other	
㋑利回り0 端数1期 (basis=4)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2009,7,1),0.06,0,100,2,4)	-2146826252	#NUM!	-2146826252	Other	
㋒両方0 端数1期 (basis=4)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2009,7,1),0,0,100,2,4)	-2146826252	#NUM!	-2146826252	Other	
㋐利率0 端数2期 (basis=0)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0,0.05,100,2,0)	82.752990793904871	82.75299	False	Double	
㋑利回り0 端数2期 (basis=0)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0,100,2,0)	123	123	False	Double	
㋒両方0 端数2期 (basis=0)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0,0,100,2,0)	100	100	False	Double	
㋐利率0 端数2期 (basis=1)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0,0.05,100,2,1)	82.737939584255585	82.73794	False	Double	
㋑利回り0 端数2期 (basis=1)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0,100,2,1)	123.02209944751381	123.0221	False	Double	
㋒両方0 端数2期 (basis=1)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0,0,100,2,1)	100	100	False	Double	
㋐利率0 端数2期 (basis=2)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0,0.05,100,2,2)	82.73028960219726	82.73029	False	Double	
㋑利回り0 端数2期 (basis=2)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0,100,2,2)	123.03333333333333	123.0333	False	Double	
㋒両方0 端数2期 (basis=2)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0,0,100,2,2)	100	100	False	Double	
㋐利率0 端数2期 (basis=3)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0,0.05,100,2,3)	82.749258663377034	82.74926	False	Double	
㋑利回り0 端数2期 (basis=3)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0,100,2,3)	123.0054794520548	123.0055	False	Double	
㋒両方0 端数2期 (basis=3)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0,0,100,2,3)	100	100	False	Double	
㋐利率0 端数2期 (basis=4)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0,0.05,100,2,4)	82.752990793904871	82.75299	False	Double	
㋑利回り0 端数2期 (basis=4)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0,100,2,4)	123	123	False	Double	
㋒両方0 端数2期 (basis=4)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0,0,100,2,4)	100	100	False	Double	
㋐利率0 端数3期 (basis=0)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2008,7,1),DATE(2010,1,1),0,0.05,100,2,0)	82.752990793904871	82.75299	False	Double	
㋑利回り0 端数3期 (basis=0)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2008,7,1),DATE(2010,1,1),0.06,0,100,2,0)	123	123	False	Double	
㋒両方0 端数3期 (basis=0)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2008,7,1),DATE(2010,1,1),0,0,100,2,0)	100	100	False	Double	
㋐利率0 端数3期 (basis=1)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2008,7,1),DATE(2010,1,1),0,0.05,100,2,1)	82.737939584255585	82.73794	False	Double	
㋑利回り0 端数3期 (basis=1)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2008,7,1),DATE(2010,1,1),0.06,0,100,2,1)	123.02209944751381	123.0221	False	Double	
㋒両方0 端数3期 (basis=1)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2008,7,1),DATE(2010,1,1),0,0,100,2,1)	100	100	False	Double	
㋐利率0 端数3期 (basis=2)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2008,7,1),DATE(2010,1,1),0,0.05,100,2,2)	82.73028960219726	82.73029	False	Double	
㋑利回り0 端数3期 (basis=2)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2008,7,1),DATE(2010,1,1),0.06,0,100,2,2)	123.01666666666667	123.0167	False	Double	
㋒両方0 端数3期 (basis=2)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2008,7,1),DATE(2010,1,1),0,0,100,2,2)	100	100	False	Double	
㋐利率0 端数3期 (basis=3)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2008,7,1),DATE(2010,1,1),0,0.05,100,2,3)	82.749258663377034	82.74926	False	Double	
㋑利回り0 端数3期 (basis=3)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2008,7,1),DATE(2010,1,1),0.06,0,100,2,3)	123.03013698630137	123.0301	False	Double	
㋒両方0 端数3期 (basis=3)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2008,7,1),DATE(2010,1,1),0,0,100,2,3)	100	100	False	Double	
㋐利率0 端数3期 (basis=4)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2008,7,1),DATE(2010,1,1),0,0.05,100,2,4)	82.752990793904871	82.75299	False	Double	
㋑利回り0 端数3期 (basis=4)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2008,7,1),DATE(2010,1,1),0.06,0,100,2,4)	123	123	False	Double	
㋒両方0 端数3期 (basis=4)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2008,7,1),DATE(2010,1,1),0,0,100,2,4)	100	100	False	Double	
㋓利率0で決済を動かす DATE(2009,2,1) (basis=1)	=ODDFPRICE(DATE(2009,2,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0,0.05,100,2,1)	82.422495785264971	82.4225	False	Double	
㋓利率0で決済を動かす DATE(2009,2,1) (basis=2)	=ODDFPRICE(DATE(2009,2,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0,0.05,100,2,2)	82.413126028943239	82.41313	False	Double	
㋓利率0で決済を動かす DATE(2009,2,1) (basis=3)	=ODDFPRICE(DATE(2009,2,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0,0.05,100,2,3)	82.436359844373811	82.43636	False	Double	
㋓利率0で決済を動かす DATE(2009,4,1) (basis=1)	=ODDFPRICE(DATE(2009,4,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0,0.05,100,2,1)	83.088589330430551	83.08859	False	Double	
㋓利率0で決済を動かす DATE(2009,4,1) (basis=2)	=ODDFPRICE(DATE(2009,4,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0,0.05,100,2,2)	83.082858945920492	83.08286	False	Double	
㋓利率0で決済を動かす DATE(2009,4,1) (basis=3)	=ODDFPRICE(DATE(2009,4,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0,0.05,100,2,3)	83.097067884484417	83.09707	False	Double	
㋓利率0で決済を動かす DATE(2009,8,1) (basis=1)	=ODDFPRICE(DATE(2009,8,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0,0.05,100,2,1)	84.477233014689517	84.47723	False	Double	
㋓利率0で決済を動かす DATE(2009,8,1) (basis=2)	=ODDFPRICE(DATE(2009,8,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0,0.05,100,2,2)	84.438696827602143	84.4387	False	Double	
㋓利率0で決済を動かす DATE(2009,8,1) (basis=3)	=ODDFPRICE(DATE(2009,8,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0,0.05,100,2,3)	84.4629778553526	84.46298	False	Double	
㋓利率0で決済を動かす DATE(2009,11,1) (basis=1)	=ODDFPRICE(DATE(2009,11,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0,0.05,100,2,1)	85.526679873964483	85.52668	False	Double	
㋓利率0で決済を動かす DATE(2009,11,1) (basis=2)	=ODDFPRICE(DATE(2009,11,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0,0.05,100,2,2)	85.511122773636359	85.51112	False	Double	
