# ★DFC と A を 別々に 取り出す★（2026-09-17・5回目）
#
# ★考え★ DFC の 項は 割^DSC で 割られ、A の 項は 割られません
#   ⇒★利回りを 3つ 変えれば DFC と A が 分かれ、揃うかも 見られます★
#   ★DSC は 4枠目の「利率 0」で 既に 出て います★
#
# ★見込みは 聞く 前に 書いて あります★ … kansuu46/oddf-gowakume-no-an.md
#
# ★2つ目の 窓★ `=(式)=0` … `.Value2` は 0 で ない 値に 0 を 返す
#
# ★どの Excel か★ … 版 16.0 ／ build 20326
#
# 訳	式	答え	出る字	=(式)=0	型
ODDF 利回り0.03 端数1期 (basis=0)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2009,7,1),0.06,0.03,100,2,0)	-2146826252	#NUM!	-2146826252	Other
ODDF 利回り0.03 端数1期 (basis=1)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2009,7,1),0.06,0.03,100,2,1)	-2146826252	#NUM!	-2146826252	Other
ODDF 利回り0.03 端数1期 (basis=2)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2009,7,1),0.06,0.03,100,2,2)	110.79694976871986	110.7969	False	Double
ODDF 利回り0.03 端数1期 (basis=3)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2009,7,1),0.06,0.03,100,2,3)	110.78495818402607	110.785	False	Double
ODDF 利回り0.03 端数1期 (basis=4)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2009,7,1),0.06,0.03,100,2,4)	-2146826252	#NUM!	-2146826252	Other
ODDF 利回り0.05 端数1期 (basis=0)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2009,7,1),0.06,0.05,100,2,0)	-2146826252	#NUM!	-2146826252	Other
ODDF 利回り0.05 端数1期 (basis=1)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2009,7,1),0.06,0.05,100,2,1)	-2146826252	#NUM!	-2146826252	Other
ODDF 利回り0.05 端数1期 (basis=2)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2009,7,1),0.06,0.05,100,2,2)	103.44558827478386	103.4456	False	Double
ODDF 利回り0.05 端数1期 (basis=3)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2009,7,1),0.06,0.05,100,2,3)	103.44235522323493	103.4424	False	Double
ODDF 利回り0.05 端数1期 (basis=4)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2009,7,1),0.06,0.05,100,2,4)	-2146826252	#NUM!	-2146826252	Other
ODDF 利回り0.08 端数1期 (basis=0)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2009,7,1),0.06,0.08,100,2,0)	-2146826252	#NUM!	-2146826252	Other
ODDF 利回り0.08 端数1期 (basis=1)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2009,7,1),0.06,0.08,100,2,1)	-2146826252	#NUM!	-2146826252	Other
ODDF 利回り0.08 端数1期 (basis=2)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2009,7,1),0.06,0.08,100,2,2)	93.486322297214528	93.48632	False	Double
ODDF 利回り0.08 端数1期 (basis=3)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2009,7,1),0.06,0.08,100,2,3)	93.49394516639282	93.49395	False	Double
ODDF 利回り0.08 端数1期 (basis=4)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2009,7,1),0.06,0.08,100,2,4)	-2146826252	#NUM!	-2146826252	Other
ODDF 利回り0.03 端数2期 (basis=0)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.03,100,2,0)	110.73837718469008	110.7384	False	Double
ODDF 利回り0.03 端数2期 (basis=1)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.03,100,2,1)	110.74822220736984	110.7482	False	Double
ODDF 利回り0.03 端数2期 (basis=2)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.03,100,2,2)	110.7528161029674	110.7528	False	Double
ODDF 利回り0.03 端数2期 (basis=3)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.03,100,2,3)	110.74142307136763	110.7414	False	Double
ODDF 利回り0.03 端数2期 (basis=4)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.03,100,2,4)	110.73837718469008	110.7384	False	Double
ODDF 利回り0.05 端数2期 (basis=0)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,0)	103.36920628023452	103.3692	False	Double
ODDF 利回り0.05 端数2期 (basis=1)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,1)	103.37232293583249	103.3723	False	Double
ODDF 利回り0.05 端数2期 (basis=2)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,2)	103.37323218814522	103.3732	False	Double
ODDF 利回り0.05 端数2期 (basis=3)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,3)	103.37097395274969	103.371	False	Double
ODDF 利回り0.05 端数2期 (basis=4)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,4)	103.36920628023452	103.3692	False	Double
