# ★ODDFPRICE の 部品を 実Excel に 直に 聞いた★（2026-09-16）
#
# ★なぜ★ 答えを 当てて 6通り 試して 全部 悪く なった（棚63）
#   ⇒★答えでは なく 部品（日数の 数え方）を 聞く★
#
# ★聞く 部品★
#   COUPDAYBS  … 前の 利払日から 決済までの 日数
#   COUPDAYS   … 決済が 入って いる 利払期間の 日数
#   COUPDAYSNC … 決済から 次の 利払日までの 日数
#   COUPNUM    … 決済から 満期までの 利払回数
#   YEARFRAC   … 2つの 日の 間の 年数（basis ごと）
#
# ★2つ目の 窓★ `=(式)=0` … `.Value2` は 0 で ない 値に 0 を 返す
#
# ★どの Excel か★ … 版 16.0 ／ build 20326
#
# 組	basis	部品	式	答え	=(式)=0	型
A	0	COUPDAYBS	=COUPDAYBS(DATE(2008,11,11),DATE(2021,3,1),2,0)	70	False	Double
A	0	COUPDAYS	=COUPDAYS(DATE(2008,11,11),DATE(2021,3,1),2,0)	180	False	Double
A	0	COUPDAYSNC	=COUPDAYSNC(DATE(2008,11,11),DATE(2021,3,1),2,0)	110	False	Double
A	0	COUPNUM	=COUPNUM(DATE(2008,11,11),DATE(2021,3,1),2,0)	25	False	Double
A	0	YF_発初	=YEARFRAC(DATE(2008,10,15),DATE(2009,3,1),0)	0.37777777777777777	False	Double
A	0	YF_発決	=YEARFRAC(DATE(2008,10,15),DATE(2008,11,11),0)	0.072222222222222215	False	Double
A	0	YF_決初	=YEARFRAC(DATE(2008,11,11),DATE(2009,3,1),0)	0.30555555555555558	False	Double
A	1	COUPDAYBS	=COUPDAYBS(DATE(2008,11,11),DATE(2021,3,1),2,1)	71	False	Double
A	1	COUPDAYS	=COUPDAYS(DATE(2008,11,11),DATE(2021,3,1),2,1)	181	False	Double
A	1	COUPDAYSNC	=COUPDAYSNC(DATE(2008,11,11),DATE(2021,3,1),2,1)	110	False	Double
A	1	COUPNUM	=COUPNUM(DATE(2008,11,11),DATE(2021,3,1),2,1)	25	False	Double
A	1	YF_発初	=YEARFRAC(DATE(2008,10,15),DATE(2009,3,1),1)	0.37534246575342467	False	Double
A	1	YF_発決	=YEARFRAC(DATE(2008,10,15),DATE(2008,11,11),1)	0.073770491803278687	False	Double
A	1	YF_決初	=YEARFRAC(DATE(2008,11,11),DATE(2009,3,1),1)	0.30136986301369861	False	Double
A	2	COUPDAYBS	=COUPDAYBS(DATE(2008,11,11),DATE(2021,3,1),2,2)	71	False	Double
A	2	COUPDAYS	=COUPDAYS(DATE(2008,11,11),DATE(2021,3,1),2,2)	180	False	Double
A	2	COUPDAYSNC	=COUPDAYSNC(DATE(2008,11,11),DATE(2021,3,1),2,2)	110	False	Double
A	2	COUPNUM	=COUPNUM(DATE(2008,11,11),DATE(2021,3,1),2,2)	25	False	Double
A	2	YF_発初	=YEARFRAC(DATE(2008,10,15),DATE(2009,3,1),2)	0.38055555555555554	False	Double
A	2	YF_発決	=YEARFRAC(DATE(2008,10,15),DATE(2008,11,11),2)	0.075	False	Double
A	2	YF_決初	=YEARFRAC(DATE(2008,11,11),DATE(2009,3,1),2)	0.30555555555555558	False	Double
A	3	COUPDAYBS	=COUPDAYBS(DATE(2008,11,11),DATE(2021,3,1),2,3)	71	False	Double
A	3	COUPDAYS	=COUPDAYS(DATE(2008,11,11),DATE(2021,3,1),2,3)	182.5	False	Double
A	3	COUPDAYSNC	=COUPDAYSNC(DATE(2008,11,11),DATE(2021,3,1),2,3)	110	False	Double
A	3	COUPNUM	=COUPNUM(DATE(2008,11,11),DATE(2021,3,1),2,3)	25	False	Double
A	3	YF_発初	=YEARFRAC(DATE(2008,10,15),DATE(2009,3,1),3)	0.37534246575342467	False	Double
A	3	YF_発決	=YEARFRAC(DATE(2008,10,15),DATE(2008,11,11),3)	0.073972602739726029	False	Double
A	3	YF_決初	=YEARFRAC(DATE(2008,11,11),DATE(2009,3,1),3)	0.30136986301369861	False	Double
