# ★ODDF の 残り 1本 と ODDL の 6本を 実Excel に 聞いた★（2026-09-18）
#
# ★問いは 紙から 機械で 拾いました★ ... kansuu46/oddf-nokori-1pon-kiku-koto.md
# ★材料は 要りません★（全部 その場の 日付）
#
# ★どの Excel か★ ... 版 16.0 ／ build 20326
# ★どの 貝殻か★ ... PowerShell 5.1.26100.9278
# ★どの 文字コードか★ ... ANSI 932 ／ ja-JP
#
# 番	式	答え	出る字	型
1	=ODDLPRICE(DATE(2009,7,15), DATE(2009,8,31), DATE(2008,11,30), 0.045, 0, 100,4,0)	100.5625	100.5625	Double
2	=ODDLPRICE(DATE(2009,7,15), DATE(2009,8,31), DATE(2008,11,30), 0, 0.05, 100,4,0)	99.406323346679542	99.40632	Double
3	=ODDLPRICE(DATE(2009,7,15), DATE(2009,8,31), DATE(2008,11,30), 0.045, 0.05, 100,4,0)	99.948638340466658	99.94864	Double
4	=ODDLPRICE(DATE(2009,3,10), DATE(2009,5,31), DATE(2008,11,30), 0.045, 0, 100,4,0)	101.02272727272728	101.0227	Double
5	=ODDLPRICE(DATE(2009,3,10), DATE(2009,5,31), DATE(2008,11,30), 0, 0.05, 100,4,0)	98.904186569261043	98.90419	Double
6	=ODDLPRICE(DATE(2009,3,10), DATE(2009,5,31), DATE(2008,11,30), 0.045, 0.05, 100,4,0)	99.901977860226324	99.90198	Double
7	=ODDLPRICE(DATE(2009,3,10), DATE(2009,11,30), DATE(2008,11,30), 0.045, 0, 100,4,0)	103.2721590909091	103.2722	Double
8	=ODDLPRICE(DATE(2009,3,10), DATE(2009,11,30), DATE(2008,11,30), 0, 0.05, 100,4,0)	96.517685769125308	96.51769	Double
9	=ODDLPRICE(DATE(2009,3,10), DATE(2009,11,30), DATE(2008,11,30), 0.045, 0.05, 100,4,0)	99.632270141087318	99.63227	Double
10	=ODDLPRICE(DATE(2008,2,7), DATE(2008,6,15), DATE(2007,10,15), 0.0375, 0, 100,2,0)	101.33333333333333	101.3333	Double
11	=ODDLPRICE(DATE(2008,2,7), DATE(2008,6,15), DATE(2007,10,15), 0, 0.0405, 100,2,0)	98.580441640378552	98.58044	Double
12	=ODDLPRICE(DATE(2008,2,7), DATE(2008,6,15), DATE(2007,10,15), 0.0375, 0.0405, 100,2,0)	99.87828601472134	99.87829	Double
13	=ODDLPRICE(DATE(2009,3,10), DATE(2009,8,31), DATE(2008,11,30), 0.045, 0, 100,4,1)	102.16028028822666	102.1603	Double
14	=ODDLPRICE(DATE(2009,3,10), DATE(2009,8,31), DATE(2008,11,30), 0, 0.05, 100,4,1)	97.694840834248083	97.69484	Double
15	=ODDLPRICE(DATE(2009,3,10), DATE(2009,8,31), DATE(2008,11,30), 0.045, 0.05, 100,4,1)	99.776476358001872	99.77648	Double
16	=COUPDAYS(DATE(2009,1,15), DATE(2009,8,31), 4, 0)	90	90	Double
17	=COUPDAYS(DATE(2009,7,15), DATE(2009,8,31), 4, 0)	90	90	Double
18	=COUPDAYBS(DATE(2009,7,15), DATE(2009,8,31), 4, 0)	45	45	Double
19	=COUPNUM(DATE(2009,7,15), DATE(2009,8,31), 4)	1	1	Double
# ★★押すのに かかった 秒 ... 0.44★★
