# ★ODDF の 残り 1本 と ODDL の 6本を 実Excel に 聞いた★（2026-09-18）
#
# ★問いは 紙から 機械で 拾いました★ ... kansuu46/oddf-nokori-1pon-kiku-koto.md
# ★材料は 要りません★（全部 その場の 日付）
#
# ★どの Excel か★ ... 版 16.0 ／ build 20326
# ★どの 貝殻か★ ... PowerShell 5.1.26100.9278
# ★どの 文字コードか★ ... ANSI 932 ／ ja-JP
#
# 番	式	答え	出る字	=(式)=0	型
1	=ODDFPRICE(DATE(2008,1,1), DATE(2012,6,30), DATE(2007,11,20), DATE(2008,6,30), 0.055, 0, 100, 2, 1)	124.71994535519126	124.7199	False	Double
2	=ODDFPRICE(DATE(2009,3,10), DATE(2015,2,28), DATE(2008,12,5), DATE(2009,8,31), 0.045, 0.05, 100, 4, 1)	96.1767213744142	96.17672	False	Double
3	=ODDFPRICE(DATE(2009,3,10), DATE(2015,2,28), DATE(2008,12,3), DATE(2009,8,31), 0.045, 0, 100, 4, 1)	126.87771739130436	126.8777	False	Double
4	=ODDFPRICE(DATE(2009,3,10), DATE(2015,2,28), DATE(2008,11,25), DATE(2009,8,31), 0.045, 0, 100, 4, 1)	126.87771739130434	126.8777	False	Double
5	=ODDFPRICE(DATE(2007,12,30), DATE(2012,6,30), DATE(2007,11,20), DATE(2008,6,30), 0.055, 0, 100, 2, 1)	124.75	124.75	False	Double
6	=ODDFPRICE(DATE(2009,3,10), DATE(2015,2,28), DATE(2008,12,4), DATE(2009,8,31), 0.045, 0, 100, 4, 1)	126.87771739130436	126.8777	False	Double
7	=ODDFPRICE(DATE(2009,3,10), DATE(2015,2,28), DATE(2008,11,24), DATE(2009,8,31), 0.045, 0, 100, 4, 1)	126.87771739130434	126.8777	False	Double
8	=ODDFPRICE(DATE(2007,12,29), DATE(2012,6,30), DATE(2007,11,20), DATE(2008,6,30), 0.055, 0, 100, 2, 1)	124.76502732240436	124.765	False	Double
9	=ODDFPRICE(DATE(2007,12,31), DATE(2012,6,30), DATE(2007,11,20), DATE(2008,6,30), 0.055, 0, 100, 2, 1)	124.73497267759562	124.735	False	Double
# ★★押すのに かかった 秒 ... 0.74★★
