# ★ODDFPRICE の 切り分け ＋ 台に 無い 46個★（2026-09-16）
#
# ★見込みは 先に 書いて あります★ … docs/measured/kansuu46/oddf-kiku-koto.md
#   ⇒★後から 答えに 寄せられません★
#
# ★外へ 出る 6個は 打って いません★
#   WEBSERVICE / STOCKHISTORY / TRANSLATE / DETECTLANGUAGE / IMAGE / RTD
#
# ★2つ目の 窓★ `=(式)=0` … `.Value2` は 0 で ない 値に 0 を 返す
#
# ★どの Excel か★ … 版 16.0 ／ build 20326
#
# 種	訳	式	答え	出る字	=(式)=0	型
ODDF	㋐決済が準利払日の上(basis=0)	=ODDFPRICE(DATE(2009,7,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,0)	103.10152456662433	103.1015	False	Double
ODDF	㋐決済が準利払日の上(basis=1)	=ODDFPRICE(DATE(2009,7,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,1)	103.10152456662433	103.1015	False	Double
ODDF	㋐決済が準利払日の上(basis=2)	=ODDFPRICE(DATE(2009,7,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,2)	103.04290458344613	103.0429	False	Double
ODDF	㋐決済が準利払日の上(basis=3)	=ODDFPRICE(DATE(2009,7,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,3)	103.08059941606115	103.0806	False	Double
ODDF	㋐決済が準利払日の上(basis=4)	=ODDFPRICE(DATE(2009,7,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,4)	103.10152456662433	103.1015	False	Double
ODDF	㋐′端数3期・決済が準利払日の上(basis=0)	=ODDFPRICE(DATE(2009,7,1),DATE(2013,1,1),DATE(2008,7,1),DATE(2010,1,1),0.06,0.05,100,2,0)	103.02835383491701	103.0284	False	Double
ODDF	㋐′端数3期・決済が準利払日の上(basis=1)	=ODDFPRICE(DATE(2009,7,1),DATE(2013,1,1),DATE(2008,7,1),DATE(2010,1,1),0.06,0.05,100,2,1)	103.02835383491701	103.0284	False	Double
ODDF	㋐′端数3期・決済が準利払日の上(basis=2)	=ODDFPRICE(DATE(2009,7,1),DATE(2013,1,1),DATE(2008,7,1),DATE(2010,1,1),0.06,0.05,100,2,2)	102.95021533012857	102.9502	False	Double
ODDF	㋐′端数3期・決済が準利払日の上(basis=3)	=ODDFPRICE(DATE(2009,7,1),DATE(2013,1,1),DATE(2008,7,1),DATE(2010,1,1),0.06,0.05,100,2,3)	103.03027970006697	103.0303	False	Double
ODDF	㋐′端数3期・決済が準利払日の上(basis=4)	=ODDFPRICE(DATE(2009,7,1),DATE(2013,1,1),DATE(2008,7,1),DATE(2010,1,1),0.06,0.05,100,2,4)	103.02835383491701	103.0284	False	Double
