# ★ODDL の DSC の 元を 割る★（2026-09-18・6回目）
#
# ★未知を 1つずつ 直に 取り出します★（★解いて 当てる を やめました★）
#   (ア)利率0   ⇒ DSC ＝ (100÷価格 − 1)×f÷y   （y ＝ 0.05）
#   (イ)利回り0 ⇒ DC − A ＝ (価格 − 100)÷券    （券 ＝ 100×0.06÷f）
#   (ウ)決済＝最終利払日 ＋ 利回り0 ⇒ DC ＝ (価格 − 100)÷券
#
# ★判じ方★ DSC(ア) ＝ DC−A(イ) なら ★DC − A★／小さければ ★NC − A★
#
# ★見込みは 聞く 前に commit 済み★ … kansuu46/oddl-rokuwakume-no-an.md（4520cb0）
#
# ★日付・金額は 全部 作り物の 債券です★（repo が 公開の 為）
#
# ★2つ目の 窓★ =(式)=0 … .Value2 は 0 で ない 値に 0 を 返す
#
# ★どの Excel か★ … 版 16.0 ／ build 20326
#
# 訳	式	答え	出る字	=(式)=0	型
組1(f4 はみ3日 NC3) (ア)DSC 利率0 basis=0	=ODDLPRICE(DATE(2009,3,10),DATE(2009,8,31),DATE(2008,11,30),0,0.05,100,4,0)	97.696364140993609	97.69636	False	Double
組1(f4 はみ3日 NC3) (イ)DC-A 利回り0 basis=0	=ODDLPRICE(DATE(2009,3,10),DATE(2009,8,31),DATE(2008,11,30),0.06,0,100,4,0)	102.86287878787878	102.8629	False	Double
組1(f4 はみ3日 NC3) (ウ)DC 決済=最終利払 basis=0	=ODDLPRICE(DATE(2008,11,30),DATE(2009,8,31),DATE(2008,11,30),0.06,0,100,4,0)	-2146826252	#NUM!	-2146826252	Other
組1(f4 はみ3日 NC3) (ア)DSC 利率0 basis=1	=ODDLPRICE(DATE(2009,3,10),DATE(2009,8,31),DATE(2008,11,30),0,0.05,100,4,1)	97.694840834248083	97.69484	False	Double
組1(f4 はみ3日 NC3) (イ)DC-A 利回り0 basis=1	=ODDLPRICE(DATE(2009,3,10),DATE(2009,8,31),DATE(2008,11,30),0.06,0,100,4,1)	102.88037371763556	102.8804	False	Double
組1(f4 はみ3日 NC3) (ウ)DC 決済=最終利払 basis=1	=ODDLPRICE(DATE(2008,11,30),DATE(2009,8,31),DATE(2008,11,30),0.06,0,100,4,1)	-2146826252	#NUM!	-2146826252	Other
組1(f4 はみ3日 NC3) (ア)DSC 利率0 basis=2	=ODDLPRICE(DATE(2009,3,10),DATE(2009,8,31),DATE(2008,11,30),0,0.05,100,4,2)	97.694840834248083	97.69484	False	Double
組1(f4 はみ3日 NC3) (イ)DC-A 利回り0 basis=2	=ODDLPRICE(DATE(2009,3,10),DATE(2009,8,31),DATE(2008,11,30),0.06,0,100,4,2)	102.88037371763556	102.8804	False	Double
組1(f4 はみ3日 NC3) (ウ)DC 決済=最終利払 basis=2	=ODDLPRICE(DATE(2008,11,30),DATE(2009,8,31),DATE(2008,11,30),0.06,0,100,4,2)	-2146826252	#NUM!	-2146826252	Other
組1(f4 はみ3日 NC3) (ア)DSC 利率0 basis=3	=ODDLPRICE(DATE(2009,3,10),DATE(2009,8,31),DATE(2008,11,30),0,0.05,100,4,3)	97.694840834248083	97.69484	False	Double
組1(f4 はみ3日 NC3) (イ)DC-A 利回り0 basis=3	=ODDLPRICE(DATE(2009,3,10),DATE(2009,8,31),DATE(2008,11,30),0.06,0,100,4,3)	102.88037371763556	102.8804	False	Double
組1(f4 はみ3日 NC3) (ウ)DC 決済=最終利払 basis=3	=ODDLPRICE(DATE(2008,11,30),DATE(2009,8,31),DATE(2008,11,30),0.06,0,100,4,3)	-2146826252	#NUM!	-2146826252	Other
組1(f4 はみ3日 NC3) (ア)DSC 利率0 basis=4	=ODDLPRICE(DATE(2009,3,10),DATE(2009,8,31),DATE(2008,11,30),0,0.05,100,4,4)	97.719869706840385	97.71987	False	Double
