# ★お金4関数の 紙を うちの 本番の 道で 押して 突き合わせた★（2026-09-09・2件目）
#
# ★正★ golden-okane-4kansuu-2026-09-09.tsv（実Excel の 実測）
# ★押す 道★ 本番と 同じ ①JS層 → ②convertFormula → エンジン
# ★材料は 紙から 読んだ★（31マス）★手で 写して いません★
# ★合う 幅★ 相対 0.000001（★字が そのまま 同じ 物は そのまま 合う★）
#
# 組	式	実Excel	うち	道	判じ	何の 場所
IRR	=IRR(A1:A3)	0.18881944173074183	0.1888194417315588	エンジン	合った	普通（−と＋）
IRR	=IRR(C1:C3)	#NUM!	16693338463349.688	エンジン	★誤りの 出方が 違う★	★全部 プラス★
IRR	=IRR(E1:E3)	#NUM!	16693338463349.688	エンジン	★誤りの 出方が 違う★	★全部 マイナス★
IRR	=IRR(G1:G3)	#NUM!	0.1	エンジン	★誤りの 出方が 違う★	★全部 0★
IRR	=IRR(I1:I1)	#NUM!	0.1	エンジン	★誤りの 出方が 違う★	★1件だけ★
IRR	=IRR(K1:K3)	0.10000000000000009	0.09999999999999988	エンジン	合った	★空が 混ざる★
IRR	=IRR(M1:M3)	0.10000000000000009	0.09999999999999988	エンジン	合った	★字が 混ざる★
IRR	=IRR(A1:A3,-0.99)	0.18881944173155896	0.18881944173155893	エンジン	合った	見当 -0.99
IRR	=IRR(A1:A3,-0.9)	0.18881944173155718	0.18881944173155882	エンジン	合った	見当 -0.9
IRR	=IRR(A1:A3,-0.5)	0.18881944173155873	0.188819441731559	エンジン	合った	見当 -0.5
IRR	=IRR(A1:A3,-0.1)	0.18881944173133958	0.188819441731559	エンジン	合った	見当 -0.1
IRR	=IRR(A1:A3,-0.01)	0.18881944173155807	0.1888194417315589	エンジン	合った	見当 -0.01
IRR	=IRR(A1:A3,0)	0.1888194417315583	0.18881944173155885	エンジン	合った	見当 0
IRR	=IRR(A1:A3,0.01)	0.18881944173155873	0.188819441731559	エンジン	合った	見当 0.01
IRR	=IRR(A1:A3,0.1)	0.18881944173074183	0.1888194417315588	エンジン	合った	見当 0.1
IRR	=IRR(A1:A3,1)	0.18881944173155873	0.18881944173155887	エンジン	合った	見当 1
IRR	=IRR(A1:A3,10)	0.18881944173101095	-2168772783.613375	エンジン	★★違う★★	見当 10
IRR	=IRR(A1:A3,100)	0.18881944173155896	-336432261411301570	エンジン	★★違う★★	見当 100
MIRR	=MIRR(A1:A3,0.1,0.12)	0.17132403714770583	0.17132403714770583	JS層	合った	普通
MIRR	=MIRR(C1:C3,0.1,0.12)	#DIV/0!	#DIV/0!	JS層	合った	★全部 プラス★
MIRR	=MIRR(E1:E3,0.1,0.12)	-1	-1	JS層	合った	★全部 マイナス★
MIRR	=MIRR(G1:G3,0.1,0.12)	#DIV/0!	#DIV/0!	JS層	合った	★全部 0★
MIRR	=MIRR(I1:I1,0.1,0.12)	#DIV/0!	#DIV/0!	JS層	合った	★1件だけ★
MIRR	=MIRR(K1:K3,0.1,0.12)	0.10000000000000009	0.10000000000000009	JS層	合った	★空が 混ざる★
