# ★うちが 書いた 物を 実Excel で 開き直して 測った★（2026-09-10）
#
# ★なぜ★ 今まで ★実Excel に 打たせて 答えを 合わせる★しか して いなかった
#   ⇒ 司さん「Exally でも Excel でも 使えるように 確かめながら やってるか？」
#   ⇒★うちが 書いた 物を Excel で 開き直す★を 足した
#
# ★3つ とも 見る★ ①式(.Formula) ②出る字(.Text) ③答え(.Value2)
#   ⇒★答えだけ 見ない★＝式が 落ちて 値だけ 残る 事が 在る
#
# ★実Excel が わざと 書き換える 物★
#   指数の 字は ★式そのものを 平らな 数に 直して 持つ★
#     =1.64E-14 → =0.0000000000000164 ／ =1E+20 → =100000000000000000000
#   ⇒★穴では ありません＝実Excel と 同じ★
#
# ★どの Excel で 開いたか★ … 版 16.0 ／ build 20326
# ★開いた ファイル★ … oufuku-2026-09-10.xlsx
#
# マス	打った 字	実Excel の 式	出る字	答え	何を 見て いるか
D1	=XIRR(A1:A3,B1:B3)	=XIRR(A1:A3,B1:B3)	1.001193	1.00119332075119	お金の 利回り（09-10 PR #59）
D2	=MIRR(A1:A3,0.1,0.12)	=MIRR(A1:A3,0.1,0.12)	0.171324	0.17132403714770583	お金の 利回り（09-10 PR #60）
D3	=XNPV(0.1,A1:A3,B1:B3)	=XNPV(0.1,A1:A3,B1:B3)	253.4217	253.4216596369007	お金の 今の 値（09-10 PR #59）
D4	=1.64E-14	=0.0000000000000164	1.64E-14	1.64E-14	指数の 字（09-10 PR #62）★Excel が 式を 書き換えて 正しい★
D5	=1/3	=1/3	0.333333	0.3333333333333333	画面に 出る 字（09-10 PR #63）
D6	=206800/1.1	=206800/1.1	188000	187999.99999999997	税抜き（09-10 PR #63）
G1	=SORT(E1:E5)	=SORT(E1:E5)	1	1	溢れの 頭（09-10 PR #65）
G2	(溢れた 先)	2	2	2	溢れの 先（09-10 PR #65）
G3	(溢れた 先)	3	3	3	溢れの 先（09-10 PR #65）
G4	(溢れた 先)	4	4	4	溢れの 先（09-10 PR #65）
G5	(溢れた 先)	5	5	5	溢れの 先（09-10 PR #65）
