# ★うちが 書いた 物を 実Excel で 開き直して 突き合わせた★（2026-09-10）
#
# ★見るのは 3つ★ ①式 ②出る字 ③答え（★答えだけ 見ない★）
# ★実Excel が わざと 書き換える 物は 材料に 書いて 在る★（穴では ない）
#
# マス	打った 字	実Excel の 式	出る字	判じ	何を 見て いるか
D1	=XIRR(A1:A3,B1:B3)	=XIRR(A1:A3,B1:B3)	1.001193	合った	お金の 利回り（PR #59）
D2	=MIRR(A1:A3,0.1,0.12)	=MIRR(A1:A3,0.1,0.12)	0.171324	合った	お金の 利回り（PR #60）
D3	=XNPV(0.1,A1:A3,B1:B3)	=XNPV(0.1,A1:A3,B1:B3)	253.4217	合った	お金の 今の 値（PR #59）
D4	=1.64E-14	=0.0000000000000164	1.64E-14	合った（★Excel が 書き換えて 正しい★）	指数の 字（PR #62）｜★実Excel は 指数の 字を 打つと 式そのものを 平らな 数に 直して 持ちます★＝★穴では ない★
D5	=1/3	=1/3	0.333333	合った	画面に 出る 字（PR #63）
D6	=206800/1.1	=206800/1.1	188000	合った	税抜き（PR #63）
G1	=SORT(E1:E5)	=SORT(E1:E5)	1	合った	溢れの 頭（PR #65）
G2	(溢れた 先)	2	2	合った（★値が 渡る★）	溢れの 先（PR #65）｜★式は 無く 値だけ 渡るのが 正しい★
G3	(溢れた 先)	3	3	合った（★値が 渡る★）	溢れの 先（PR #65）｜★式は 無く 値だけ 渡るのが 正しい★
G4	(溢れた 先)	4	4	合った（★値が 渡る★）	溢れの 先（PR #65）｜★式は 無く 値だけ 渡るのが 正しい★
G5	(溢れた 先)	5	5	合った（★値が 渡る★）	溢れの 先（PR #65）｜★式は 無く 値だけ 渡るのが 正しい★
#
# ★★締め★★ 全 11本 ／ 合った 11 ／ ★違う 0★
