# ★うちが 書き出した 新しい 関数を 実Excel で 開き直した★（2026-09-16）
#
# ★司さん（2026-09-16）★ 「Exally と Excel に 引き渡しても ちゃんと 動くか
#   ★実際に 動作確認しながら★ やれよ」
#
# ★3つとも 見る★ … ①式（.Formula） ②出る字（.Text） ③答え（.Value2）
#   ⇒★答えだけ 見ない★＝★式が 落ちて 値だけ 残る★ 事が 在る
#
# ★どの Excel で 開いたか★ … 版 16.0 ／ build 20326
# ★開いた ファイル★ … oufuku-shinki.xlsx（★うちが 書いた 物★）
#
# ★2つ目の 窓★ … `.Value2` は ★0 で ない 値に 0 を 返す★＝`=(式)=0` で 本当に 0 かを 聞く
#   ★型も 控える★（String / Double）
#
# マス	実Excel の 式	出る字	答え	=(式)=0	型
C1	=NORM.DIST(5,3,2,TRUE)	0.841345	0.841344746068543	False	Double
C2	=BINOM.DIST(6,10,0.5,FALSE)	0.205078	0.20507812500000006	False	Double
C3	=CORREL(A1:A5,B1:B5)	1	0.99999999999999978	False	Double
C4	=SLOPE(B1:B5,A1:A5)	2	2	False	Double
C5	=RANK.EQ(3,A1:A5)	3	3	False	Double
C6	=CHISQ.DIST(2,3,TRUE)	0.427593	0.42759329552912018	False	Double
C7	=CONFIDENCE.NORM(0.05,2.5,50)	0.692952	0.69295191217483865	False	Double
C8	=DATE(1900,2,28)	59	59	False	Double
C9	=DATEVALUE("2024-01-01")	45292	45292	False	Double
C10	=TIMEVALUE("12:30")	0.520833	0.52083333333333337	False	Double
C11	=TBILLPRICE(2,3,4)	98.88889	98.888888888888886	False	Double
C12	=SERIESSUM(2,3,4,5)	40	40	False	Double
C13	=DB(0.5,1,2,3,4)	-0.22206	-0.22206021599999995	False	Double
C14	=CUMIPMT(0.05,12,100,1,12,0)	-35.3905	-35.3904920249785	False	Double
C15	=ROW(A2)	2	2	False	Double
C16	=COLUMN(B1:B5)	2	2	False	Double
C17	=ISOMITTED(2)	FALSE	False	False	Other
C18	=AREAS((A1,A2))	2	2	False	Double
C19	=AREAS((A1:A2,B1:B3,A4))	3	3	False	Double
C20	=SUM(AREAS((A1,A2)),1)	3	3	False	Double
C21	=SUMPRODUCT(A1:A5,B1:B5)	110	110	False	Double
C22	=CONCATENATE("a","b")	ab	ab	False	String
C23	=FALSE()	FALSE	False	False	Other
