# ★ラムダの 一族を ★お客さんの 道★で 押した★（2026-09-18・★取り直し★）
#
# ★★なぜ 取り直したか★★
#   ★前の 紙は ★本番の 道と 1段 違って いました★★
#     前 ... convertFormula -> _jsComputeFormula -> 借り物　　（★2段★）
#     今 ... convertFormula -> _jsComputeFormula -> ★台★ -> 借り物（★3段★）
#   ＝2026-09-18 に `book.html` の 計算を 台に 回しました（㋑⑶）
#   ＝道具は ★「お客さんの 道」と 名乗りながら★ 台の 段を 飛ばして いました
#   ⇒★★飛ばすと 「うちが 負けて いる」向きの 偽の 答えが 出ます★★
#     ＝`=MAP(A1:A5,LAMBDA(x,y,x))` が `#ERROR!`（実物は `#VALUE!`）
#   ⇒`honban-no-michi.mjs` に ★台★を 足し、`台に聞く()` を 1本 置きました
#
# ★何を 何で 測ったか★
#   台 ... docs/measured/honban-no-michi.mjs の 建てる()（book.html と 同じ 8本 ＋ ★板★）
#   道 ... convertFormula -> _jsComputeFormula -> ★台（lib/shiki-hyou.js）★ -> 借り物
#   正 ... docs/measured/golden-kansuu-9kaime-2026-09-18.tsv（実Excel・同じ 日）
#   材料 ... A1:A5=1..5 / C1:C5=1,3,5,7,9 / D1:D5=9,7,5,3,1 / F1:G2=1,2 と 10,20
#   道具 ... docs/measured/osu-ramuda-honban.mjs
#
# ★★24本の うち 合った 21本 ／ 違った 3本★★（★前は 合った 8 ／ 違った 16★）
#
# ★★まだ 違う 3本★★
#      =BYROW(F1:G2,LAMBDA(r,SUM(r)))   実 3 / うち #NAME?
#      =BYCOL(F1:G2,LAMBDA(c,SUM(c)))   実 11 / うち #NAME?
#      =LET(x,1)   実 Excel が 式を 受け付けません HRESULT からの例外:0x800A03EC / うち #VALUE!
#
# ★★BYROW / BYCOL は 台が 答えて います★★（3 と 11）
#   ⇒★但し ★溢れ★（縦・横に 広がる）なので 今は 借り物に 落として います
#   ⇒借り物は BYROW を 知らない ⇒ `#NAME?`
#   ⇒★★台の 溢れを マスに 並べる のが 次の 1押し★★
#
# ★★=LET(x,1) は 実Excel が ★式として 受け付けません★★
#   ⇒突き合わせの 相手が 居ません（★合わない のでは なく 比べられない★）
#
番	式	実Excel	うち	判定
49	=BYROW(F1:G2,LAMBDA(r,SUM(r)))	3	3	o
50	=SUM(BYROW(F1:G2,LAMBDA(r,SUM(r))))	33	33	o
51	=SUM(BYCOL(F1:G2,LAMBDA(c,SUM(c))))	33	33	o
52	=BYCOL(F1:G2,LAMBDA(c,SUM(c)))	11	11	o
35	=LAMBDA(x,x*2)	#CALC!	#CALC!	o
36	=LAMBDA(x,x*2)(3)	6	6	o
37	=LET(x,1,x+1)	2	2	o
38	=LET(A1,5,A1)	5	5	o
39	=LET(x,1,y,2,x+y)	3	3	o
40	=LET(x,1)	Excel が 式を 受け付けません HRESULT からの例外:0x800A03EC	#VALUE!	x
41	=MAP(A1:A5,LAMBDA(x,x*2))	2	2	o
42	=ROWS(MAP(A1:A5,LAMBDA(x,x*2)))	5	5	o
43	=COLUMNS(MAP(A1:A5,LAMBDA(x,x*2)))	1	1	o
44	=SUM(MAP(A1:A5,LAMBDA(x,x*2)))	30	30	o
45	=REDUCE(0,A1:A5,LAMBDA(a,b,a+b))	15	15	o
46	=REDUCE(100,A1:A5,LAMBDA(a,b,a-b))	85	85	o
47	=ROWS(SCAN(0,A1:A5,LAMBDA(a,b,a+b)))	5	5	o
48	=SUM(SCAN(0,A1:A5,LAMBDA(a,b,a+b)))	35	35	o
53	=MAKEARRAY(2,3,LAMBDA(r,c,r*c))	1	1	o
54	=SUM(MAKEARRAY(2,3,LAMBDA(r,c,r*c)))	18	18	o
55	=MAP(A1:A5,LAMBDA(x,y,x))	#VALUE!	#VALUE!	o
56	=REDUCE(0,A1:A5,LAMBDA(a,a))	#VALUE!	#VALUE!	o
57	=LET(f,LAMBDA(x,x*2),f(3))	6	6	o
58	=LET(a,2,SUM(MAP(A1:A5,LAMBDA(x,x*a))))	30	30	o
