# ★四角（A1:A3）と 関数の 扱いを 実Excel に 聞いた★（2026-09-13）
#
# ★一番 大きい 分かれ目★
#   ★四角★の 中の 字と 真偽 … 無視される
#   ★直に 書いた★ 字と 真偽 … 数に なる
#   ⇒ 同じ SUM でも 中身の 扱いが 違う
#
# ★材料★ A1=1(数) A2="2"(★字★) A3=TRUE(真偽) A4=★空★ A5=2(数) A6==1/0(誤り) B1:B3=全部空
#
# ★どの Excel か★ … 版 16.0 ／ build 20326
#
# ★材料 その2★ C1=0.1 C2=0.2 C3=-0.3（消え残り）／ C5=-1 C6=-2（負だけ）
#
# 式	出る字	型	誤りか	本当にゼロか	溢れた(E2)	何を 見て いるか
# ★★材料（機械が 読む）★★ … `#材料<タブ>マス<タブ>値`
#   ★2026-09-14 に 足しました★。★新しく 測った 物では ありません★＝
#   この 紙の 頭の 文章（材料／材料 その2）を 機械の 形に した だけ。
#
#   ★形★ `#材料<タブ>マス<タブ>値<タブ>型`
#     ★型（4列目）★ … 数 ／ 字 ／ 真偽 ／ 式 ／ 空
#     型を 書かない 時 … ★3列目が 空なら 空／数に なるなら 数／それ以外は 字★
#     例） `#材料 A2 2 ★字★` は ★字の "2"★（★数の 2 では ない★）
#   ★頭の 印（'2 や =1/0）に しなかった 訳★（指示役1 2026-09-14）
#     ★推し量る 形は いつか 本物の 字と ぶつかる★＝
#     本当に `=` や `'` で 始まる 字が 材料に 出た 日に 壊れる。★型の 列なら ぶつかりません★
#
#   ★★足した 訳＝これが 無いと 偽の 負けが 出ます★★
#   2026-09-14、材料を 持たない 道具が この紙の 式を ★空の 表★で 押し、
#   `=PRODUCT(A1:A5)` が ★0★（紙は 2）に なり ★「土台が 壊れている」と 報告される★所でした。
#   ★材料を 置けば 40通り中 39通りが 合います★（残り 1つは まだ 作って いない SUMPRODUCT）。
#   ★答えの 行は 1行も 触って いません★（足したのは # の行だけ）
#材料	A1	1
#材料	A2	2	字
#材料	A3	TRUE	真偽
#材料	A4	
#材料	A5	2
#材料	A6	=1/0	式
#材料	B1	
#材料	B2	
#材料	B3	
#材料	C1	0.1
#材料	C2	0.2
#材料	C3	-0.3
#材料	C5	-1
#材料	C6	-2
=SUM(A1:A5)	3	Number	FALSE	—	—	★四角★の 中の 字と 真偽は 無視されるか
=SUM(A1,"2",TRUE)	4	Number	FALSE	—	—	★直に 書いた★ 字と 真偽は 数に なるか
=SUM(A1:A6)	#DIV/0!	Number	TRUE	—	—	四角の 中の 誤りは 伝わるか
=SUM(A2)	0	Number	FALSE	TRUE	—	1マスだけ 指した 字は どうなるか
=SUM(A1:A3,A5)	3	Number	FALSE	—	—	引数が 2つ（四角＋1マス）
=SUM(B1:B3)	0	Number	FALSE	TRUE	—	全部 空の 四角
=COUNT(A1:A5)	2	Number	FALSE	—	—	四角で 数だけ 数えるか
=COUNT("1",TRUE)	2	Number	FALSE	—	—	★直に 書いた★ 字と 真偽を 数えるか
=COUNT(B1:B3)	0	Number	FALSE	TRUE	—	全部 空を 数える
=COUNTA(A1:A5)	4	Number	FALSE	—	—	空 以外を 数えるか
=AVERAGE(A1:A5)	1.5	Number	FALSE	—	—	分母は 何か（字と 真偽を 入れるか）
=AVERAGE(A1,A3)	1	Number	FALSE	—	—	1マス指しの 真偽は 分母に 入るか
=AVERAGE(B1:B3)	#DIV/0!	Number	TRUE	—	—	全部 空の 平均
=MAX(A1:A5)	2	Number	FALSE	—	—	四角の 中の 字と 真偽を 見るか
=MAX("3",1)	3	Number	FALSE	—	—	★直に 書いた★ 字は 通るか
=MAX(B1:B3)	0	Number	FALSE	TRUE	—	全部 空の 一番大きい物
=MIN(A1:A5)	1	Number	FALSE	—	—	四角の 一番小さい物
=MIN(A2,1)	1	Number	FALSE	—	—	1マス指しの 字は 無視か 誤りか
=PRODUCT(A1:A5)	2	Number	FALSE	—	—	掛け算は 空を どう 見るか
=A1:A3	1	Number	FALSE	—	★溢れた★ E2=2	★四角を そのまま 打つ★（溢れるか）
=A1:A3*2	2	Number	FALSE	—	★溢れた★ E2=4	四角に 掛ける（溢れるか）
=SUMPRODUCT(A1:A5,A1:A5)	5	Number	FALSE	—	—	四角どうしを 掛けて 足す
=MIN(B1:B3)	0	Number	FALSE	TRUE	—	全部 空の 一番小さい物（MAXが0なら MINも0か）
=PRODUCT(B1:B3)	0	Number	FALSE	TRUE	—	全部 空の 掛け算
=COUNTA(B1:B3)	0	Number	FALSE	TRUE	—	全部 空を 数える
=MAX(A1:A6)	#DIV/0!	Number	TRUE	—	—	四角に 誤りが 在る時の 一番大きい物
=COUNT(A1:A6)	2	Number	FALSE	—	—	誤りを 数えるか
=COUNTA(A1:A6)	5	Number	FALSE	—	—	誤りを 空以外として 数えるか
=AVERAGE(A1:A6)	#DIV/0!	Number	TRUE	—	—	誤り入りの 平均
=SUM("x")	#VALUE!	Number	TRUE	—	—	★直に 書いた★ 数に ならない 字
=SUM(A1:A5,"x")	#VALUE!	Number	TRUE	—	—	四角 ＋ 数に ならない 字
=AVERAGE(A2)	#DIV/0!	Number	TRUE	—	—	字だけを 指した 平均（分母0か）
=MAX(A2)	0	Number	FALSE	TRUE	—	字だけを 指した 一番大きい物
=SUM(0.1,0.2,-0.3)	0	Number	FALSE	TRUE	—	★SUMの 中でも 消え残りを 0に するか★
=SUM(C1:C3)	0	Number	FALSE	TRUE	—	★四角でも★ 消え残りを 0に するか
=MAX(C5:C6)	-1	Number	FALSE	—	—	★負の数 だけの 四角（0が 混ざらないか）★
=MIN(C5:C6)	-2	Number	FALSE	—	—	負の数 だけの 一番小さい物
=MAX(C5)	-1	Number	FALSE	—	—	負の数 1マス
=PRODUCT(2,3)	6	Number	FALSE	—	—	普通の 掛け算
=AVERAGE(1,2)	1.5	Number	FALSE	—	—	普通の 平均
