# ★実Excel が 指数を どう 出すかを 実Excel に 聞いた★（2026-09-10）
#
# ★なぜ★ #62 で 打てるようには なったが ★出る 字が まだ 違う★
#   うち `1.64e-14`（小文字 e）／実Excel `1.64E-14`（大文字 E）
#
# ★★見るのは `.Text`＝画面に 出る 字★★（`.Value2` は 中の 数＝別物）
# ★★General は 列の 幅で 出方が 変わる★★ので ★同じ 数を 3つの 幅で★ 打った
#   幅 … 5〜50 を 14通り（8.43 が 実Excel の 既定）★1つずつ 刻んだ★
# ★`#####`（幅が 足りない）も そのまま 書く＝隠さない★
#
# ★どの Excel で 打ったか★ … 版 16.0 ／ build 20326
# ★書式★ … General（★打ち込まず 読んで 確かめた★）
#
# ★★材料（機械が 読む）★★ … `#材料<タブ>札<タブ>打った字`
#材料	普通	1
#材料	普通	1234.5
#材料	★0★	0
#材料	小さい 側	0.1
#材料	小さい 側	0.01
#材料	小さい 側	0.001
#材料	小さい 側	0.0001
#材料	★小さい 側 境目★	0.00001
#材料	★小さい 側 境目★	0.000001
#材料	★小さい 側 境目★	0.0000001
#材料	★小さい 側 境目★	0.00000001
#材料	小さい 側	0.000000001
#材料	小さい 側	0.0000000001
#材料	★とても 小さい★	0.0000000000000164
#材料	大きい 側	100000
#材料	大きい 側	100000000
#材料	大きい 側	1000000000
#材料	★大きい 側 境目★	10000000000
#材料	★大きい 側 境目★	100000000000
#材料	★大きい 側 境目★	1000000000000
#材料	大きい 側	1000000000000000
#材料	★大きい 側 境目★	10000000000000000
#材料	★大きい 側 境目★	100000000000000000
#材料	大きい 側	100000000000000000000
#材料	★仮数 桁★	123456789012345678901
#材料	★仮数 桁★	0.000000333333333333333
#材料	★仮数 桁★	0.00012345678901234
#材料	★短い 物★	150000000000000000000
#材料	★短い 物★	0.0000000000000001
#材料	★負★	-0.0000000000000164
#材料	★負★	-100000000000000000000
#材料	★繰り上がり★	0.000000999999999
#材料	★繰り上がり★	999999999999999999999
#材料	★計算の 答え★	0.30000000000000004
#材料	★計算の 答え★	0.3333333333333333
#材料	★計算の 答え★	3.3333333333333335
#材料	★計算の 答え★	0.10000000009313226
#材料	★計算の 答え★	187999.99999999997
#材料	★計算の 答え★	199.99999999999997
#材料	★計算の 答え★	26718.499999999996
#材料	★計算の 答え★	20.00000000000003
#幅	5,6,7,8,8.43,9,10,11,12,13,15,20,30,50
#
# 札	打った 字	幅	★画面に 出る 字(.Text)★	中の 数(.Value2)	指数か	型	窓２(=(A1)=0)
普通	1	5	1	1	—	Number	—
普通	1	6	1	1	—	Number	—
普通	1	7	1	1	—	Number	—
普通	1	8	1	1	—	Number	—
普通	1	8.43	1	1	—	Number	—
普通	1	9	1	1	—	Number	—
普通	1	10	1	1	—	Number	—
普通	1	11	1	1	—	Number	—
普通	1	12	1	1	—	Number	—
普通	1	13	1	1	—	Number	—
普通	1	15	1	1	—	Number	—
普通	1	20	1	1	—	Number	—
普通	1	30	1	1	—	Number	—
普通	1	50	1	1	—	Number	—
普通	1234.5	5	1235	1234.5	—	Number	—
普通	1234.5	6	1234.5	1234.5	—	Number	—
普通	1234.5	7	1234.5	1234.5	—	Number	—
普通	1234.5	8	1234.5	1234.5	—	Number	—
普通	1234.5	8.43	1234.5	1234.5	—	Number	—
普通	1234.5	9	1234.5	1234.5	—	Number	—
普通	1234.5	10	1234.5	1234.5	—	Number	—
普通	1234.5	11	1234.5	1234.5	—	Number	—
普通	1234.5	12	1234.5	1234.5	—	Number	—
普通	1234.5	13	1234.5	1234.5	—	Number	—
普通	1234.5	15	1234.5	1234.5	—	Number	—
普通	1234.5	20	1234.5	1234.5	—	Number	—
普通	1234.5	30	1234.5	1234.5	—	Number	—
普通	1234.5	50	1234.5	1234.5	—	Number	—
★0★	0	5	0	0	—	Number	TRUE
★0★	0	6	0	0	—	Number	TRUE
★0★	0	7	0	0	—	Number	TRUE
★0★	0	8	0	0	—	Number	TRUE
★0★	0	8.43	0	0	—	Number	TRUE
★0★	0	9	0	0	—	Number	TRUE
★0★	0	10	0	0	—	Number	TRUE
★0★	0	11	0	0	—	Number	TRUE
★0★	0	12	0	0	—	Number	TRUE
★0★	0	13	0	0	—	Number	TRUE
★0★	0	15	0	0	—	Number	TRUE
★0★	0	20	0	0	—	Number	TRUE
★0★	0	30	0	0	—	Number	TRUE
★0★	0	50	0	0	—	Number	TRUE
小さい 側	0.1	5	0.1	0.1	—	Number	—
小さい 側	0.1	6	0.1	0.1	—	Number	—
小さい 側	0.1	7	0.1	0.1	—	Number	—
小さい 側	0.1	8	0.1	0.1	—	Number	—
小さい 側	0.1	8.43	0.1	0.1	—	Number	—
小さい 側	0.1	9	0.1	0.1	—	Number	—
小さい 側	0.1	10	0.1	0.1	—	Number	—
小さい 側	0.1	11	0.1	0.1	—	Number	—
小さい 側	0.1	12	0.1	0.1	—	Number	—
小さい 側	0.1	13	0.1	0.1	—	Number	—
小さい 側	0.1	15	0.1	0.1	—	Number	—
