# ★指数の 見た目を うちの 本番の 道で 押して 突き合わせた★（2026-09-10）
#
# ★正★ golden-shisuu-mitame-2026-09-10.tsv（実Excel の 実測）
# ★押す 道★ `book.html` の `forDisplay` を ★切り出して★ 押す（★写しを 置かない★）
# ★★この 台の 数は 画面の 数では ありません★★＝★絵は ブラウザで 押す★
# ★材料は 紙から 読んだ★（41本）★手で 写して いません★
#
# ★★うちは 列の 幅を 見て いません★★＝どの 幅でも 同じ 字を 出す
#   ⇒ 実Excel は ★幅で 出方が 変わる★ので ★幅ごとに 並べる★
#
# 札	打った 字	幅	実Excel	うち	判じ
普通	1	5	1	1	合った
普通	1	6	1	1	合った
普通	1	7	1	1	合った
普通	1	8	1	1	合った
普通	1	8.43	1	1	合った
普通	1	9	1	1	合った
普通	1	10	1	1	合った
普通	1	11	1	1	合った
普通	1	12	1	1	合った
普通	1	13	1	1	合った
普通	1	15	1	1	合った
普通	1	20	1	1	合った
普通	1	30	1	1	合った
普通	1	50	1	1	合った
普通	1234.5	5	1235	1234.5	★違う★
普通	1234.5	6	1234.5	1234.5	合った
普通	1234.5	7	1234.5	1234.5	合った
普通	1234.5	8	1234.5	1234.5	合った
普通	1234.5	8.43	1234.5	1234.5	合った
普通	1234.5	9	1234.5	1234.5	合った
普通	1234.5	10	1234.5	1234.5	合った
普通	1234.5	11	1234.5	1234.5	合った
普通	1234.5	12	1234.5	1234.5	合った
普通	1234.5	13	1234.5	1234.5	合った
普通	1234.5	15	1234.5	1234.5	合った
普通	1234.5	20	1234.5	1234.5	合った
普通	1234.5	30	1234.5	1234.5	合った
普通	1234.5	50	1234.5	1234.5	合った
★0★	0	5	0	0	合った
★0★	0	6	0	0	合った
★0★	0	7	0	0	合った
★0★	0	8	0	0	合った
★0★	0	8.43	0	0	合った
★0★	0	9	0	0	合った
★0★	0	10	0	0	合った
★0★	0	11	0	0	合った
★0★	0	12	0	0	合った
★0★	0	13	0	0	合った
★0★	0	15	0	0	合った
★0★	0	20	0	0	合った
★0★	0	30	0	0	合った
★0★	0	50	0	0	合った
小さい 側	0.1	5	0.1	0.1	合った
小さい 側	0.1	6	0.1	0.1	合った
小さい 側	0.1	7	0.1	0.1	合った
小さい 側	0.1	8	0.1	0.1	合った
小さい 側	0.1	8.43	0.1	0.1	合った
小さい 側	0.1	9	0.1	0.1	合った
小さい 側	0.1	10	0.1	0.1	合った
小さい 側	0.1	11	0.1	0.1	合った
小さい 側	0.1	12	0.1	0.1	合った
小さい 側	0.1	13	0.1	0.1	合った
小さい 側	0.1	15	0.1	0.1	合った
小さい 側	0.1	20	0.1	0.1	合った
小さい 側	0.1	30	0.1	0.1	合った
小さい 側	0.1	50	0.1	0.1	合った
小さい 側	0.01	5	0.01	0.01	合った
小さい 側	0.01	6	0.01	0.01	合った
小さい 側	0.01	7	0.01	0.01	合った
小さい 側	0.01	8	0.01	0.01	合った
小さい 側	0.01	8.43	0.01	0.01	合った
小さい 側	0.01	9	0.01	0.01	合った
小さい 側	0.01	10	0.01	0.01	合った
小さい 側	0.01	11	0.01	0.01	合った
小さい 側	0.01	12	0.01	0.01	合った
小さい 側	0.01	13	0.01	0.01	合った
小さい 側	0.01	15	0.01	0.01	合った
小さい 側	0.01	20	0.01	0.01	合った
小さい 側	0.01	30	0.01	0.01	合った
小さい 側	0.01	50	0.01	0.01	合った
小さい 側	0.001	5	0.001	0.001	合った
小さい 側	0.001	6	0.001	0.001	合った
小さい 側	0.001	7	0.001	0.001	合った
小さい 側	0.001	8	0.001	0.001	合った
小さい 側	0.001	8.43	0.001	0.001	合った
小さい 側	0.001	9	0.001	0.001	合った
小さい 側	0.001	10	0.001	0.001	合った
小さい 側	0.001	11	0.001	0.001	合った
小さい 側	0.001	12	0.001	0.001	合った
小さい 側	0.001	13	0.001	0.001	合った
小さい 側	0.001	15	0.001	0.001	合った
小さい 側	0.001	20	0.001	0.001	合った
小さい 側	0.001	30	0.001	0.001	合った
小さい 側	0.001	50	0.001	0.001	合った
小さい 側	0.0001	5	1E-04	0.0001	★違う★
小さい 側	0.0001	6	0.0001	0.0001	合った
小さい 側	0.0001	7	0.0001	0.0001	合った
小さい 側	0.0001	8	0.0001	0.0001	合った
小さい 側	0.0001	8.43	0.0001	0.0001	合った
小さい 側	0.0001	9	0.0001	0.0001	合った
小さい 側	0.0001	10	0.0001	0.0001	合った
小さい 側	0.0001	11	0.0001	0.0001	合った
小さい 側	0.0001	12	0.0001	0.0001	合った
小さい 側	0.0001	13	0.0001	0.0001	合った
小さい 側	0.0001	15	0.0001	0.0001	合った
小さい 側	0.0001	20	0.0001	0.0001	合った
小さい 側	0.0001	30	0.0001	0.0001	合った
小さい 側	0.0001	50	0.0001	0.0001	合った
★小さい 側 境目★	0.00001	5	1E-05	0.00001	★違う★
★小さい 側 境目★	0.00001	6	1E-05	0.00001	★違う★
★小さい 側 境目★	0.00001	7	0.00001	0.00001	合った
★小さい 側 境目★	0.00001	8	0.00001	0.00001	合った
★小さい 側 境目★	0.00001	8.43	0.00001	0.00001	合った
★小さい 側 境目★	0.00001	9	0.00001	0.00001	合った
★小さい 側 境目★	0.00001	10	0.00001	0.00001	合った
★小さい 側 境目★	0.00001	11	0.00001	0.00001	合った
★小さい 側 境目★	0.00001	12	0.00001	0.00001	合った
★小さい 側 境目★	0.00001	13	0.00001	0.00001	合った
★小さい 側 境目★	0.00001	15	0.00001	0.00001	合った
★小さい 側 境目★	0.00001	20	0.00001	0.00001	合った
★小さい 側 境目★	0.00001	30	0.00001	0.00001	合った
★小さい 側 境目★	0.00001	50	0.00001	0.00001	合った
★小さい 側 境目★	0.000001	5	1E-06	0.000001	★違う★
★小さい 側 境目★	0.000001	6	1E-06	0.000001	★違う★
★小さい 側 境目★	0.000001	7	1E-06	0.000001	★違う★
★小さい 側 境目★	0.000001	8	0.000001	0.000001	合った
★小さい 側 境目★	0.000001	8.43	0.000001	0.000001	合った
★小さい 側 境目★	0.000001	9	0.000001	0.000001	合った
★小さい 側 境目★	0.000001	10	0.000001	0.000001	合った
★小さい 側 境目★	0.000001	11	0.000001	0.000001	合った
★小さい 側 境目★	0.000001	12	0.000001	0.000001	合った
★小さい 側 境目★	0.000001	13	0.000001	0.000001	合った
★小さい 側 境目★	0.000001	15	0.000001	0.000001	合った
★小さい 側 境目★	0.000001	20	0.000001	0.000001	合った
★小さい 側 境目★	0.000001	30	0.000001	0.000001	合った
★小さい 側 境目★	0.000001	50	0.000001	0.000001	合った
★小さい 側 境目★	0.0000001	5	1E-07	0.0000001	★違う★
★小さい 側 境目★	0.0000001	6	1E-07	0.0000001	★違う★
★小さい 側 境目★	0.0000001	7	1E-07	0.0000001	★違う★
★小さい 側 境目★	0.0000001	8	1E-07	0.0000001	★違う★
★小さい 側 境目★	0.0000001	8.43	1E-07	0.0000001	★違う★
★小さい 側 境目★	0.0000001	9	0.0000001	0.0000001	合った
★小さい 側 境目★	0.0000001	10	0.0000001	0.0000001	合った
★小さい 側 境目★	0.0000001	11	0.0000001	0.0000001	合った
★小さい 側 境目★	0.0000001	12	0.0000001	0.0000001	合った
★小さい 側 境目★	0.0000001	13	0.0000001	0.0000001	合った
★小さい 側 境目★	0.0000001	15	0.0000001	0.0000001	合った
★小さい 側 境目★	0.0000001	20	0.0000001	0.0000001	合った
