# ★319個を 実Excel に 打たせた＝どのマスに 何を 打ったか★（61）（2026-09-20）
# ★分母★ ... docs/measured/dai-namae-zenbu-2026-09-20.txt の 「まだ」
# ★式の 形★ ... 梯子を 上から 試して ★最初に 通った 物★
# ★#NAME? ＝ 実Excel が その 名前を 知らない★（うちの 台には 在る）
# マス	名前	打った式	値	出る字
H1	ABS	=ABS(A1:A3)	1	1
H9	ACOS	=ACOS(A1:A3)	0	0
H17	ACOSH	=ACOSH(A1:A3)	0	0
H25	ACOT	=ACOT(A1:A3)	0.78539816339744828	0.785398
H33	ACOTH	=ACOTH(A1:A3)	-2146826252	#NUM!
H41	ADDRESS	=ADDRESS(A1,A2)	$B$1	$B$1
H49	AND	=AND(A1:A3)	True	TRUE
H57	ARABIC	=ARABIC(A1:A3)	-2146826273	#VALUE!
H65	AREAS	=AREAS(A1:A3)	1	1
H73	ASIN	=ASIN(A1:A3)	1.5707963267948966	1.570796
H81	ASINH	=ASINH(A1:A3)	0.88137358701954294	0.881374
H89	ATAN	=ATAN(A1:A3)	0.78539816339744828	0.785398
H97	ATAN2	=ATAN2(A1,A2)	1.1071487177940904	1.107149
H105	ATANH	=ATANH(A1:A3)	-2146826252	#NUM!
H113	AVEDEV	=AVEDEV(A1:A3)	0.44444444444444442	0.444444
H121	AVERAGE	=AVERAGE(A1:A3)	1.6666666666666667	1.666667
H129	AVERAGEA	=AVERAGEA(A1:A3)	1.6666666666666667	1.666667
H137	AVERAGEIF	=AVERAGEIF(A1,A2)	-2146826281	#DIV/0!
H145	BASE	=BASE(A1,A2)	1	1
H153	BETADIST	=BETADIST(1,1,1)	1	1
H161	BETAINV	=BETAINV(1,1,1)	-2146826252	#NUM!
H169	BIN2DEC	=BIN2DEC(A1:A3)	-2146826273	#VALUE!
H177	BIN2HEX	=BIN2HEX(A1:A3)	-2146826273	#VALUE!
H185	BIN2OCT	=BIN2OCT(A1:A3)	-2146826273	#VALUE!
H193	BINOMDIST	=BINOMDIST(1,1,1,1)	1	1
H201	BITAND	=BITAND(A1,A2)	0	0
H209	BITLSHIFT	=BITLSHIFT(A1,A2)	4	4
H217	BITOR	=BITOR(A1,A2)	3	3
H225	BITRSHIFT	=BITRSHIFT(A1,A2)	0	0
H233	BITXOR	=BITXOR(A1,A2)	3	3
H241	CEILING	=CEILING(A1,A2)	2	2
H249	CHAR	=CHAR(A1:A3)		
H257	CHIDIST	=CHIDIST(A1,A2)	0.60653065971263342	0.606531
H265	CHIINV	=CHIINV(A1,A2)	0	0
H273	CHITEST	=CHITEST(A1,A2)	-2146826246	#N/A
H281	CHOOSE	=CHOOSE(A1,A2)	2	2
H289	CLEAN	=CLEAN(A1:A3)	1	1
H297	CODE	=CODE(A1:A3)	49	49
H305	COLUMN	=COLUMN(A1:A3)	1	1
H313	COLUMNS	=COLUMNS(A1:A3)	1	1
H321	COMBIN	=COMBIN(A1,A2)	-2146826252	#NUM!
H329	COMBINA	=COMBINA(A1,A2)	1	1
H337	COMPLEX	=COMPLEX(A1,A2)	1+2i	1+2i
H345	CONCAT	=CONCAT(A1:A3)	122	122
H353	CONFIDENCE	=CONFIDENCE(1,1,1)	-2146826252	#NUM!
H361	CORREL	=CORREL(A1,A2)	-2146826281	#DIV/0!
H369	COS	=COS(A1:A3)	0.54030230586813977	0.540302
H377	COSH	=COSH(A1:A3)	1.5430806348152437	1.543081
H385	COT	=COT(A1:A3)	0.64209261593433065	0.642093
H393	COTH	=COTH(A1:A3)	1.3130352854993315	1.313035
H401	COUNT	=COUNT(A1:A3)	3	3
H409	COUNTA	=COUNTA(A1:A3)	3	3
H417	COUNTBLANK	=COUNTBLANK(A1:A3)	0	0
H425	COUNTIF	=COUNTIF(A1,A2)	0	0
H433	COUNTIFS	=COUNTIFS(A1,A2)	0	0
H441	COVAR	=COVAR(A1,A2)	0	0
H449	CRITBINOM	=CRITBINOM(1,1,1)	-2146826252	#NUM!
H457	CSC	=CSC(A1:A3)	1.1883951057781212	1.188395
H465	CSCH	=CSCH(A1:A3)	0.85091812823932156	0.850918
H473	CUMIPMT	(★打てません★)		
H481	CUMPRINC	(★打てません★)		
H489	DATE	=DATE(1,1,1)	367	1901/1/1
H497	DATEDIF	=DATEDIF(1,1,1)	-2146826252	#NUM!
H505	DATEVALUE	=DATEVALUE(A1:A3)	-2146826273	#VALUE!
H513	DAVERAGE	=DAVERAGE(A1:A3,1,1)	-2146826273	#VALUE!
H521	DAY	=DAY(A1:A3)	1	1
H529	DAYS	=DAYS(A1,A2)	-1	-1
H537	DAYS360	=DAYS360(A1,A2)	1	1
H545	DB	=DB(1,1,1,1)	0	¥0.00
H553	DCOUNT	=DCOUNT(A1:A3,1,1)	-2146826273	#VALUE!
H561	DCOUNTA	=DCOUNTA(A1:A3,1,1)	-2146826273	#VALUE!
H569	DDB	=DDB(1,1,1,1)	0	¥0.00
H577	DEC2BIN	=DEC2BIN(A1:A3)	-2146826273	#VALUE!
H585	DEC2HEX	=DEC2HEX(A1:A3)	-2146826273	#VALUE!
H593	DEC2OCT	=DEC2OCT(A1:A3)	-2146826273	#VALUE!
H601	DECIMAL	=DECIMAL(A1,A2)	1	1
H609	DEGREES	=DEGREES(A1:A3)	57.295779513082323	57.29578
H617	DELTA	=DELTA(A1:A3)	-2146826273	#VALUE!
H625	DEVSQ	=DEVSQ(A1:A3)	0.66666666666666663	0.666667
H633	DGET	=DGET(A1:A3,1,1)	-2146826273	#VALUE!
H641	DMAX	=DMAX(A1:A3,1,1)	-2146826273	#VALUE!
H649	DMIN	=DMIN(A1:A3,1,1)	-2146826273	#VALUE!
H657	DOLLARDE	=DOLLARDE(A1,A2)	1	1
H665	DOLLARFR	=DOLLARFR(A1,A2)	1	1
H673	DPRODUCT	=DPRODUCT(A1:A3,1,1)	-2146826273	#VALUE!
H681	DSTDEV	=DSTDEV(A1:A3,1,1)	-2146826273	#VALUE!
H689	DSTDEVP	=DSTDEVP(A1:A3,1,1)	-2146826273	#VALUE!
H697	DSUM	=DSUM(A1:A3,1,1)	-2146826273	#VALUE!
H705	DVAR	=DVAR(A1:A3,1,1)	-2146826273	#VALUE!
H713	DVARP	=DVARP(A1:A3,1,1)	-2146826273	#VALUE!
H721	EDATE	=EDATE(A1,A2)	61	61
H729	EFFECT	=EFFECT(A1,A2)	1.25	1.25
H737	EOMONTH	=EOMONTH(A1,A2)	91	91
H745	ERF	=ERF(A1:A3)	-2146826273	#VALUE!
H753	ERFC	=ERFC(A1:A3)	-2146826273	#VALUE!
H761	EVEN	=EVEN(A1:A3)	2	2
H769	EXACT	=EXACT(A1,A2)	False	FALSE
H777	EXP	=EXP(A1:A3)	2.7182818284590451	2.718282
H785	EXPONDIST	=EXPONDIST(1,1,1)	0.63212055882855767	0.632121
H793	FACT	=FACT(A1:A3)	1	1
H801	FACTDOUBLE	=FACTDOUBLE(A1:A3)	-2146826273	#VALUE!
H809	FALSE	=FALSE()	False	FALSE
H817	FDIST	=FDIST(1,1,1)	0.49999999999999989	0.5
H825	FIND	=FIND(A1,A2)	-2146826273	#VALUE!
H833	FINV	=FINV(1,1,1)	0	0
H841	FISHER	=FISHER(A1:A3)	-2146826252	#NUM!
H849	FISHERINV	=FISHERINV(A1:A3)	0.76159415595576485	0.761594
H857	FLOOR	=FLOOR(A1,A2)	0	0
H865	FREQUENCY	=FREQUENCY(A1,A2)	1	1
H873	FTEST	=FTEST(A1,A2)	-2146826281	#DIV/0!
H881	FV	=FV(1,1,1)	-1	¥-1.00
H889	FVSCHEDULE	=FVSCHEDULE(A1,A2)	3	3
H897	GAMMA	=GAMMA(A1:A3)	1	1
H905	GAMMADIST	=GAMMADIST(1,1,1,1)	0.63212055882855767	0.632121
H913	GAMMAINV	=GAMMAINV(1,1,1)	-2146826252	#NUM!
