# ★板を 足して 保存した 物を 実Excel に 開かせた★（97）（2026-09-21）
# ★なぜ★ ... Exally1 が ア①（足した 板も 書き出す）を 書いた ⇒ ★作る 人と 数える 人を 分ける★
# ★どの Excel か★ ... 版 16.0 ／ build 20326
# ★どの 貝殻か★ ... PowerShell 5.1.26100.9278
# ★道具★ ... docs/measured/toru-tashita-ita-wo-excel-ni-hirakaseru.ps1（★読むだけ★）
# ★前★ ... tests/fixtures/kazari-hiraku3.xlsx（11,725B）
# ★後★ ... %TEMP%\exally-tashita-ita.xlsx（10,193B）
#          sha256 c0dc3d4867f494db56ec1142830fc0b56f88364456ea94b2f30b4c34736c7918
#          ★Exally1 が 言った 大きさ・sha256 と ★一致★（私が 数え直しました）
#
# ★★答え ── ★赤 0件★★★
#   ・足した 板 `Sheet2` が 在る（A1=123 ／ B1=tashita）
#   ・★図形（判子）1個の まま★／繋げた マス True の まま／塗り 65535 の まま／線の 太さ 4 の まま
#   ・★元の 板の 値 14マス とも 同じ★（`=SUM(A1:A3)` は ★4.25 の まま★＝計算は 壊れて いません）
#   ・★`Open` は 投げません★（93 の 測り方）
#   ・1枚目の 名は Sheet1 の まま／板の 並びは Sheet1, Sheet2
#
# ★★包みの 突き合わせ（私が 独立に 数え直した 物）★★
#   増えた 1本 ... xl/worksheets/sheet2.xml 358B
#   ★減った 0本★
#   中身が 変わった 3本 ... [Content_Types].xml ／ xl/_rels/workbook.xml.rels ／ xl/workbook.xml
#   中身が 同じ 11本（うち 詰め方だけ 違う 1本）
#   ⇒★判子（drawing1.xml）も 飾り（styles.xml）も 中身が 同じ★
#   ⇒★Exally1 の 数と 一致★（★別々に 数えて 揃いました★）
#
# ★★★私が 数えて いない 事（★「大丈夫」と 読まないで ください★）★★★
#   ・★グラフ★ ... この 材料に グラフは 在りません（`kazari-graph.xlsx` で 別に 測る 必要が 在ります）
#   ・★マクロ（.xlsm）★ ... 測って いません
#   ・★`.xlsb`★ ... 測って いません（司さんの 実物は `.xlsb` です）
#   ・★板を 2枚 以上 足した 時★ ／ ★同じ 名前の 板を 足した 時★
#   ・★元の 板が 10枚 在る 本★（番号の 空きの 取り方は 数が 増えると 変わる 恐れ）
#   ・★足した 板の 飾り★ ... Exally1 が「値と 式だけ」と 書いて います（罫線は 付きません）
#   ・★`calcChain.xml` を 残した 事の 影響★ ... ★今回の 1本では 壊れて いません★が
#     ★式を 打ち直した 本では 測って いません★
#   ・★画面の 絵★ ... 実Excel の 絵を 撮って いません（値と 数だけ 見ました）
#
組	見た物	前	後	判
1	2枚目が 在る	1枚	2枚	ok
1	2枚目 A1	-	123	ok
1	2枚目 B1	-	tashita	ok
2	図形の 数	1	1	ok
2	繋げた マス A5	True	True	ok
2	塗り B1	65535	65535	ok
2	線 B2 の 太さ	4	4	ok
3	A1	3	3	ok
3	A2	1	1	ok
3	A3	0.25	0.25	ok
3	B1（=SUM(A1:A3)）	4.25	4.25	ok
3	C1 C2 C3（縦の 溢れ）	1 2 3	1 2 3	ok
3	D1	abc	abc	ok
3	D5（=D1&"!"）	abc!	abc!	ok
3	E1（横の 溢れ）	1	1	ok
3	A5（繋げた マスの 字）	kazari no tame no musubi	kazari no tame no musubi	ok
3	A10 B10 C10（2次元の 溢れ）	1 2 3	1 2 3	ok
4	Open が 投げたか	投げない	投げない	ok
7	1枚目の 名	Sheet1	Sheet1	ok
