# ★グラフ入りの 本に 板を 足して 保存した 物を 実Excel に 開かせた★（98）（2026-09-22）
# ★なぜ★ ... ア①（足した 板も 書き出す）を グラフ入りでも 確かめる
# ★どの Excel か★ ... 版 16.0 ／ build 20326
# ★どの 貝殻か★ ... PowerShell 5.1.26100.9278
# ★道具★ ... docs/measured/toru-tashita-ita-wo-excel-ni-hirakaseru.ps1（★読むだけ★）
# ★前★ ... tests/fixtures/kazari-graph.xlsx 13,399B / sha256 1ee0195ffa2e418a2b7c744805fce088ac5d5c816a3e14caeb1807fb540dac94
# ★後★ ... %TEMP%\exally-tashita-kazari-graph.xlsx 11,867B / sha256 42e3eca9fdd3cb6c7d89dc03e897a0faf2c26955f862d9c06bcb5371a29d0169
#          ★印は 開く 前に 突き合わせました★（`-前の印` `-後の印`）
#
# ★★★これは 2回目の 測りです★★★
#   ★1回目は 取り下げました★＝★窓が 飾りに 当たって いませんでした★
#     繋げた A5（実際は A7）／塗り B1（実際は D2）／線 B2（実際は D3）
#     ⇒どれも 飾りの 無い マス＝前後 とも 同じ＝★何も 守って いない 緑★
#   ⇒★材料ごとに 見る 所を 渡す★形に 直して 測り直しました
#
# ★★答え ── ★赤 0件★★★
#   ・足した 板 Sheet2（A1=123 ／ B1=tashita）
#   ・★図形 2個の まま★＝★グラフ 1 ／ 判子 1★（★分けて 数えました★）
#   ・繋げた マス A7 True の まま／塗り D2 65535 の まま／線 D3 太さ 4 の まま
#   ・★溢れ（D5:D7 ＝ 1 / 2 / 3）が 生きて いる★
#   ・元の 板の 値 13マス とも 同じ（★値・零・型の 3つ とも★）
#   ・★Open は 投げません★
#
# ★★包みの 突き合わせ（私が 独立に 数え直した 物）★★
#   増 1本（xl/worksheets/sheet2.xml 358B）／★減 0本★／変 3本／同 13本（詰め方だけ 1本）
#   ⇒★xl/charts/chart1.xml も xl/drawings/drawing1.xml も 中身が 同じ★
#
# ★★まだ 測って いない 事★★
#   ・★グラフの 絵が 実際に 出るか★（★部品が 同じ＝絵が 出る とは 別★）
#     ＝実Excel の 絵を 撮って 並べて いません
#   ・マクロ（.xlsm）／板を 2枚 以上 足した 時／同じ 名前の 板／板が 10枚 在る 本
#   ・足した 板の 飾り（値と 式だけ）／calcChain を 残した 事の 影響
#
組	見た物	前	後	判
1	2枚目が 在る	1枚	2枚	ok
1	2枚目 A1	-	123	ok
1	2枚目 B1	-	tashita	ok
2	図形の 数（全部）	2	2	ok
2	うち グラフ	1	1	ok
2	うち 判子	1	1	ok
2	繋げた マス A7	True	True	ok
2	塗り D2	65535	65535	ok
2	線 D3 の 太さ	4	4	ok
3	A1（字）	tsuki	tsuki	ok
3	B1（字）	uriage	uriage	ok
3	A2 B2（グラフの 元）	m1 / 10	m1 / 10	ok
3	A5 B5（グラフの 元）	m4 / 40	m4 / 40	ok
3	D1 D2 D3（飾りの マス）	1 / 2 / 3	1 / 2 / 3	ok
3	D5 D6 D7（=SEQUENCE(3) の 溢れ）	1 / 2 / 3	1 / 2 / 3	ok
3	A7（繋げた マスの 字）	tsunageta masu	tsunageta masu	ok
4	Open が 投げたか	投げない	投げない	ok
7	1枚目の 名	Sheet1	Sheet1	ok
