# ★★`.xlsb`（司さんの 実物の 形）に 板を 足して 保存した 物を 実Excel に 開かせた★★（99）（2026-09-22）
# ★なぜ★ ... ア①を ★司さんの 実物の 形★で 確かめる（`.xlsx` だけでは「全部 保存できる」と 言えない）
# ★どの Excel か★ ... 版 16.0 ／ build 20326
# ★どの 貝殻か★ ... PowerShell 5.1.26100.9278
# ★道具★ ... docs/measured/toru-tashita-ita-wo-excel-ni-hirakaseru.ps1（★読むだけ★）
# ★前★ ... tests/fixtures/kazari-hiraku3.xlsb 10,132B / sha256 b21b67cac5c53ae7653e4a03c138ccca11c5abd360d9668dc10f381a20942430
# ★後★ ... %TEMP%\exally-xlsb-tashita.xlsb  8,494B / sha256 3855d6302e76d13e82c7dbddccb83897734438d5958f3049fd92cff84f37d29c
#          ★印は 開く 前に 突き合わせました★
#
# ★★答え ── ★赤 0件★★★
#   ★①一番 怖かった 所＝`Open` が 投げません★（「修復しました」と 言わずに 開く）
#   ②★判子 1つ そのまま★／繋げた マス A5 True／塗り B1 65535／線 B2 太さ 4
#   ③★溢れが 3組 とも 生きて います★
#        縦 C1:C3＝1,2,3 ／ 横 E1:G1＝1,2,3 ／ 2次元 A10:C11＝1..6
#        ⇒`xl/metadata.bin` を ★1バイトも 触らなかった★から（★触ると 溢れが 壊れる★＝私の 実測）
#   ④元の 板の 値 ★19マス とも 同じ★（★値・零・型の 3つ とも★）
#   ⑤足した 板 `Tashita`（A1=123 ／ B1=2.5）
#
# ★★包みの 突き合わせ（私が 独立に 数え直した 物）★★
#   増 1本（xl/worksheets/sheet2.bin 193B）／★減 0本★／変 3本／同 12本
#   ⇒★xl/drawings/drawing1.xml（判子）も xl/styles.bin（飾り）も 中身が 同じ★
#   ⇒★xl/metadata.bin も 中身が 同じ★
#
# ★★★これは 2回目の 測りです（★1回目の 赤は 私の 道具の せい★）★★★
#   1回目 ... ★赤 1件★「2枚目 B1 が tashita で ない」
#   ⇒`.xlsx` の 材料は B1 に ★字★、`.xlsb` の 材料は ★数（2.5）★
#   ⇒★待つ 値を 道具に 焼き付けて いました★
#   ⇒★この 赤は 相手の 直しの せいに 見えます★（今日 2回目の 形）
#   ⇒`-板2A1` `-板2B1` で 渡す 形に 直して 測り直し ⇒ ★赤 0件★
#
# ★★まだ 測って いない 事（★「.xlsb は 全部 大丈夫」と 読まないで ください★）★★
#   ・★字の マスを 足した 時★（`sharedStrings.bin` を 触る＝元の 板の 番号が ずれる 恐れ）
#     ＝今の 実装は ★数しか 書けません★
#   ・★`xl/worksheets/binaryIndex1.bin` を 残した 事の 影響★
#     ＝「何バイト目に 何が 在る」の 索引。★今回は 消して いません★
#     ＝★この 1本では 投げませんでした★が ★大きい 本で どうかは 未測定★
#   ・マクロ入り（.xlsm / .xlsb のマクロ）／板を 2枚 以上 足した 時／同じ 名前の 板
#   ・板が 10枚 在る 本（番号の 空きの 取り方）
#   ・★実Excel の 絵★（値と 数だけ 見ました）
#
組	見た物	前	後	判
1	2枚目が 在る	1枚	2枚	ok
1	2枚目 A1	-	123	ok
1	2枚目 B1	-	2.5	ok
2	図形の 数（全部）	1	1	ok
2	うち グラフ	0	0	ok
2	うち 判子	1	1	ok
2	繋げた マス A5	True	True	ok
2	塗り B1	65535	65535	ok
2	線 B2 の 太さ	4	4	ok
3	A1 A2 A3	3 / 1 / 0.25	3 / 1 / 0.25	ok
3	B1（=SUM(A1:A3)）	4.25	4.25	ok
3	C1 C2 C3（縦の 溢れ）	1 / 2 / 3	1 / 2 / 3	ok
3	E1 F1 G1（横の 溢れ）	1 / 2 / 3	1 / 2 / 3	ok
3	A10 B10 C10 A11 B11 C11（2次元の 溢れ）	1..6	1..6	ok
3	D1 D5（字）	abc / abc!	abc / abc!	ok
3	A5（繋げた マスの 字）	kazari no tame no musubi	kazari no tame no musubi	ok
4	Open が 投げたか	投げない	投げない	ok
7	1枚目の 名	Sheet1	Sheet1	ok
