# ★★お客さんの 道で 出た `.xlsb` を 実Excel に 開かせた★★（100）（2026-09-22）
# ★なぜ★ ... ★私が 99で 測った 物は 「本当に 出る 物」では ありませんでした★
#            ＝99 は ★台の 口だけ★で 作った 物（索引を 残した 物）
#            ＝お客さんの 道（`BookOpen.saveOpened`）は ★索引を 消します★
#            ⇒★測り道具は 本番に 付いて いかない★（記憶の 決まり）を 踏みました
# ★どの Excel か★ ... 版 16.0 ／ build 20326 ／ PowerShell 5.1.26100.9278
# ★道具★ ... docs/measured/toru-tashita-ita-wo-excel-ni-hirakaseru.ps1（★読むだけ★）
# ★前★ ... tests/fixtures/kazari-hiraku3.xlsb 10,132B / b21b67cac5c53ae7653e4a03c138ccca11c5abd360d9668dc10f381a20942430
# ★後★ ... %TEMP%\exally-tashita-kazari-hiraku3.xlsb 8,234B / daa0d4c245ff8a9ac5b638f35c919c101ef5752f428c4dd148b23a85555b81a6
#
# ★★答え ── ★ok 68 ／ 赤 0件★★★
#   ★①`Open` は 投げません★（索引を 消した 形でも 修復に なりません）
#   ②★判子 1つ そのまま★／繋げた A5 True／塗り B1 65535／線 B2 太さ 4
#   ③★元の 板の 値 19マス × 3つの 窓（値・零・型）＝57 とも 同じ★
#      ⇒★溢れ 3組（縦 C1:C3・横 E1:G1・2次元 A10:C11）も 生きて います★
#   ④足した 板 `Sheet2`（★A1=123 ／ B1 は 空★）
#
# ★★★④の B1 が 空なのは ★狙い通り★です（★欠陥では ありません★）★★★
#   Exally1 は B1 に ★字（'tashita'）★を 書きました。
#   ★`.xlsb` の 足した 板は 今 数しか 書けません★（`sharedStrings.bin` を 触れない）
#   ⇒★字は 落ちます★
#   ★私が 包みの 中を 自分で 読んで 裏を 取りました★
#     足した 板 `sheet2.bin` ... 記録 13本／★数の マス 1本／字の マス 0本★
#     元の 板 `sheet1.bin`  ... ★字の マス 2本＝元の 字は 残って います★
#   ⇒★「新しく 足す 分だけ 字が 入らない」★＝元の 本の 字は 無事
#   ⇒★黙って 落とさない★為に `lib/hairanai.js` が 数を 言います（Exally1 が 直した）
#   ⇒★突き合わせ道具も 毎回 「字の マス N本」を 出します★（私が 足した）
#
#   ★1回目の 測りで 私は `-板2B1 2.5` を 渡して 赤を 出しました★
#     ＝Exally1 が 99（台の 口）で 2.5 を 書き、100（お客さんの 道）で 'tashita' を 書いた
#     ＝★2つの 測りで 材料が 違った★のを 私が 引き写した
#   ⇒★待ち値を 「空」に して 測り直し ⇒ ★赤 0件★
#
# ★★包みの 突き合わせ（`--消える予定` で 宣言）★★
#   増 1本（xl/worksheets/sheet2.bin 179B）
#   ★わざと 消した 1本★ xl/worksheets/binaryIndex1.bin 79B（★宣言あり★）
#   ★宣言して いないのに 減った 0本★
#   変 4本 ... [Content_Types].xml（1424 ⇒ ★1417＝減る★）／workbook.bin.rels ／
#              workbook.bin ／ ★xl/worksheets/_rels/sheet1.bin.rels（426 ⇒ 299）★
#   同 10本
#
# ★★99（台の 口）と 100（お客さんの 道）の 違い★★
#   99  ... 8,494B ／ 索引 ★残る★ ／ sheet1.bin.rels ★変わらない★ ／ 板の 名 `Tashita`
#   100 ... 8,234B ／ 索引 ★消える★ ／ sheet1.bin.rels ★変わる★ ／ 板の 名 `Sheet2`
#   ⇒★同じ 直しでも 出る 物が 違います★＝★測るなら お客さんの 道の 物★
#
# ★★まだ 測って いない★★
#   字の マス／板を 2枚 以上／同じ 名前の 板／板が 10枚 在る 本／マクロ入り／
#   ★大きい 本で 索引を 消した 時★／★実Excel の 絵★
#
組	見た物	前	後	判
1	2枚目が 在る	1枚	2枚	ok
1	2枚目 A1	-	123	ok
1	2枚目 B1（字を 書いた／待ち 空）	-	（空）	ok（★字は `.xlsb` に 入らない＝狙い通り★）
2	図形の 数（全部）	1	1	ok
2	うち グラフ	0	0	ok
2	うち 判子	1	1	ok
2	繋げた マス A5	True	True	ok
2	塗り B1	65535	65535	ok
2	線 B2 の 太さ	4	4	ok
3	元の 板 19マス × 値・零・型	同じ	同じ	ok（57件）
9	足した 板の 字の マス（包みを 直に 読む）	-	0本	ok（★字は 入って いない★）
9	元の 板の 字の マス（包みを 直に 読む）	2本	2本	ok（★元の 字は 残って いる★）
4	Open が 投げたか	投げない	投げない	ok
7	1枚目の 名	Sheet1	Sheet1	ok
