# ★実Excel に「つなぎ」を 打って 読んだ 紙★（2026-09-11）
# ★D1 は 空マス★／★列の 幅を 60に 広げて 字が 切れないように して 在る★
# ★型★と★本当にゼロか★も 取って います（「0」を 1つの 窓だけで 取らない）
# 打った字	出た字	中の値	型	本当にゼロか
="1"+1	2	2	Number	—
=TRUE+1	2	2	Number	—
=""+1	#VALUE!	-2146826273	Number	—
=D1+1	1	1	Number	—
="a"+1	#VALUE!	-2146826273	Number	—
="2"*"3"	6	6	Number	—
=-"1"	-1	-1	Number	—
=" 1 "+0	1	1	Number	—
="1e2"+0	100	100	Number	—
="1,000"+0	1000	1000	Number	—
="1 000"+0	#VALUE!	-2146826273	Number	—
="0x10"+0	#VALUE!	-2146826273	Number	—
="TRUE"+0	#VALUE!	-2146826273	Number	—
="50%"+0	0.5	0.5	Number	—
="(1)"+0	-1	-1	Number	—
="+1"+0	1	1	Number	—
="-1"+0	-1	-1	Number	—
="1."+0	1	1	Number	—
=".5"+0	0.5	0.5	Number	—
="1E2"+0	100	100	Number	—
="03"+0	3	3	Number	—
=1&2	12	12	String	—
=TRUE&""	TRUE	TRUE	String	—
=1.5&""	1.5	1.5	String	—
=1/3&""	0.333333333333333	0.333333333333333	String	—
=1&TRUE	1TRUE	1TRUE	String	—
=D1&"x"	x	x	String	—
=1&2&3	123	123	String	—
=1&""	1	1	String	—
=TRUE&FALSE	TRUEFALSE	TRUEFALSE	String	—
="1"&"2"+0	12	12	String	—
=("1"&"2")+0	12	12	Number	—
=1+TRUE&""	2	2	String	—
="0003"&""	0003	0003	String	—
=1/7&""	0.142857142857143	0.142857142857143	String	—
=1=1	TRUE	True	Boolean	—
="a"="A"	TRUE	True	Boolean	—
=1<"a"	TRUE	True	Boolean	—
="a"<TRUE	TRUE	True	Boolean	—
=FALSE<TRUE	TRUE	True	Boolean	—
=D1=0	TRUE	True	Boolean	—
=D1=""	TRUE	True	Boolean	—
=1="1"	FALSE	False	Boolean	—
=""=0	FALSE	False	Boolean	—
=""=""	TRUE	True	Boolean	—
="10"<"9"	TRUE	True	Boolean	—
=10<9	FALSE	False	Boolean	—
=1<>2	TRUE	True	Boolean	—
=TRUE*2	2	2	Number	—
=TRUE=1	FALSE	False	Boolean	—
=TRUE>1	TRUE	True	Boolean	—
="Z"<"a"	FALSE	False	Boolean	—
="a"<"B"	TRUE	True	Boolean	—
=""<"a"	TRUE	True	Boolean	—
=D1<0	FALSE	False	Boolean	—
=D1<"a"	TRUE	True	Boolean	—
=D1<FALSE	FALSE	False	Boolean	—
=D1<TRUE	TRUE	True	Boolean	—
=1<2<3	FALSE	False	Boolean	—
=2>1=TRUE	TRUE	True	Boolean	—
=1/0	#DIV/0!	-2146826281	Number	—
=NA()+1	#N/A	-2146826246	Number	—
=1/0&""	#DIV/0!	-2146826281	Number	—
="a"&NA()	#N/A	-2146826246	Number	—
=NA()+1/0	#N/A	-2146826246	Number	—
=1/0+NA()	#DIV/0!	-2146826281	Number	—
=1/0=1/0	#DIV/0!	-2146826281	Number	—
=NA()=NA()	#N/A	-2146826246	Number	—
=0^0	#NUM!	-2146826252	Number	—
=-2^2	4	4	Number	—
=2^3^2	64	64	Number	—
=2^-1	0.5	0.5	Number	—
=2^0.5&""	1.4142135623731	1.4142135623731	String	—
=(-8)^(1/2)	#NUM!	-2146826252	Number	—
=(-4)^0.5	#NUM!	-2146826252	Number	—
=(-8)^(2/3)	#NUM!	-2146826252	Number	—
=(-8)^(3/5)	#NUM!	-2146826252	Number	—
=(-8)^(1/4)	#NUM!	-2146826252	Number	—
=(-8)^(2/4)	#NUM!	-2146826252	Number	—
=(-8)^2	64	64	Number	—
=(-8)^3	-512	-512	Number	—
=(-8)^0	1	1	Number	—
=(-8)^(1/3)	-2	-2	Number	—
=(-32)^(1/5)&""	-2	-2	String	—
=(-8)^(1/5)&""	-1.5157165665104	-1.5157165665104	String	—
=(-8)^(1/7)&""	-1.34590019263236	-1.34590019263236	String	—
=(-8)^(-1/3)&""	-0.5	-0.5	String	—
=0^-1	#DIV/0!	-2146826281	Number	—
=0^0.5	0	0	Number	TRUE
=50%	0.5	0.5	Number	—
=-50%	-0.5	-0.5	Number	—
=3%	0.03	0.03	Number	—
=1%+1	1.01	1.01	Number	—
=--"1"	1	1	Number	—
=+"1"	1	1	String	—
=-D1	0	0	Number	TRUE
=D1*2	0	0	Number	TRUE
=0.1+0.2=0.3	TRUE	True	Boolean	—
=0.1+0.2-0.3	0	0	Number	TRUE
=1/3*3=1	TRUE	True	Boolean	—
=0.1+0.2&""	0.3	0.3	String	—
=1/3*3-1&""	0	0	String	FALSE
=(-1/3)*3&""	-1	-1	String	—
=(1/3)&""	0.333333333333333	0.333333333333333	String	—
=(2/3)&""	0.666666666666667	0.666666666666667	String	—
=(-1/3)&""	-0.333333333333333	-0.333333333333333	String	—
=1234567890123456&""	1234567890123450	1234567890123450	String	—
=12345678901234567&""	12345678901234500	12345678901234500	String	—
=123456789012345678&""	123456789012345000	123456789012345000	String	—
=1000000&""	1000000	1000000	String	—
=-0&""	0	0	String	FALSE
=123456.789&""	123456.789	123456.789	String	—
=0.000000123&""	0.000000123	0.000000123	String	—
=10^15&""	1000000000000000	1000000000000000	String	—
=10^16&""	10000000000000000	10000000000000000	String	—
=10^17&""	100000000000000000	100000000000000000	String	—
=10^18&""	1000000000000000000	1000000000000000000	String	—
=10^19&""	10000000000000000000	10000000000000000000	String	—
=10^20&""	1E+20	1E+20	String	—
=10^21&""	1E+21	1E+21	String	—
=1E20&""	1E+20	1E+20	String	—
=1.5*10^18&""	1500000000000000000	1500000000000000000	String	—
=10^-5&""	0.00001	0.00001	String	—
=10^-6&""	0.000001	0.000001	String	—
=10^-7&""	0.0000001	0.0000001	String	—
=10^-8&""	0.00000001	0.00000001	String	—
=10^-9&""	0.000000001	0.000000001	String	—
=10^-10&""	0.0000000001	0.0000000001	String	—
=10^-11&""	0.00000000001	0.00000000001	String	—
=10^-12&""	0.000000000001	0.000000000001	String	—
