# ★飾り 8種 ＋ 溢れ 3種 を 往復させた 物を 実Excel に 開かせた★（㊿）（2026-09-20）
# ★開いた 物★ ... C:\Users\zeroa\AppData\Local\Temp\exally-uketotta-kazari3.xlsx（9834 バイト）
# ★読むだけ★（保存して いません）
# ★★2026-09-21 追記 ── この 紙が 測ったのは 「画面」では ありません★★
#   ＝実Excel に 開かせて ★ファイルの 中に 残って いるか★を 読んだ 物です。
#   ⇒★「消えて いない」と「見えて いる」は 別です★
#     （Exally の 画面に 出て いるかは この 紙では 1つも 分かりません）
#   ⇒画面まで 届くかは ★`golden-kazari-gamen-made-2026-09-21.tsv`★ を 見て ください。
# ★どの Excel か★ ... 版 16.0 ／ build 20326
# ★どの 貝殻か★ ... PowerShell 5.1.26100.9278
# ★お客さんが した 事★ ... A1 を 3 ⇒ 42 に した だけ（式は 1つも 触って いない）
# ★包みの 中の 字★ ... styles.xml 4402 ⇒ 4402／drawing1.xml 1494 ⇒ 1494（Exally1 の 実測）
#
# ★★①飾り ＋ 溢れ ＋ 対照 を 1つずつ 突き合わせ★★
# 見た物	待つ	出た	判じ
罫線(A1 左) LineStyle	1	1	ok
罫線(B2 下) Weight	4	4	ok
塗り(B1) Color	1	65535	★違う★
字(A1) Bold	True	True	ok
字(A1) Color	255	255	ok
繋げたマス(A5)	True	True	ok
図形の数	1	1	ok
A列の幅	30	30	ok
溢れ縦 C1:C3	1/2/3	1/2/3	ok
溢れ横 E1:G1	1/2/3	1/2/3	ok
溢れ2次元 A10:C11	1/2/3/4/5/6	1/2/3/4/5/6	ok
C1 の式	=SEQUENCE(3)	=SEQUENCE(3)	ok
E1 の式	=SEQUENCE(1,3)	=SEQUENCE(1,3)	ok
A10 の式	=SEQUENCE(2,3)	=SEQUENCE(2,3)	ok
対照 B1 の式	=SUM(A1:A3)	=SUM(A1:A3)	ok
対照 B1 の値	43.25	43.25	ok
対照 D5 の値	abc!	abc!	ok
A1(客が直した)	42	42	ok
はみ出し C4	kara	kara	ok
はみ出し H1	kara	kara	ok
はみ出し D10	kara	kara	ok
はみ出し A12	kara	kara	ok
表示の形(B1)	# を 含む	#,##0	ok
表示の形(A3)	% を 含む	0.0%	ok
図形の名	hanko	hanko	ok
# ★★欠け 1個★★
#
# ★★②マスの 中身★★
# マス	値	出る字	式	型	溢れの一部か
A1	42	42	42	Double	False
A2	1	1	1	Double	False
A3	0.25	25.0%	0.25	Double	False
B1	43.25	43	=SUM(A1:A3)	Double	False
A5	kazari no tame no musubi	kazari no tame no musubi	kazari no tame no musubi	String	False
C1	1	1	=SEQUENCE(3)	Double	False
C2	2	2		Double	False
C3	3	3		Double	False
C4	(kara)			(kara)	False
E1	1	1	=SEQUENCE(1,3)	Double	False
F1	2	2		Double	False
G1	3	3		Double	False
H1	(kara)			(kara)	False
A10	1	1	=SEQUENCE(2,3)	Double	False
B10	2	2		Double	False
C10	3	3		Double	False
A11	4	4		Double	False
B11	5	5		Double	False
C11	6	6		Double	False
D10	(kara)			(kara)	False
A12	(kara)			(kara)	False
D1	abc	abc	abc	String	False
D5	abc!	abc!	=D1&"!"	String	False
#
# ★★2つ目の 窓★★（★上の 読みの 後に 打って います★）
# マス	値	型	=(マス)=0
A1	42	Double	False
A2	1	Double	False
A3	0.25	Double	False
B1	43.25	Double	False
A5	kazari no tame no musubi	String	False
C1	1	Double	False
C2	2	Double	False
C3	3	Double	False
C4	(kara)	(kara)	True
E1	1	Double	False
F1	2	Double	False
G1	3	Double	False
H1	(kara)	(kara)	True
A10	1	Double	False
B10	2	Double	False
C10	3	Double	False
A11	4	Double	False
B11	5	Double	False
C11	6	Double	False
D10	(kara)	(kara)	True
A12	(kara)	(kara)	True
D1	abc	String	False
D5	abc!	String	False
