# ★XIRR の 紙を うちの 本番の 道で 押して 突き合わせた★（2026-09-09・2件目）
#
# ★正★ golden-xirr-sakaime-2026-09-09.tsv（実Excel の 実測）
# ★押す 道★ 本番と 同じ ①JS層 → ②convertFormula → エンジン
# ★材料は 紙から 読んだ★（77マス）★手で 写して いません★
# ★合う 幅★ 相対 0.000001（★字が そのまま 同じ 物は そのまま 合う★）
#
# 組	式	実Excel	うち	道	判じ	何の 場所
★境目★ 全部 プラス	=XIRR(A1:A3,B1:B3)	#NUM!	#NUM!	JS層	合った	見当なし
★境目★ 全部 プラス	=XIRR(A1:A3,B1:B3,0.1)	#NUM!	#NUM!	JS層	合った	見当 0.1
★境目★ 全部 プラス	=XIRR(A1:A3,B1:B3,0)	#NUM!	#NUM!	JS層	合った	見当 0
★境目★ 全部 プラス	=XIRR(A1:A3,B1:B3,-0.9)	#NUM!	#NUM!	JS層	合った	見当 -0.9
★境目★ 全部 プラス	=XIRR(A1:A3,B1:B3,10)	#NUM!	#NUM!	JS層	合った	見当 10
★境目★ 全部 マイナス	=XIRR(C1:C3,D1:D3)	#NUM!	#NUM!	JS層	合った	見当なし
★境目★ 全部 マイナス	=XIRR(C1:C3,D1:D3,0.1)	#NUM!	#NUM!	JS層	合った	見当 0.1
★境目★ 全部 マイナス	=XIRR(C1:C3,D1:D3,0)	#NUM!	#NUM!	JS層	合った	見当 0
★境目★ 全部 マイナス	=XIRR(C1:C3,D1:D3,-0.9)	#NUM!	#NUM!	JS層	合った	見当 -0.9
★境目★ 全部 マイナス	=XIRR(C1:C3,D1:D3,10)	#NUM!	#NUM!	JS層	合った	見当 10
普通（プラスと マイナス）	=XIRR(E1:E3,F1:F3)	1.00119332075119	1.0011933213132864	JS層	合った	見当なし
普通（プラスと マイナス）	=XIRR(E1:E3,F1:F3,0.1)	1.00119332075119	1.0011933213132864	JS層	合った	見当 0.1
普通（プラスと マイナス）	=XIRR(E1:E3,F1:F3,0)	1.0011933300781244	1.0011933213132862	JS層	合った	見当 0
普通（プラスと マイナス）	=XIRR(E1:E3,F1:F3,-0.9)	#NUM!	#NUM!	JS層	合った	見当 -0.9
普通（プラスと マイナス）	=XIRR(E1:E3,F1:F3,10)	1.0011933278292418	1.0011933213132864	JS層	合った	見当 10
★一番 短い（2件）★	=XIRR(G1:G2,H1:H2)	0.09999999403953552	0.09999999999999988	JS層	合った	見当なし
★一番 短い（2件）★	=XIRR(G1:G2,H1:H2,0.1)	0.09999999403953552	0.09999999999999988	JS層	合った	見当 0.1
★一番 短い（2件）★	=XIRR(G1:G2,H1:H2,0)	0.0999999951171875	0.09999999999999996	JS層	合った	見当 0
★一番 短い（2件）★	=XIRR(G1:G2,H1:H2,-0.9)	#NUM!	#NUM!	JS層	合った	見当 -0.9
★一番 短い（2件）★	=XIRR(G1:G2,H1:H2,10)	0.1000000024214387	0.10000000000000006	JS層	合った	見当 10
★0 を 含む★	=XIRR(I1:I3,J1:J3)	0.21063382029533387	0.21063382153708415	JS層	合った	見当なし
★0 を 含む★	=XIRR(I1:I3,J1:J3,0.1)	0.21063382029533387	0.21063382153708415	JS層	合った	見当 0.1
★0 を 含む★	=XIRR(I1:I3,J1:J3,0)	0.21063382324218755	0.210633821537084	JS層	合った	見当 0
★0 を 含む★	=XIRR(I1:I3,J1:J3,-0.9)	#NUM!	#NUM!	JS層	合った	見当 -0.9
★0 を 含む★	=XIRR(I1:I3,J1:J3,10)	0.21063382271677256	0.21063382153708407	JS層	合った	見当 10
★全部 0★	=XIRR(K1:K3,L1:L3)	#NUM!	#NUM!	JS層	合った	見当なし
★全部 0★	=XIRR(K1:K3,L1:L3,0.1)	#NUM!	#NUM!	JS層	合った	見当 0.1
★全部 0★	=XIRR(K1:K3,L1:L3,0)	#NUM!	#NUM!	JS層	合った	見当 0
★全部 0★	=XIRR(K1:K3,L1:L3,-0.9)	#NUM!	#NUM!	JS層	合った	見当 -0.9
★全部 0★	=XIRR(K1:K3,L1:L3,10)	#NUM!	#NUM!	JS層	合った	見当 10
★日付が 逆順★	=XIRR(M1:M3,N1:N3)	#NUM!	#NUM!	JS層	合った	見当なし
★日付が 逆順★	=XIRR(M1:M3,N1:N3,0.1)	#NUM!	#NUM!	JS層	合った	見当 0.1
★日付が 逆順★	=XIRR(M1:M3,N1:N3,0)	#NUM!	#NUM!	JS層	合った	見当 0
★日付が 逆順★	=XIRR(M1:M3,N1:N3,-0.9)	#NUM!	#NUM!	JS層	合った	見当 -0.9
★日付が 逆順★	=XIRR(M1:M3,N1:N3,10)	#NUM!	#NUM!	JS層	合った	見当 10
★日付が バラバラ★	=XIRR(O1:O3,P1:P3)	#NUM!	#NUM!	JS層	合った	見当なし
★日付が バラバラ★	=XIRR(O1:O3,P1:P3,0.1)	#NUM!	#NUM!	JS層	合った	見当 0.1
★日付が バラバラ★	=XIRR(O1:O3,P1:P3,0)	#NUM!	#NUM!	JS層	合った	見当 0
★日付が バラバラ★	=XIRR(O1:O3,P1:P3,-0.9)	#NUM!	#NUM!	JS層	合った	見当 -0.9
★日付が バラバラ★	=XIRR(O1:O3,P1:P3,10)	#NUM!	#NUM!	JS層	合った	見当 10
★同じ 日付が 2つ★	=XIRR(Q1:Q3,R1:R3)	2.071931099891663	2.071931103821419	JS層	合った	見当なし
★同じ 日付が 2つ★	=XIRR(Q1:Q3,R1:R3,0.1)	2.071931099891663	2.071931103821419	JS層	合った	見当 0.1
★同じ 日付が 2つ★	=XIRR(Q1:Q3,R1:R3,0)	2.07193111328125	2.0719311038214197	JS層	合った	見当 0
★同じ 日付が 2つ★	=XIRR(Q1:Q3,R1:R3,-0.9)	#NUM!	#NUM!	JS層	合った	見当 -0.9
★同じ 日付が 2つ★	=XIRR(Q1:Q3,R1:R3,10)	2.07193112000823	2.071931103821419	JS層	合った	見当 10
★1件だけ★	=XIRR(S1:S1,T1:T1)	#N/A	#N/A	JS層	合った	見当なし
★1件だけ★	=XIRR(S1:S1,T1:T1,0.1)	#N/A	#N/A	JS層	合った	見当 0.1
★1件だけ★	=XIRR(S1:S1,T1:T1,0)	#N/A	#N/A	JS層	合った	見当 0
★1件だけ★	=XIRR(S1:S1,T1:T1,-0.9)	#N/A	#N/A	JS層	合った	見当 -0.9
★1件だけ★	=XIRR(S1:S1,T1:T1,10)	#N/A	#N/A	JS層	合った	見当 10
★日付が 1900年より 前（負）★	=XIRR(U1:U3,V1:V3)	#NUM!	#NUM!	JS層	合った	見当なし
★日付が 1900年より 前（負）★	=XIRR(U1:U3,V1:V3,0.1)	#NUM!	#NUM!	JS層	合った	見当 0.1
★日付が 1900年より 前（負）★	=XIRR(U1:U3,V1:V3,0)	#NUM!	#NUM!	JS層	合った	見当 0
★日付が 1900年より 前（負）★	=XIRR(U1:U3,V1:V3,-0.9)	#NUM!	#NUM!	JS層	合った	見当 -0.9
★日付が 1900年より 前（負）★	=XIRR(U1:U3,V1:V3,10)	#NUM!	#NUM!	JS層	合った	見当 10
★値 3・日付 2（数が 違う）★	=XIRR(X1:X3,Y1:Y2)	#NUM!	#NUM!	JS層	合った	数が 違う
★空が 混ざる★	=XIRR(AA1:AA3,AB1:AB3)	0.21063382029533387	0.21063382153708415	JS層	合った	空の マス
★字が 混ざる★	=XIRR(AD1:AD3,AE1:AE3)	#VALUE!	#VALUE!	JS層	合った	字の マス
★見当が −1★	=XIRR(E1:E3,F1:F3,-1)	#NUM!	#NUM!	JS層	合った	見当の 境目
★見当が −2★	=XIRR(E1:E3,F1:F3,-2)	#NUM!	#NUM!	JS層	合った	見当の 境目
★見当が 1e6★	=XIRR(E1:E3,F1:F3,1000000)	1.0011933255782424	1.0011933213132866	JS層	合った	見当の 境目
★見当の 刻み★	=XIRR(E1:E3,F1:F3,-0.99)	#NUM!	#NUM!	JS層	合った	見当 -0.99
★見当の 刻み★	=XIRR(E1:E3,F1:F3,-0.95)	#NUM!	#NUM!	JS層	合った	見当 -0.95
★見当の 刻み★	=XIRR(E1:E3,F1:F3,-0.9)	#NUM!	#NUM!	JS層	合った	見当 -0.9
★見当の 刻み★	=XIRR(E1:E3,F1:F3,-0.8)	#NUM!	#NUM!	JS層	合った	見当 -0.8
★見当の 刻み★	=XIRR(E1:E3,F1:F3,-0.7)	#NUM!	#NUM!	JS層	合った	見当 -0.7
★見当の 刻み★	=XIRR(E1:E3,F1:F3,-0.5)	#NUM!	#NUM!	JS層	合った	見当 -0.5
★見当の 刻み★	=XIRR(E1:E3,F1:F3,-0.3)	#NUM!	#NUM!	JS層	合った	見当 -0.3
★見当の 刻み★	=XIRR(E1:E3,F1:F3,-0.1)	#NUM!	#NUM!	JS層	合った	見当 -0.1
★見当の 刻み★	=XIRR(E1:E3,F1:F3,-0.01)	#NUM!	#NUM!	JS層	合った	見当 -0.01
★見当の 刻み★	=XIRR(E1:E3,F1:F3,0.01)	1.0011933231353758	1.0011933213132869	JS層	合った	見当 0.01
★見当の 刻み★	=XIRR(E1:E3,F1:F3,0.5)	1.001193329691887	1.0011933213132864	JS層	合った	見当 0.5
★見当の 刻み★	=XIRR(E1:E3,F1:F3,1)	1.001193329691887	1.0011933213132869	JS層	合った	見当 1
★見当の 刻み★	=XIRR(E1:E3,F1:F3,2)	1.001193329691887	1.001193321313286	JS層	合った	見当 2
★見当の 刻み★	=XIRR(E1:E3,F1:F3,5)	1.0011933278292418	1.001193321313286	JS層	合った	見当 5
★見当の 刻み★	=XIRR(E1:E3,F1:F3,100)	1.0011933161877096	1.001193321313287	JS層	合った	見当 100
★見当の 刻み★	=XIRR(E1:E3,F1:F3,10000)	1.0011933136411244	1.0011933213132858	JS層	合った	見当 10000
#
# ★★締め★★ 全 77本
#   合った ……………………………………… 77
#   ★#NAME?（在るように 見えて 実は 無い）★ … 0
#   ★値が 違う★ ………………………………… 0
#   ★誤りの 出方が 違う★ ……………………… 0
#   ―― 足すと 77 ／ 全 77本
