# ★YEARFRAC の basis 1 は 何で 割って いるか★（2026-09-16）
#
# ★なぜ★ うちは いつでも「年の 平均日数」で 割って いた（365.5 など）
#   ★実Excel は 365 と 366 を 使い分けて いる★＝ODDFPRICE の 部品で 7本 違った
#
# ★分母★ … 日数 ÷ 答え（★これを 見れば 365 か 366 か 分かります★）
#   ★実Excel に 割らせて います★（うちで 割ると うちの 丸めが 混ざる）
#
# ★2つ目の 窓★ `=(式)=0` … `.Value2` は 0 で ない 値に 0 を 返す
#
# ★どの Excel か★ … 版 16.0 ／ build 20326
#
# 始	終	日数	答え	分母	=(式)=0	型	なぜ この 組か
2009-01-15	2009-06-30	166	0.45479452054794522	365	False	Double	①同じ年・平年
2008-01-15	2008-06-30	167	0.45628415300546449	366	False	Double	①同じ年・うるう年・2/29 を またぐ
2008-03-01	2008-12-31	305	0.83333333333333337	366	False	Double	①同じ年・うるう年・2/29 を またぎません
2008-01-01	2008-02-01	31	0.084699453551912565	366	False	Double	①同じ年・うるう年・2/29 より 前だけ
2009-01-01	2009-12-31	364	0.99726027397260275	365	False	Double	①同じ年・平年・ほぼ 1年
2008-01-01	2008-12-31	365	0.99726775956284153	366	False	Double	①同じ年・うるう年・ほぼ 1年
2008-01-15	2009-01-10	361	0.98633879781420764	366	False	Double	②またぐ・始が うるう年・始は 2/29 より 前
2008-10-15	2009-03-01	137	0.37534246575342467	365	False	Double	②またぐ・始が うるう年・始は 2/29 より 後（測済 365）
2008-02-29	2009-01-15	321	0.87704918032786883	366	False	Double	④始が ちょうど 2/29
2008-02-28	2009-01-15	322	0.8797814207650273	366	False	Double	④始が 2/28（上の 1日 前）
2007-11-20	2008-06-30	223	0.60928961748633881	366	False	Double	③またぐ・終が うるう年・終は 2/29 より 後（測済 366）
2007-11-20	2008-01-15	56	0.15342465753424658	365	False	Double	③またぐ・終が うるう年・終は 2/29 より 前（測済 365）
2007-11-20	2008-02-29	101	0.27595628415300544	366.00000000000006	False	Double	④終が ちょうど 2/29
2007-11-20	2008-02-28	100	0.273972602739726	365	False	Double	④終が 2/28（上の 1日 前）
2007-12-31	2008-03-01	61	0.16666666666666666	366	False	Double	③またぐ・終が うるう年・2/29 を またぐ
2008-03-01	2009-03-01	365	1	365	False	Double	⑤ちょうど 1年（同じ 月日）
2008-03-01	2009-03-02	366	1.0013679890560876	365.5	False	Double	⑤ちょうど 1年 ＋1日
2008-03-01	2009-02-28	364	0.99726027397260275	365	False	Double	⑤ちょうど 1年 ー1日
2009-03-01	2010-03-01	365	1	365	False	Double	⑤ちょうど 1年（どちらも 平年）
2009-03-01	2010-03-02	366	1.0027397260273974	364.99999999999994	False	Double	⑤ちょうど 1年 ＋1日（どちらも 平年）
2007-01-01	2010-01-01	1096	3.0006844626967832	365.25	False	Double	⑥年越え 3年（何年を 平均するか）
2007-06-01	2011-06-01	1461	4.0005476451259581	365.20000000000005	False	Double	⑥年越え 4年
2008-01-01	2009-12-31	730	1.9972640218878248	365.5	False	Double	⑥年越え 2年（前が うるう年）
2009-01-01	2010-12-31	729	1.9972602739726026	365	False	Double	⑥年越え 2年（どちらも 平年）
2010-01-01	2013-01-01	1096	3.0006844626967832	365.25	False	Double	⑥年越え 3年（真ん中に 2012 うるう年）
2011-01-01	2012-01-01	365	1	365	False	Double	⑤ちょうど 1年（終が うるう年の 1/1）
2012-01-01	2013-01-01	366	1	366	False	Double	⑤ちょうど 1年（始が うるう年の 1/1）
2012-03-01	2013-01-01	306	0.83835616438356164	365	False	Double	②またぐ・始が うるう年・2/29 より 後
2012-01-01	2012-12-31	365	0.99726775956284153	366	False	Double	①同じ年・うるう年 2012
2000-01-01	2000-12-31	365	0.99726775956284153	366	False	Double	①同じ年・2000（400で 割れる＝うるう年）
1900-01-01	1900-12-31	365	1	365	False	Double	①同じ年・1900（★Excel は うるう年だと 思って いる★）
2100-01-01	2100-12-31	364	0.99726027397260275	365	False	Double	①同じ年・2100（100で 割れる＝平年）
