# ★予測3関数の 紙を うちの 本番の 道で 押して 突き合わせた★（2026-09-09・2件目）
#
# ★正★ golden-yosoku-3kansuu-2026-09-09.tsv（実Excel の 実測）
# ★押す 道★ 本番と 同じ ①JS層 → ②convertFormula → エンジン
# ★材料は 紙から 読んだ★（32マス）★手で 写して いません★
# ★合う 幅★ 相対 1e-9（★字が そのまま 同じ 物は そのまま 合う★）
#
# 組	式	実Excel	うち	道	判じ	何の 場所
LOGEST	=LOGEST(A1:A6,B1:B6)	2	2	エンジン	合った	★x 1本★・裸
LOGEST	=ROWS(LOGEST(A1:A6,B1:B6))	1	1	エンジン	合った	表の 大きさ（ROWS）
LOGEST	=COLUMNS(LOGEST(A1:A6,B1:B6))	2	2	エンジン	合った	表の 大きさ（COLUMNS）
LOGEST	=INDEX(LOGEST(A1:A6,B1:B6),1,1)	2	2	エンジン	合った	x1本・1行1列
LOGEST	=INDEX(LOGEST(A1:A6,B1:B6),1,2)	0.9999999999999996	1	エンジン	合った	x1本・1行2列
LOGEST	=LOGEST(D1:D6,E1:F6)	0.9695989417818497	0.96959894178	エンジン	合った	★★x 2本（重回帰）★★・裸
LOGEST	=ROWS(LOGEST(D1:D6,E1:F6))	1	1	エンジン	合った	★x2本★ ROWS
LOGEST	=COLUMNS(LOGEST(D1:D6,E1:F6))	3	3	エンジン	合った	★x2本★ COLUMNS
LOGEST	=INDEX(LOGEST(D1:D6,E1:F6),1,1)	0.9695989417818497	0.96959894178	エンジン	合った	★x2本★ 1行1列
LOGEST	=INDEX(LOGEST(D1:D6,E1:F6),1,2)	1.7967759164842778	1.7967759165	エンジン	合った	★x2本★ 1行2列
LOGEST	=INDEX(LOGEST(D1:D6,E1:F6),1,3)	2.065801216583393	2.0658012166	エンジン	合った	★x2本★ 1行3列
TREND	=TREND(A1:A6,B1:B6)	-7.714285714285715	-7.7142857143	エンジン	合った	★x 1本★・裸
TREND	=ROWS(TREND(A1:A6,B1:B6))	6	6	エンジン	合った	表の 大きさ（ROWS）
TREND	=COLUMNS(TREND(A1:A6,B1:B6))	1	1	エンジン	合った	表の 大きさ（COLUMNS）
TREND	=INDEX(TREND(A1:A6,B1:B6),1,1)	-7.714285714285715	-7.7142857143	エンジン	合った	x1本・1つ目
TREND	=INDEX(TREND(A1:A6,B1:B6),6,1)	49.71428571428572	49.714285714	エンジン	合った	x1本・6つ目
TREND	=TREND(A1:A6,B1:B6,H1:H2)	61.2	61.2	エンジン	合った	★新しい x を 渡した★
TREND	=INDEX(TREND(A1:A6,B1:B6,H1:H2),1,1)	61.2	61.2	エンジン	合った	★新しい x★ 1つ目
TREND	=INDEX(TREND(A1:A6,B1:B6,H1:H2),2,1)	72.6857142857143	72.685714286	エンジン	合った	★新しい x★ 2つ目
TREND	=TREND(D1:D6,E1:F6)	-3.2499999999999876	-3.25	エンジン	合った	★★x 2本（重回帰）★★・裸
TREND	=INDEX(TREND(D1:D6,E1:F6),1,1)	-3.2499999999999876	-3.25	エンジン	合った	★x2本★ 1つ目
TREND	=INDEX(TREND(D1:D6,E1:F6),6,1)	46.24999999999999	46.25	エンジン	合った	★x2本★ 6つ目
GROWTH	=GROWTH(A1:A6,B1:B6)	1.9999999999999991	2	エンジン	合った	★x 1本★・裸
GROWTH	=ROWS(GROWTH(A1:A6,B1:B6))	6	6	エンジン	合った	表の 大きさ（ROWS）
GROWTH	=COLUMNS(GROWTH(A1:A6,B1:B6))	1	1	エンジン	合った	表の 大きさ（COLUMNS）
GROWTH	=INDEX(GROWTH(A1:A6,B1:B6),1,1)	1.9999999999999991	2	エンジン	合った	x1本・1つ目
GROWTH	=INDEX(GROWTH(A1:A6,B1:B6),6,1)	64	64	エンジン	合った	x1本・6つ目
GROWTH	=GROWTH(A1:A6,B1:B6,H1:H2)	128.00000000000003	128	エンジン	合った	★新しい x を 渡した★
GROWTH	=INDEX(GROWTH(A1:A6,B1:B6,H1:H2),1,1)	128.00000000000003	128	エンジン	合った	★新しい x★ 1つ目
GROWTH	=INDEX(GROWTH(A1:A6,B1:B6,H1:H2),2,1)	256.00000000000006	256	エンジン	合った	★新しい x★ 2つ目
GROWTH	=GROWTH(D1:D6,E1:F6)	3.48952819965546	3.4895281997	エンジン	合った	★★x 2本（重回帰）★★・裸
GROWTH	=INDEX(GROWTH(D1:D6,E1:F6),1,1)	3.48952819965546	3.4895281997	エンジン	合った	★x2本★ 1つ目
GROWTH	=INDEX(GROWTH(D1:D6,E1:F6),6,1)	59.56795622772211	59.567956228	エンジン	合った	★x2本★ 6つ目
#
# ★★締め★★ 全 33本
#   合った ……………………………………… 33
#   ★#NAME?（在るように 見えて 実は 無い）★ … 0
#   ★値が 違う★ ………………………………… 0
#   ★誤りの 出方が 違う★ ……………………… 0
#   ―― 足すと 33 ／ 全 33本
