# ★取った 紙の「0」を ★2つ目の 窓★で 取り直した★（2026-09-08）
#
# ★★物差しの 欠陥★★
#   `.Value2` は ★0 で ない 値に 0 を 返す★
#   正体 …★最後の 演算が ＋か− の 時だけ、実Excel が ★見せる 時に★ 0 に する★
#     =0.1+0.2-0.3    … .Value2 ★0★ ／ =(式)=0 ★False★ ／ (式)*1e17 5.55
#     =11.1+22.2-33.3 … .Value2 0   ／ =(式)=0 ★True★  ／ (式)*1e17 0
#   ⇒★.Value2 では この 2つが どちらも 0 に 見える★
#
# ★数えた 結果★ 紙 28枚／全 10,775行
#   答えが 0 … ★697行★ ／ 足し引きで 終わる 式 … ★34行★ ／ 両方 … ★22行★
#
# ★★3つの 窓を 同じ 行に 並べた（★後の 人が どちらの 窓か 引き直せる ように★）★★
#   窓① .Value2 ／ 窓② =(式)=0 の 真偽（★本当に 0 か★）／ 窓③ (式)*1e17（★残りの 大きさ★）
#
# ★★土台は 一番 広い 形を 1つ 置いた★★
#   A1:I9 = 行*10+列 ／ A1:A5=1..5 ／ B1:B5=2,4,6,8,10 で 上書き
#   ⇒★元の 紙は 土台が 違う 物が 混ざる★＝★窓①が 元の 紙と 違う 行には 印を 付けた★
#   ⇒★その 行は「土台が 違う」だけかも しれない＝★判じを 保留★★
# 元の紙	式	窓①.Value2	★型★	窓②=0の真偽	窓③*1e17	判じ
golden-2026-09-06.tsv	=INDEX(MUNIT(3),1,2)	0	Number	TRUE	0	本当に 0
golden-hikizan-zero-2026-09-08.tsv	=0.1+0.2-0.3	0	Number	FALSE	5.551115123125783	★★見せかけの 0★★
golden-hikizan-zero-2026-09-08.tsv	=1.1+2.2-3.3	0	Number	FALSE	44.40892098500626	★★見せかけの 0★★
golden-hikizan-zero-2026-09-08.tsv	=11.1+22.2-33.3	0	Number	TRUE	0	本当に 0
golden-hikizan-zero-2026-09-08.tsv	=0.01+0.02-0.03	0	Number	TRUE	0	本当に 0
golden-hikizan-zero-2026-09-08.tsv	=0.001+0.002-0.003	0	Number	TRUE	0	本当に 0
golden-hikizan-zero-2026-09-08.tsv	=1000000.1+2000000.2-3000000.3	0	Number	TRUE	0	本当に 0
golden-hikizan-zero-2026-09-08.tsv	=0.1+0.7-0.8	0	Number	FALSE	-11.102230246251565	★★見せかけの 0★★
golden-hikizan-zero-2026-09-08.tsv	=0.3-0.1-0.2	0	Number	FALSE	-2.7755575615628914	★★見せかけの 0★★
golden-hikizan-zero-2026-09-08.tsv	=1-0.9-0.1	0	Number	FALSE	-2.7755575615628914	★★見せかけの 0★★
golden-hikizan-zero-2026-09-08.tsv	=-0.3+0.1+0.2	0	Number	FALSE	2.7755575615628914	★★見せかけの 0★★
golden-hikizan-zero-2026-09-08.tsv	=(0.1+0.2)-0.3	0	Number	FALSE	5.551115123125783	★★見せかけの 0★★
golden-hikizan-zero-2026-09-08.tsv	=0.1+(0.2-0.3)	0	Number	FALSE	2.7755575615628914	★★見せかけの 0★★
golden-hikizan-zero-2026-09-08.tsv	=((0.1+0.2))-0.3	0	Number	FALSE	5.551115123125783	★★見せかけの 0★★
golden-hikizan-zero-2026-09-08.tsv	=A1+A2-A3	0	Number	TRUE	0	本当に 0
golden-hikizan-zero-2026-09-08.tsv	=(A1+A2)-A3	0	Number	TRUE	0	本当に 0
golden-hikizan-zero-2026-09-08.tsv	=A1+A2-0.3	2.7	Number	FALSE	2.7000000000000003E+17	★土台が 違う（保留）★
golden-hikizan-zero-2026-09-08.tsv	=0.1+0.2-A3	-2.7	Number	FALSE	-2.7000000000000003E+17	★土台が 違う（保留）★
golden-hikizan-zero-2026-09-08.tsv	=SUM(0.1,0.2,-0.3)	0	Number	TRUE	0	本当に 0
golden-hikizan-zero-2026-09-08.tsv	=SUM(A1:A2)-A3	0	Number	TRUE	0	本当に 0
golden-hikizan-zero-2026-09-08.tsv	=1e16+1-1e16	0	Number	TRUE	0	本当に 0
golden-hikizan-zero-2026-09-08.tsv	=0.0000001+0.0000002-0.0000003	0	Number	TRUE	0	本当に 0
golden-hikizan-zero-2026-09-08.tsv	=1e-10+2e-10-3e-10	0	Number	TRUE	0	本当に 0
golden-marume-A-2026-09-08.tsv	=0.1+0.2-0.3	0	Number	FALSE	5.551115123125783	★★見せかけの 0★★
golden-tarinai-91-2026-09-08.tsv	=FREQUENCY("a","a")	0	Number	TRUE	0	本当に 0
golden-tarinai-91-2026-09-08.tsv	=FREQUENCY("a",1)	0	Number	TRUE	0	本当に 0
golden-tarinai-91-2026-09-08.tsv	=LOG10(1)	0	Number	TRUE	0	本当に 0
golden-tarinai-91-2026-09-08.tsv	=LOG10(A1:A5)	0	Number	TRUE	0	本当に 0
golden-tarinai-91-2026-09-08.tsv	=LOG10(A1:A5)	0	Number	TRUE	0	本当に 0
golden-tarinai-91-2026-09-08.tsv	=LOG10(1)	0	Number	TRUE	0	本当に 0
golden-tarinai-91-2026-09-08.tsv	=LOG10(1)	0	Number	TRUE	0	本当に 0
golden-tarinai-91-2026-09-08.tsv	=N("a")	0	Number	TRUE	0	本当に 0
golden-tarinai-91-2026-09-08.tsv	=N("a")	0	Number	TRUE	0	本当に 0
golden-tarinai-91-2026-09-08.tsv	=PERCENTRANK.INC(A1:A5,A1:A5)	0	Number	TRUE	0	本当に 0
golden-tarinai-91-2026-09-08.tsv	=PERCENTRANK.INC(A1:A5,1)	0	Number	TRUE	0	本当に 0
golden-tarinai-91-2026-09-08.tsv	=PERCENTRANK.INC(A1:A5,A1:A5,A1:A5)	0	Number	TRUE	0	本当に 0
golden-tarinai-91-2026-09-08.tsv	=PERCENTRANK.INC(A1:A5,1,1)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=ABS(FALSE)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=ACOS(A1)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=ACOS(A1:A5)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=ACOS(TRUE)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=ACOSH(A1)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=ACOSH(A1:A5)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=ACOSH(TRUE)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=ASIN(FALSE)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=ASINH(FALSE)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=ATAN(FALSE)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=ATANH(FALSE)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=AVEDEV(A1)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=AVEDEV(A2)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=AVEDEV(2)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=AVEDEV(0.5)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=AVEDEV("2024-01-15")	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=AVEDEV("12:30")	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=AVEDEV(D1)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=AVEDEV(TRUE)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=AVEDEV(FALSE)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=AVEDEV(-2)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=AVERAGE(FALSE)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=AVERAGEA(FALSE)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=BESSELK(D1,D2)	8.781798887148534	Number	FALSE	8.781798887148535E+17	★土台が 違う（保留）★
golden-346-2026-09-08.tsv	=BESSELK(D1,2)	3.1697057027512585E-07	Number	FALSE	31697057027.512585	★土台が 違う（保留）★
golden-346-2026-09-08.tsv	=BITAND("101",2)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=BITAND(A1:A5,B1:B5)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=BITAND(A1:A5,2)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=BITAND(D1,2)	2	Number	FALSE	2E+17	★土台が 違う（保留）★
golden-346-2026-09-08.tsv	=BITAND(2,TRUE)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=BITRSHIFT(2,3)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=BITRSHIFT(A1:A5,B1:B5)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=BITRSHIFT(A1:A5,2)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=BITRSHIFT(A1:A5,A1)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=BITXOR(A1:A5,A1)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=CEILING.MATH(FALSE)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=CEILING.PRECISE(FALSE)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=CHIDIST(D1,2)	0.0009118819655545162	Number	FALSE	91188196555451.62	★土台が 違う（保留）★
golden-346-2026-09-08.tsv	=CHIINV(A1:A5,B1:B5)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=CHIINV(A1:A5,2)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=CHIINV(A1:A5,A1)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=CHISQ.DIST.RT(D1,2)	0.0009118819655545162	Number	FALSE	91188196555451.62	★土台が 違う（保留）★
golden-346-2026-09-08.tsv	=CHISQ.INV.RT(A1:A5,B1:B5)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=CHISQ.INV.RT(A1:A5,2)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=CHISQ.INV.RT(A1:A5,A1)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=COUNTBLANK(A1)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=COUNTBLANK(A2)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=COUNTBLANK(A1:A5)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=COUNTBLANK(B1:B5)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=COUNTBLANK(A1:B5)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=COUNTBLANK(D1)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=COUNTIFS(A1:A5,1,B1:B5,1)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=COUNTIFS(D1,D2)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=COUNTIFS(D1,2)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=COVAR(2,3)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=COVAR(0.5,1)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=COVAR(D1,D2)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=COVAR(D1,2)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=COVAR(2.5,1)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=COVARIANCE.P(2,3)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=COVARIANCE.P(0.5,1)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=COVARIANCE.P(D1,D2)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=COVARIANCE.P(D1,2)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=COVARIANCE.P(2.5,1)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=CSCH("2024-01-15")	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=CSCH(D1)	1.6630574382082856E-06	Number	FALSE	166305743820.82855	★土台が 違う（保留）★
golden-346-2026-09-08.tsv	=DAYS(A1:A5,A1)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=DAYS360(A1:A5,A1)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=DB(A1:A5,1,B1:B5,1)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=DDB(A1:A5,1,B1:B5,1)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=DEC2BIN(0.5)	0	String	FALSE	0	★字の "0"（数では ない）★
golden-346-2026-09-08.tsv	=DEC2BIN(0.5,1)	0	String	FALSE	0	★字の "0"（数では ない）★
golden-346-2026-09-08.tsv	=DEC2BIN("12:30")	0	String	FALSE	0	★字の "0"（数では ない）★
golden-346-2026-09-08.tsv	=DEC2HEX(0.5)	0	String	FALSE	0	★字の "0"（数では ない）★
golden-346-2026-09-08.tsv	=DEC2HEX(0.5,1)	0	String	FALSE	0	★字の "0"（数では ない）★
golden-346-2026-09-08.tsv	=DEC2HEX("12:30")	0	String	FALSE	0	★字の "0"（数では ない）★
golden-346-2026-09-08.tsv	=DEC2OCT(0.5)	0	String	FALSE	0	★字の "0"（数では ない）★
golden-346-2026-09-08.tsv	=DEC2OCT(0.5,1)	0	String	FALSE	0	★字の "0"（数では ない）★
golden-346-2026-09-08.tsv	=DEC2OCT("12:30")	0	String	FALSE	0	★字の "0"（数では ない）★
golden-346-2026-09-08.tsv	=DEGREES(FALSE)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=DELTA(A1)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=DELTA(A2)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=DELTA(2)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=DELTA(2,3)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=DELTA(0.5)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=DELTA(0.5,1)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=DELTA("2024-01-15")	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=DELTA("12:30")	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=DELTA("101",2)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=DELTA(D1)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=DELTA(D1,D2)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=DELTA(D1,2)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=DELTA(-2)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=DELTA(2.5,1)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=DEVSQ(A1)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=DEVSQ(A2)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=DEVSQ(2)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=DEVSQ(0.5)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=DEVSQ("2024-01-15")	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=DEVSQ("12:30")	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=DEVSQ(D1)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=DEVSQ(TRUE)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=DEVSQ(FALSE)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=DEVSQ(-2)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=ERF(D1,D2)	0	Number	TRUE	0	本当に 0
golden-346-2026-09-08.tsv	=ERFC("2024-01-15")	0	Number	TRUE	0	本当に 0
