# ★答えを 1度も 確かめていない 関数を 実Excel に 聞いた★
# 取った 日 … 2026-09-08 ／ ★司さん「答え確かめて」★
# ★どの Excel で 打ったか★ … 版 16.0 ／ build 20326
# ★やり方★ 引数の 形を 53 通り 用意し、★実Excel が 誤りに しなかった 形を 全部★ 採る
#   ⇒★人が 決めるのは 形の 候補だけ／どれが 正しいかは 実Excel が 決める★
#   ⇒★1本だけだと『当たり前の 答え』で 通ってしまう★ので ★当たった 形は 全部 残す★
# ★材料★ A1:A5=1..5 ／ B1:B5=2,4,6,8,10 ／ D1=2024/1/1 ／ D2=2026/1/1
# ★数★ 関数 346個 ／ 呼び方が 見つかった 316 個 ／ 見つからない 30 個 ／ 式 3599 本
# ★呼び方が 見つからない★ … 
# ★呼び方が 見つからない★ … BINOM.DIST BINOM.DIST.RANGE BINOM.INV BINOMDIST CRITBINOM CUMIPMT CUMPRINC DAVERAGE DCOUNTA DGET DMAX DMIN DPRODUCT DSTDEV DSTDEVP DVAR DVARP HLOOKUP MAKEARRAY MAP MIRR NEGBINOM.DIST NEGBINOMDIST PERCENTILE.EXC RATE REDUCE SCAN T.TEST TTEST XIRR
# 関数	式	実Excel の 答え	型
ABS	=ABS(A1)	1	Double
ABS	=ABS(A2)	2	Double
ABS	=ABS(A1:A5)	1	Double
ABS	=ABS(B1:B5)	2	Double
ABS	=ABS(2)	2	Double
ABS	=ABS(0.5)	0.5	Double
ABS	=ABS("2024-01-15")	45306	Double
ABS	=ABS("12:30")	0.52083333333333337	Double
ABS	=ABS(D1)	45292	Double
ABS	=ABS(TRUE)	1	Double
ABS	=ABS(FALSE)	0	Double
ABS	=ABS(-2)	2	Double
ACOS	=ACOS(A1)	0	Double
ACOS	=ACOS(A1:A5)	0	Double
ACOS	=ACOS(0.5)	1.0471975511965976	Double
ACOS	=ACOS("12:30")	1.0229694758279471	Double
ACOS	=ACOS(TRUE)	0	Double
ACOS	=ACOS(FALSE)	1.5707963267948966	Double
ACOSH	=ACOSH(A1)	0	Double
ACOSH	=ACOSH(A2)	1.3169578969248166	Double
ACOSH	=ACOSH(A1:A5)	0	Double
ACOSH	=ACOSH(B1:B5)	1.3169578969248166	Double
ACOSH	=ACOSH(2)	1.3169578969248166	Double
ACOSH	=ACOSH("2024-01-15")	11.414341933469631	Double
ACOSH	=ACOSH(D1)	11.414032875872005	Double
ACOSH	=ACOSH(TRUE)	0	Double
ACOT	=ACOT(A1)	0.78539816339744828	Double
ACOT	=ACOT(A2)	0.46364760900080609	Double
ACOT	=ACOT(A1:A5)	0.78539816339744828	Double
ACOT	=ACOT(B1:B5)	0.46364760900080609	Double
ACOT	=ACOT(2)	0.46364760900080609	Double
ACOT	=ACOT(0.5)	1.1071487177940904	Double
ACOT	=ACOT("2024-01-15")	2.2072131722897785E-05	Double
ACOT	=ACOT("12:30")	1.0906212971913698	Double
ACOT	=ACOT(D1)	2.2078954337134736E-05	Double
ACOT	=ACOT(TRUE)	0.78539816339744828	Double
ACOT	=ACOT(FALSE)	1.5707963267948966	Double
ACOT	=ACOT(-2)	2.677945044588987	Double
ACOTH	=ACOTH(A2)	0.54930614433405489	Double
ACOTH	=ACOTH(B1:B5)	0.54930614433405489	Double
ACOTH	=ACOTH(2)	0.54930614433405489	Double
ACOTH	=ACOTH("2024-01-15")	2.2072131730066503E-05	Double
ACOTH	=ACOTH(D1)	2.2078954344310108E-05	Double
ACOTH	=ACOTH(-2)	-0.54930614433405489	Double
ADDRESS	=ADDRESS(2,3)	$C$2	String
ADDRESS	=ADDRESS(2,3,4)	C2	String
