# ★2次元の 範囲を 渡す 式を 今の 道（Formula2）で 取り直した★（68）（2026-09-21）
# ★元の 紙★ ... docs/measured/kansuu46/golden-346-2026-09-08.tsv
# ★★元の 紙は `.Formula`（昔の 道＝溢れない）で 取られて います★★（kansuu46 の 道具 21本とも）
# ★盤面★ A1:A5=1,2,3,4,5 ／ B1:B5=2,4,6,8,10 ／ D1=2024/1/1 ／ D2=2026/1/1
# ★★置き場★★ ... ★式は H列・行1 から 12行 おき★（H1 H13 H25 ほか）
# ★読む 窓★ ... 頭の マスから 8行 x 8列（★窓が 狭いと「溢れが 小さい」と 嘘を 吐きます★）
# ★取り直した 訳★ ... 古い 紙は `.Formula`（昔の 道＝溢れない）で 取って いる
# ★古い 紙は 1文字も 触って いません★（昔の 道の 答えも 残す）
# ★どの Excel か★ ... 版 16.0 ／ build 20326
# ★どの 貝殻か★ ... PowerShell 5.1.26100.9278
# 名前	式	昔の 答え	実Excel（今の 道＝Formula2）	型	=(マス)=0	埋まった数	判じ	中身（|で マス／ / で 行）
AVEDEV	=AVEDEV(A1:B5)	2.2	2.2	Double	False	1	onaji	2.2
AVEDEV	=AVEDEV(A1:B5,2,FALSE)	2.2500000000000004	2.2500000000000004	Double	False	1	onaji	2.25
AVERAGE	=AVERAGE(A1:B5)	4.5	4.5	Double	False	1	onaji	4.5
AVERAGE	=AVERAGE(A1:B5,2,FALSE)	3.9166666666666665	3.9166666666666665	Double	False	1	onaji	3.916667
AVERAGEA	=AVERAGEA(A1:B5)	4.5	4.5	Double	False	1	onaji	4.5
AVERAGEA	=AVERAGEA(A1:B5,2,FALSE)	3.9166666666666665	3.9166666666666665	Double	False	1	onaji	3.916667
COLUMN	=COLUMN(A1:B5)	1	1	Double	False	2	onaji	1|2
COUNTBLANK	=COUNTBLANK(A1:B5)	0	0	Double	True	1	onaji	0
DEVSQ	=DEVSQ(A1:B5)	72.5	72.5	Double	False	1	onaji	72.5
DEVSQ	=DEVSQ(A1:B5,2,FALSE)	94.916666666666671	94.916666666666671	Double	False	1	onaji	94.91667
GCD	=GCD(A1:B5)	1	1	Double	False	1	onaji	1
GEOMEAN	=GEOMEAN(A1:B5)	3.6842682802812221	3.6842682802812221	Double	False	1	onaji	3.684268
HARMEAN	=HARMEAN(A1:B5)	2.9197080291970803	2.9197080291970803	Double	False	1	onaji	2.919708
HSTACK	=HSTACK(A1:B5)	1	1	Double	False	10	onaji	1|2 / 2|4 / 3|6 / 4|8 / 5|10
HSTACK	=HSTACK(A1:B5,2,FALSE)	1	1	Double	False	20	onaji	1|2|2|FALSE / 2|4|#N/A|#N/A / 3|6|#N/A|#N/A / 4|8|#N/A|#N/A / 5|10|#N/A|#N/A
IMPRODUCT	=IMPRODUCT(A1:B5)	460800	460800	String	False	1	onaji	460800
IMSUM	=IMSUM(A1:B5)	45	45	String	False	1	onaji	45
ISBLANK	=ISBLANK(A1:B5)	False	False	Boolean	False	10	onaji	FALSE|FALSE / FALSE|FALSE / FALSE|FALSE / FALSE|FALSE / FALSE|FALSE
ISERR	=ISERR(A1:B5)	True	False	Boolean	False	10	★chigau★	FALSE|FALSE / FALSE|FALSE / FALSE|FALSE / FALSE|FALSE / FALSE|FALSE
ISERROR	=ISERROR(A1:B5)	True	False	Boolean	False	10	★chigau★	FALSE|FALSE / FALSE|FALSE / FALSE|FALSE / FALSE|FALSE / FALSE|FALSE
ISFORMULA	=ISFORMULA(A1:B5)	False	False	Boolean	False	10	onaji	FALSE|FALSE / FALSE|FALSE / FALSE|FALSE / FALSE|FALSE / FALSE|FALSE
ISLOGICAL	=ISLOGICAL(A1:B5)	False	False	Boolean	False	10	onaji	FALSE|FALSE / FALSE|FALSE / FALSE|FALSE / FALSE|FALSE / FALSE|FALSE
ISNA	=ISNA(A1:B5)	False	False	Boolean	False	10	onaji	FALSE|FALSE / FALSE|FALSE / FALSE|FALSE / FALSE|FALSE / FALSE|FALSE
ISNONTEXT	=ISNONTEXT(A1:B5)	True	True	Boolean	False	10	onaji	TRUE|TRUE / TRUE|TRUE / TRUE|TRUE / TRUE|TRUE / TRUE|TRUE
ISNUMBER	=ISNUMBER(A1:B5)	False	True	Boolean	False	10	★chigau★	TRUE|TRUE / TRUE|TRUE / TRUE|TRUE / TRUE|TRUE / TRUE|TRUE
ISOMITTED	=ISOMITTED(A1:B5)	False	False	Boolean	False	1	onaji	FALSE
ISREF	=ISREF(A1:B5)	True	True	Boolean	False	1	onaji	TRUE
ISTEXT	=ISTEXT(A1:B5)	False	False	Boolean	False	10	onaji	FALSE|FALSE / FALSE|FALSE / FALSE|FALSE / FALSE|FALSE / FALSE|FALSE
LCM	=LCM(A1:B5)	120	120	Double	False	1	onaji	120
LINEST	=LINEST(A1:B5)	0.81818181818181823	0.81818181818181823	Double	False	2	onaji	0.818182|0
MAXA	=MAXA(A1:B5)	10	10	Double	False	1	onaji	10
MAXA	=MAXA(A1:B5,2,FALSE)	10	10	Double	False	1	onaji	10
MEDIAN	=MEDIAN(A1:B5)	4	4	Double	False	1	onaji	4
MEDIAN	=MEDIAN(A1:B5,2,FALSE)	3.5	3.5	Double	False	1	onaji	3.5
MIN	=MIN(A1:B5)	1	1	Double	False	1	onaji	1
MIN	=MIN(A1:B5,2,FALSE)	0	0	Double	True	1	onaji	0
MINA	=MINA(A1:B5)	1	1	Double	False	1	onaji	1
MINA	=MINA(A1:B5,2,FALSE)	0	0	Double	True	1	onaji	0
MODE.SNGL	=MODE.SNGL(A1:B5)	2	2	Double	False	1	onaji	2
MODE.SNGL	=MODE.SNGL(A1:B5,2,FALSE)	2	2	Double	False	1	onaji	2
MULTINOMIAL	=MULTINOMIAL(A1:B5)	6.8451163929481654E+35	6.8451163929481654E+35	Double	False	1	onaji	6.85E+35
OR	=OR(A1:B5)	True	True	Boolean	False	1	onaji	TRUE
OR	=OR(A1:B5,2,FALSE)	True	True	Boolean	False	1	onaji	TRUE
PRODUCT	=PRODUCT(A1:B5)	460800	460800	Double	False	1	onaji	460800
PRODUCT	=PRODUCT(A1:B5,2,FALSE)	0	0	Double	True	1	onaji	0
ROW	=ROW(A1:B5)	1	1	Double	False	5	onaji	1 / 2 / 3 / 4 / 5
SHEET	=SHEET(A1:B5)	1	1	Double	False	1	onaji	1
SHEETS	=SHEETS(A1:B5)	1	1	Double	False	1	onaji	1
SKEW	=SKEW(A1:B5)	0.82008341001191332	0.82008341001191332	Double	False	1	onaji	0.820083
SKEW	=SKEW(A1:B5,2,FALSE)	0.84673586213411534	0.84673586213411534	Double	False	1	onaji	0.846736
SKEW.P	=SKEW.P(A1:B5)	0.69155505252143479	0.69155505252143479	Double	False	1	onaji	0.691555
SKEW.P	=SKEW.P(A1:B5,2,FALSE)	0.73698897046966871	0.73698897046966871	Double	False	1	onaji	0.736989
STDEV	=STDEV(A1:B5)	2.8382310609877335	2.8382310609877335	Double	False	1	onaji	2.838231
STDEV	=STDEV(A1:B5,2,FALSE)	2.937479851639476	2.937479851639476	Double	False	1	onaji	2.93748
STDEV.P	=STDEV.P(A1:B5)	2.6925824035672519	2.6925824035672519	Double	False	1	onaji	2.692582
STDEV.P	=STDEV.P(A1:B5,2,FALSE)	2.8124228384477008	2.8124228384477008	Double	False	1	onaji	2.812423
STDEV.S	=STDEV.S(A1:B5)	2.8382310609877335	2.8382310609877335	Double	False	1	onaji	2.838231
STDEV.S	=STDEV.S(A1:B5,2,FALSE)	2.937479851639476	2.937479851639476	Double	False	1	onaji	2.93748
STDEVA	=STDEVA(A1:B5)	2.8382310609877335	2.8382310609877335	Double	False	1	onaji	2.838231
STDEVA	=STDEVA(A1:B5,2,FALSE)	2.937479851639476	2.937479851639476	Double	False	1	onaji	2.93748
STDEVP	=STDEVP(A1:B5)	2.6925824035672519	2.6925824035672519	Double	False	1	onaji	2.692582
STDEVP	=STDEVP(A1:B5,2,FALSE)	2.8124228384477008	2.8124228384477008	Double	False	1	onaji	2.812423
STDEVPA	=STDEVPA(A1:B5)	2.6925824035672519	2.6925824035672519	Double	False	1	onaji	2.692582
STDEVPA	=STDEVPA(A1:B5,2,FALSE)	2.8124228384477008	2.8124228384477008	Double	False	1	onaji	2.812423
SUMSQ	=SUMSQ(A1:B5)	275	275	Double	False	1	onaji	275
SUMSQ	=SUMSQ(A1:B5,2,FALSE)	279	279	Double	False	1	onaji	279
VAR	=VAR(A1:B5)	8.0555555555555554	8.0555555555555554	Double	False	1	onaji	8.055556
VAR	=VAR(A1:B5,2,FALSE)	8.6287878787878771	8.6287878787878771	Double	False	1	onaji	8.628788
VAR.P	=VAR.P(A1:B5)	7.25	7.25	Double	False	1	onaji	7.25
VAR.P	=VAR.P(A1:B5,2,FALSE)	7.9097222222222223	7.9097222222222223	Double	False	1	onaji	7.909722
VAR.S	=VAR.S(A1:B5)	8.0555555555555554	8.0555555555555554	Double	False	1	onaji	8.055556
VAR.S	=VAR.S(A1:B5,2,FALSE)	8.6287878787878771	8.6287878787878771	Double	False	1	onaji	8.628788
VARA	=VARA(A1:B5)	8.0555555555555554	8.0555555555555554	Double	False	1	onaji	8.055556
VARA	=VARA(A1:B5,2,FALSE)	8.6287878787878771	8.6287878787878771	Double	False	1	onaji	8.628788
VARP	=VARP(A1:B5)	7.25	7.25	Double	False	1	onaji	7.25
VARP	=VARP(A1:B5,2,FALSE)	7.9097222222222223	7.9097222222222223	Double	False	1	onaji	7.909722
VARPA	=VARPA(A1:B5)	7.25	7.25	Double	False	1	onaji	7.25
VARPA	=VARPA(A1:B5,2,FALSE)	7.9097222222222223	7.9097222222222223	Double	False	1	onaji	7.909722
VSTACK	=VSTACK(A1:B5)	1	1	Double	False	10	onaji	1|2 / 2|4 / 3|6 / 4|8 / 5|10
VSTACK	=VSTACK(A1:B5,2,FALSE)	1	1	Double	False	14	onaji	1|2 / 2|4 / 3|6 / 4|8 / 5|10 / 2|#N/A / FALSE|#N/A
XOR	=XOR(A1:B5)	False	False	Boolean	False	1	onaji	FALSE
XOR	=XOR(A1:B5,2,FALSE)	True	True	Boolean	False	1	onaji	TRUE
#
# ★★数★★
#   式 ............... 82本
#   ★昔と 同じ★ ..... 79本
#   ★★昔と 違う★★ .. 3本
#   ★★溢れた★★ ..... 16本（★2マス 以上＝昔の 紙は 1マス目しか 見て いない★）
#   打てない .......... 0本
#   ★対照★ SUM(A1:A5)=15（待つ 15）／SEQUENCE(2) の 2マス目=2（待つ 2）⇒ 2/2
#   かかった 秒 ....... 11.1
