# ★実Excel に 打たせた CELL の 答え（2回目・見た目を 細かく）★
# 取った 日 … 2026-09-07
# ★どの Excel で 打ったか★ … 版 16.0 ／ build 20326 ／ UI の 言語 1041
# ①A1〜 に 1234.5678 を 置いて 表示形式を 1つずつ 変えた（式は 英語の 記号で 入れた）
# ②B100〜 に 字/数を 置いて そろえ方を 変えた
# ③C1〜C6 は type/contents の 変わり種
# 関数	式	実Excel の 答え	型	どんな 場面か
CELL	(表示形式を 付けられない)	★付かない★	-	表示形式 General
CELL	=CELL("format",A2)	F0	String	表示形式 0
CELL	=CELL("color",A2)	0	Double	表示形式 0
CELL	=CELL("parentheses",A2)	0	Double	表示形式 0
CELL	=CELL("format",A3)	F2	String	表示形式 0.00
CELL	=CELL("color",A3)	0	Double	表示形式 0.00
CELL	=CELL("parentheses",A3)	0	Double	表示形式 0.00
CELL	=CELL("format",A4)	F3	String	表示形式 0.000
CELL	=CELL("color",A4)	0	Double	表示形式 0.000
CELL	=CELL("parentheses",A4)	0	Double	表示形式 0.000
CELL	=CELL("format",A5)	,0	String	表示形式 #,##0
CELL	=CELL("color",A5)	0	Double	表示形式 #,##0
CELL	=CELL("parentheses",A5)	0	Double	表示形式 #,##0
CELL	=CELL("format",A6)	,2	String	表示形式 #,##0.00
CELL	=CELL("color",A6)	0	Double	表示形式 #,##0.00
CELL	=CELL("parentheses",A6)	0	Double	表示形式 #,##0.00
CELL	=CELL("format",A7)	,0	String	表示形式 $#,##0_);($#,##0)
CELL	=CELL("color",A7)	0	Double	表示形式 $#,##0_);($#,##0)
CELL	=CELL("parentheses",A7)	0	Double	表示形式 $#,##0_);($#,##0)
CELL	=CELL("format",A8)	,2	String	表示形式 $#,##0.00_);($#,##0.00)
CELL	=CELL("color",A8)	0	Double	表示形式 $#,##0.00_);($#,##0.00)
CELL	=CELL("parentheses",A8)	0	Double	表示形式 $#,##0.00_);($#,##0.00)
CELL	(表示形式を 付けられない)	★付かない★	-	表示形式 $#,##0_);[Red]($#,##0)
CELL	(表示形式を 付けられない)	★付かない★	-	表示形式 $#,##0.00_);[Red]($#,##0.00)
CELL	=CELL("format",A11)	P0	String	表示形式 0%
CELL	=CELL("color",A11)	0	Double	表示形式 0%
CELL	=CELL("parentheses",A11)	0	Double	表示形式 0%
CELL	=CELL("format",A12)	P2	String	表示形式 0.00%
CELL	=CELL("color",A12)	0	Double	表示形式 0.00%
CELL	=CELL("parentheses",A12)	0	Double	表示形式 0.00%
CELL	=CELL("format",A13)	S2	String	表示形式 0.00E+00
CELL	=CELL("color",A13)	0	Double	表示形式 0.00E+00
CELL	=CELL("parentheses",A13)	0	Double	表示形式 0.00E+00
CELL	=CELL("format",A14)	G	String	表示形式 # ?/?
CELL	=CELL("color",A14)	0	Double	表示形式 # ?/?
CELL	=CELL("parentheses",A14)	0	Double	表示形式 # ?/?
CELL	=CELL("format",A15)	G	String	表示形式 # ??/??
CELL	=CELL("color",A15)	0	Double	表示形式 # ??/??
CELL	=CELL("parentheses",A15)	0	Double	表示形式 # ??/??
CELL	=CELL("format",A16)	D1	String	表示形式 m/d/yy
CELL	=CELL("color",A16)	0	Double	表示形式 m/d/yy
CELL	=CELL("parentheses",A16)	0	Double	表示形式 m/d/yy
CELL	=CELL("format",A17)	D1	String	表示形式 d-mmm-yy
