# ★実Excel に 打たせた CELL の 答え（3回目・色／かっこ／円／うちの 表示形式）★
# 取った 日 … 2026-09-07
# ★どの Excel で 打ったか★ … 版 16.0 ／ build 20326 ／ UI の 言語 1041
# ★入れ方★ .NumberFormatLocal（日本語の 記号）／\¥ は 円の 記号
# 関数	式	実Excel の 答え	どんな 場面か
CELL	=CELL("format",A1)	G	表示形式 G/標準（実際に 付いた 形 G/標準）
CELL	=CELL("color",A1)	0	表示形式 G/標準（実際に 付いた 形 G/標準）
CELL	=CELL("parentheses",A1)	0	表示形式 G/標準（実際に 付いた 形 G/標準）
CELL	=CELL("format",A2)	C0	表示形式 \¥#,##0（実際に 付いた 形 ¥¥#,##0）
CELL	=CELL("color",A2)	0	表示形式 \¥#,##0（実際に 付いた 形 ¥¥#,##0）
CELL	=CELL("parentheses",A2)	0	表示形式 \¥#,##0（実際に 付いた 形 ¥¥#,##0）
CELL	=CELL("format",A3)	C2	表示形式 \¥#,##0.00（実際に 付いた 形 ¥¥#,##0.00）
CELL	=CELL("color",A3)	0	表示形式 \¥#,##0.00（実際に 付いた 形 ¥¥#,##0.00）
CELL	=CELL("parentheses",A3)	0	表示形式 \¥#,##0.00（実際に 付いた 形 ¥¥#,##0.00）
CELL	=CELL("format",A4)	C0-	表示形式 \¥#,##0;[赤]-\¥#,##0（実際に 付いた 形 ¥¥#,##0;[赤]-¥¥#,##0）
CELL	=CELL("color",A4)	1	表示形式 \¥#,##0;[赤]-\¥#,##0（実際に 付いた 形 ¥¥#,##0;[赤]-¥¥#,##0）
CELL	=CELL("parentheses",A4)	0	表示形式 \¥#,##0;[赤]-\¥#,##0（実際に 付いた 形 ¥¥#,##0;[赤]-¥¥#,##0）
CELL	=CELL("format",A5)	C0-	表示形式 \¥#,##0_);[赤](\¥#,##0)（実際に 付いた 形 ¥¥#,##0_);[赤](¥¥#,##0)）
CELL	=CELL("color",A5)	1	表示形式 \¥#,##0_);[赤](\¥#,##0)（実際に 付いた 形 ¥¥#,##0_);[赤](¥¥#,##0)）
CELL	=CELL("parentheses",A5)	0	表示形式 \¥#,##0_);[赤](\¥#,##0)（実際に 付いた 形 ¥¥#,##0_);[赤](¥¥#,##0)）
CELL	=CELL("format",A6)	F0-	表示形式 0;[赤]0（実際に 付いた 形 0;[赤]0）
CELL	=CELL("color",A6)	1	表示形式 0;[赤]0（実際に 付いた 形 0;[赤]0）
CELL	=CELL("parentheses",A6)	0	表示形式 0;[赤]0（実際に 付いた 形 0;[赤]0）
CELL	=CELL("format",A7)	F2-	表示形式 0.00;[赤]0.00（実際に 付いた 形 0.00;[赤]0.00）
CELL	=CELL("color",A7)	1	表示形式 0.00;[赤]0.00（実際に 付いた 形 0.00;[赤]0.00）
CELL	=CELL("parentheses",A7)	0	表示形式 0.00;[赤]0.00（実際に 付いた 形 0.00;[赤]0.00）
CELL	=CELL("format",A8)	,0-	表示形式 #,##0;[赤]#,##0（実際に 付いた 形 #,##0;[赤]#,##0）
CELL	=CELL("color",A8)	1	表示形式 #,##0;[赤]#,##0（実際に 付いた 形 #,##0;[赤]#,##0）
CELL	=CELL("parentheses",A8)	0	表示形式 #,##0;[赤]#,##0（実際に 付いた 形 #,##0;[赤]#,##0）
CELL	=CELL("format",A9)	,0-	表示形式 #,##0;[赤](#,##0)（実際に 付いた 形 #,##0;[赤](#,##0)）
CELL	=CELL("color",A9)	1	表示形式 #,##0;[赤](#,##0)（実際に 付いた 形 #,##0;[赤](#,##0)）
CELL	=CELL("parentheses",A9)	0	表示形式 #,##0;[赤](#,##0)（実際に 付いた 形 #,##0;[赤](#,##0)）
CELL	=CELL("format",A10)	,0()	表示形式 (#,##0);(#,##0)（実際に 付いた 形 (#,##0);(#,##0)）
CELL	=CELL("color",A10)	0	表示形式 (#,##0);(#,##0)（実際に 付いた 形 (#,##0);(#,##0)）
CELL	=CELL("parentheses",A10)	1	表示形式 (#,##0);(#,##0)（実際に 付いた 形 (#,##0);(#,##0)）
CELL	=CELL("format",A11)	F0()	表示形式 (0);(0)（実際に 付いた 形 (0);(0)）
CELL	=CELL("color",A11)	0	表示形式 (0);(0)（実際に 付いた 形 (0);(0)）
CELL	=CELL("parentheses",A11)	1	表示形式 (0);(0)（実際に 付いた 形 (0);(0)）
CELL	=CELL("format",A12)	,0-()	表示形式 (#,##0);[赤](#,##0)（実際に 付いた 形 (#,##0);[赤](#,##0)）
CELL	=CELL("color",A12)	1	表示形式 (#,##0);[赤](#,##0)（実際に 付いた 形 (#,##0);[赤](#,##0)）
CELL	=CELL("parentheses",A12)	1	表示形式 (#,##0);[赤](#,##0)（実際に 付いた 形 (#,##0);[赤](#,##0)）
CELL	=CELL("format",A13)	F0	表示形式 0_);(0)（実際に 付いた 形 0_);(0)）
CELL	=CELL("color",A13)	0	表示形式 0_);(0)（実際に 付いた 形 0_);(0)）
CELL	=CELL("parentheses",A13)	0	表示形式 0_);(0)（実際に 付いた 形 0_);(0)）
CELL	=CELL("format",A14)	D1	表示形式 yyyy/m/d（実際に 付いた 形 yyyy/m/d）
CELL	=CELL("color",A14)	0	表示形式 yyyy/m/d（実際に 付いた 形 yyyy/m/d）
CELL	=CELL("parentheses",A14)	0	表示形式 yyyy/m/d（実際に 付いた 形 yyyy/m/d）
CELL	=CELL("format",A15)	D1	表示形式 yyyy/mm/dd（実際に 付いた 形 yyyy/mm/dd）
CELL	=CELL("color",A15)	0	表示形式 yyyy/mm/dd（実際に 付いた 形 yyyy/mm/dd）
CELL	=CELL("parentheses",A15)	0	表示形式 yyyy/mm/dd（実際に 付いた 形 yyyy/mm/dd）
CELL	=CELL("format",A16)	D1	表示形式 yyyy-m-d（実際に 付いた 形 yyyy-m-d）
CELL	=CELL("color",A16)	0	表示形式 yyyy-m-d（実際に 付いた 形 yyyy-m-d）
CELL	=CELL("parentheses",A16)	0	表示形式 yyyy-m-d（実際に 付いた 形 yyyy-m-d）
CELL	=CELL("format",A17)	D1	表示形式 yyyy-mm-dd（実際に 付いた 形 yyyy-mm-dd）
CELL	=CELL("color",A17)	0	表示形式 yyyy-mm-dd（実際に 付いた 形 yyyy-mm-dd）
CELL	=CELL("parentheses",A17)	0	表示形式 yyyy-mm-dd（実際に 付いた 形 yyyy-mm-dd）
CELL	=CELL("format",A18)	D1	表示形式 yyyy年m月d日（実際に 付いた 形 yyyy"年"m"月"d"日"）
CELL	=CELL("color",A18)	0	表示形式 yyyy年m月d日（実際に 付いた 形 yyyy"年"m"月"d"日"）
CELL	=CELL("parentheses",A18)	0	表示形式 yyyy年m月d日（実際に 付いた 形 yyyy"年"m"月"d"日"）
CELL	=CELL("format",A19)	D1	表示形式 yyyy年mm月dd日（実際に 付いた 形 yyyy"年"mm"月"dd"日"）
CELL	=CELL("color",A19)	0	表示形式 yyyy年mm月dd日（実際に 付いた 形 yyyy"年"mm"月"dd"日"）
CELL	=CELL("parentheses",A19)	0	表示形式 yyyy年mm月dd日（実際に 付いた 形 yyyy"年"mm"月"dd"日"）
CELL	=CELL("format",A20)	D3	表示形式 m月d日（実際に 付いた 形 m"月"d"日"）
CELL	=CELL("color",A20)	0	表示形式 m月d日（実際に 付いた 形 m"月"d"日"）
CELL	=CELL("parentheses",A20)	0	表示形式 m月d日（実際に 付いた 形 m"月"d"日"）
CELL	=CELL("format",A21)	D3()	表示形式 m月d日(aaa)（実際に 付いた 形 m"月"d"日"(aaa)）
CELL	=CELL("color",A21)	0	表示形式 m月d日(aaa)（実際に 付いた 形 m"月"d"日"(aaa)）
CELL	=CELL("parentheses",A21)	1	表示形式 m月d日(aaa)（実際に 付いた 形 m"月"d"日"(aaa)）
CELL	=CELL("format",A22)	D3	表示形式 m/d（実際に 付いた 形 m/d）
CELL	=CELL("color",A22)	0	表示形式 m/d（実際に 付いた 形 m/d）
CELL	=CELL("parentheses",A22)	0	表示形式 m/d（実際に 付いた 形 m/d）
CELL	=CELL("format",A23)	D3	表示形式 mm/dd（実際に 付いた 形 mm/dd）
CELL	=CELL("color",A23)	0	表示形式 mm/dd（実際に 付いた 形 mm/dd）
CELL	=CELL("parentheses",A23)	0	表示形式 mm/dd（実際に 付いた 形 mm/dd）
CELL	=CELL("format",A24)	D9	表示形式 h:mm（実際に 付いた 形 h:mm）
CELL	=CELL("color",A24)	0	表示形式 h:mm（実際に 付いた 形 h:mm）
CELL	=CELL("parentheses",A24)	0	表示形式 h:mm（実際に 付いた 形 h:mm）
CELL	=CELL("format",A25)	D9	表示形式 hh:mm（実際に 付いた 形 hh:mm）
CELL	=CELL("color",A25)	0	表示形式 hh:mm（実際に 付いた 形 hh:mm）
CELL	=CELL("parentheses",A25)	0	表示形式 hh:mm（実際に 付いた 形 hh:mm）
CELL	=CELL("format",A26)	D9	表示形式 h時mm分（実際に 付いた 形 h"時"mm"分"）
CELL	=CELL("color",A26)	0	表示形式 h時mm分（実際に 付いた 形 h"時"mm"分"）
CELL	=CELL("parentheses",A26)	0	表示形式 h時mm分（実際に 付いた 形 h"時"mm"分"）
