# ★実Excel に 打たせた CELL の 答え（5回目・日付/時刻の 合図を 詰める）★
# 取った 日 … 2026-09-07
# ★どの Excel で 打ったか★ … 版 16.0 ／ build 20326
# ★A列に 45293.5（2024/1/2 12:00）を 置いて 表示形式だけ 変えた★
# 関数	式	実Excel の 答え	どんな 場面か
CELL	=CELL("format",A1)	G	表示形式 yyyy（実際に 付いた 形 yyyy）
CELL	=CELL("color",A1)	0	表示形式 yyyy（実際に 付いた 形 yyyy）
CELL	=CELL("parentheses",A1)	0	表示形式 yyyy（実際に 付いた 形 yyyy）
CELL	=CELL("format",A2)	G	表示形式 yy（実際に 付いた 形 yy）
CELL	=CELL("color",A2)	0	表示形式 yy（実際に 付いた 形 yy）
CELL	=CELL("parentheses",A2)	0	表示形式 yy（実際に 付いた 形 yy）
CELL	=CELL("format",A3)	G	表示形式 mmm（実際に 付いた 形 mmm）
CELL	=CELL("color",A3)	0	表示形式 mmm（実際に 付いた 形 mmm）
CELL	=CELL("parentheses",A3)	0	表示形式 mmm（実際に 付いた 形 mmm）
CELL	=CELL("format",A4)	G	表示形式 mmmm（実際に 付いた 形 mmmm）
CELL	=CELL("color",A4)	0	表示形式 mmmm（実際に 付いた 形 mmmm）
CELL	=CELL("parentheses",A4)	0	表示形式 mmmm（実際に 付いた 形 mmmm）
CELL	=CELL("format",A5)	G	表示形式 dd（実際に 付いた 形 dd）
CELL	=CELL("color",A5)	0	表示形式 dd（実際に 付いた 形 dd）
CELL	=CELL("parentheses",A5)	0	表示形式 dd（実際に 付いた 形 dd）
CELL	=CELL("format",A6)	G	表示形式 d（実際に 付いた 形 d）
CELL	=CELL("color",A6)	0	表示形式 d（実際に 付いた 形 d）
CELL	=CELL("parentheses",A6)	0	表示形式 d（実際に 付いた 形 d）
CELL	=CELL("format",A7)	G	表示形式 aaa（実際に 付いた 形 aaa）
CELL	=CELL("color",A7)	0	表示形式 aaa（実際に 付いた 形 aaa）
CELL	=CELL("parentheses",A7)	0	表示形式 aaa（実際に 付いた 形 aaa）
CELL	=CELL("format",A8)	G	表示形式 aaaa（実際に 付いた 形 aaaa）
CELL	=CELL("color",A8)	0	表示形式 aaaa（実際に 付いた 形 aaaa）
CELL	=CELL("parentheses",A8)	0	表示形式 aaaa（実際に 付いた 形 aaaa）
CELL	=CELL("format",A9)	G	表示形式 ss（実際に 付いた 形 ss）
CELL	=CELL("color",A9)	0	表示形式 ss（実際に 付いた 形 ss）
CELL	=CELL("parentheses",A9)	0	表示形式 ss（実際に 付いた 形 ss）
CELL	=CELL("format",A10)	G	表示形式 mm:ss（実際に 付いた 形 mm:ss）
CELL	=CELL("color",A10)	0	表示形式 mm:ss（実際に 付いた 形 mm:ss）
