# ★実Excel に 打たせた 答え★（入 C:\Users\zeroa\exally-wt-46b\docs\measured\kansuu46\cases-convert.txt）
# 取った 日 … 2026-09-07
# ★どの Excel で 打ったか★ … 版 16.0 ／ build 20326 ／ UI の 言語 1041
# ★読み方★ … 数は .Value2 を 'R'（丸めない 書き方）で 出している
# 関数	式	実Excel の 答え	型
CONVERT	=CONVERT(1,"g","g")	1	Double
CONVERT	=CONVERT(1,"sg","g")	14593.902937206363	Double
CONVERT	=CONVERT(1,"lbm","g")	453.59237	Double
CONVERT	=CONVERT(1,"u","g")	1.660538782E-24	Double
CONVERT	=CONVERT(1,"ozm","g")	28.349523125	Double
CONVERT	=CONVERT(1,"grain","g")	0.06479891	Double
CONVERT	=CONVERT(1,"cwt","g")	45359.237	Double
CONVERT	=CONVERT(1,"shweight","g")	45359.237	Double
CONVERT	=CONVERT(1,"uk_cwt","g")	50802.34544	Double
CONVERT	=CONVERT(1,"lcwt","g")	50802.34544	Double
CONVERT	=CONVERT(1,"hweight","g")	50802.34544	Double
CONVERT	=CONVERT(1,"stone","g")	6350.29318	Double
CONVERT	=CONVERT(1,"ton","g")	907184.74	Double
CONVERT	=CONVERT(1,"uk_ton","g")	1016046.9088	Double
CONVERT	=CONVERT(1,"LTON","g")	1016046.9088	Double
CONVERT	=CONVERT(1,"brton","g")	1016046.9088	Double
CONVERT	=CONVERT(1,"m","m")	1	Double
CONVERT	=CONVERT(1,"mi","m")	1609.344	Double
CONVERT	=CONVERT(1,"Nmi","m")	1852	Double
CONVERT	=CONVERT(1,"in","m")	0.0254	Double
CONVERT	=CONVERT(1,"ft","m")	0.3048	Double
CONVERT	=CONVERT(1,"yd","m")	0.9144	Double
CONVERT	=CONVERT(1,"ang","m")	1E-10	Double
CONVERT	=CONVERT(1,"ell","m")	1.143	Double
CONVERT	=CONVERT(1,"ly","m")	9460730472580800	Double
CONVERT	=CONVERT(1,"parsec","m")	30856775812815532	Double
CONVERT	=CONVERT(1,"pc","m")	30856775812815532	Double
CONVERT	=CONVERT(1,"survey_mi","m")	1609.3472186944373	Double
CONVERT	=CONVERT(1,"Picapt","m")	0.0003527777777777778	Double
CONVERT	=CONVERT(1,"Pica","m")	0.0003527777777777778	Double
CONVERT	=CONVERT(1,"pica","m")	0.004233333333333334	Double
CONVERT	=CONVERT(1,"yr","sec")	31557600	Double
CONVERT	=CONVERT(1,"day","sec")	86400	Double
CONVERT	=CONVERT(1,"d","sec")	86400	Double
CONVERT	=CONVERT(1,"hr","sec")	3600	Double
CONVERT	=CONVERT(1,"mn","sec")	60	Double
CONVERT	=CONVERT(1,"min","sec")	60	Double
CONVERT	=CONVERT(1,"sec","sec")	1	Double
CONVERT	=CONVERT(1,"s","sec")	1	Double
CONVERT	=CONVERT(1,"Pa","Pa")	1	Double
CONVERT	=CONVERT(1,"p","Pa")	1	Double
CONVERT	=CONVERT(1,"atm","Pa")	101325	Double
CONVERT	=CONVERT(1,"at","Pa")	101325	Double
CONVERT	=CONVERT(1,"mmHg","Pa")	133.322	Double
CONVERT	=CONVERT(1,"psi","Pa")	6894.757293168362	Double
CONVERT	=CONVERT(1,"Torr","Pa")	133.32236842105263	Double
CONVERT	=CONVERT(1,"N","N")	1	Double
CONVERT	=CONVERT(1,"dyn","N")	1E-05	Double
CONVERT	=CONVERT(1,"dy","N")	1E-05	Double
CONVERT	=CONVERT(1,"lbf","N")	4.4482216152605005	Double
CONVERT	=CONVERT(1,"pond","N")	0.00980665	Double
CONVERT	=CONVERT(1,"J","J")	1	Double
CONVERT	=CONVERT(1,"e","J")	1E-07	Double
CONVERT	=CONVERT(1,"c","J")	4.184	Double
CONVERT	=CONVERT(1,"cal","J")	4.1868	Double
CONVERT	=CONVERT(1,"eV","J")	1.602176487E-19	Double
CONVERT	=CONVERT(1,"ev","J")	1.602176487E-19	Double
CONVERT	=CONVERT(1,"HPh","J")	2684519.537696173	Double
CONVERT	=CONVERT(1,"hh","J")	2684519.537696173	Double
CONVERT	=CONVERT(1,"Wh","J")	3600	Double
CONVERT	=CONVERT(1,"wh","J")	3600	Double
CONVERT	=CONVERT(1,"flb","J")	1.3558179483314003	Double
CONVERT	=CONVERT(1,"BTU","J")	1055.05585262	Double
CONVERT	=CONVERT(1,"btu","J")	1055.05585262	Double
CONVERT	=CONVERT(1,"HP","W")	745.6998715822702	Double
CONVERT	=CONVERT(1,"h","W")	745.6998715822702	Double
CONVERT	=CONVERT(1,"PS","W")	735.49875	Double
CONVERT	=CONVERT(1,"W","W")	1	Double
CONVERT	=CONVERT(1,"w","W")	1	Double
CONVERT	=CONVERT(1,"T","T")	1	Double
CONVERT	=CONVERT(1,"ga","T")	0.0001	Double
CONVERT	=CONVERT(1,"tsp","l")	0.00492892159375	Double
CONVERT	=CONVERT(1,"tspm","l")	0.005	Double
CONVERT	=CONVERT(1,"tbs","l")	0.01478676478125	Double
CONVERT	=CONVERT(1,"oz","l")	0.0295735295625	Double
CONVERT	=CONVERT(1,"cup","l")	0.2365882365	Double
CONVERT	=CONVERT(1,"pt","l")	0.473176473	Double
CONVERT	=CONVERT(1,"us_pt","l")	0.473176473	Double
CONVERT	=CONVERT(1,"uk_pt","l")	0.56826125	Double
CONVERT	=CONVERT(1,"qt","l")	0.946352946	Double
CONVERT	=CONVERT(1,"uk_qt","l")	1.1365225	Double
CONVERT	=CONVERT(1,"gal","l")	3.785411784	Double
CONVERT	=CONVERT(1,"uk_gal","l")	4.54609	Double
CONVERT	=CONVERT(1,"l","l")	1	Double
CONVERT	=CONVERT(1,"L","l")	1	Double
CONVERT	=CONVERT(1,"lt","l")	1	Double
CONVERT	=CONVERT(1,"ang3","l")	1E-27	Double
CONVERT	=CONVERT(1,"barrel","l")	158.987294928	Double
CONVERT	=CONVERT(1,"bushel","l")	35.23907016688	Double
CONVERT	=CONVERT(1,"ft3","l")	28.316846592	Double
CONVERT	=CONVERT(1,"in3","l")	0.016387064	Double
CONVERT	=CONVERT(1,"ly3","l")	8.467866646237152E+50	Double
CONVERT	=CONVERT(1,"m3","l")	1000	Double
CONVERT	=CONVERT(1,"mi3","l")	4168181825440.5796	Double
CONVERT	=CONVERT(1,"yd3","l")	764.554857984	Double
CONVERT	=CONVERT(1,"Nmi3","l")	6352182208000	Double
CONVERT	=CONVERT(1,"Picapt3","l")	4.39039566186557E-08	Double
CONVERT	=CONVERT(1,"Pica3","l")	4.39039566186557E-08	Double
CONVERT	=CONVERT(1,"GRT","l")	2831.6846592	Double
CONVERT	=CONVERT(1,"regton","l")	2831.6846592	Double
CONVERT	=CONVERT(1,"m2","m2")	1	Double
CONVERT	=CONVERT(1,"mi2","m2")	2589988.110336	Double
CONVERT	=CONVERT(1,"Nmi2","m2")	3429904	Double
CONVERT	=CONVERT(1,"in2","m2")	0.00064516	Double
CONVERT	=CONVERT(1,"ft2","m2")	0.09290304	Double
CONVERT	=CONVERT(1,"yd2","m2")	0.83612736	Double
CONVERT	=CONVERT(1,"ang2","m2")	1E-20	Double
CONVERT	=CONVERT(1,"Picapt2","m2")	1.2445216049382715E-07	Double
CONVERT	=CONVERT(1,"Morgen","m2")	2500	Double
CONVERT	=CONVERT(1,"ar","m2")	100	Double
CONVERT	=CONVERT(1,"uk_acre","m2")	4046.8564224	Double
CONVERT	=CONVERT(1,"us_acre","m2")	4046.8726098742522	Double
CONVERT	=CONVERT(1,"ly2","m2")	8.95054210748189E+31	Double
CONVERT	=CONVERT(1,"ha","m2")	10000	Double
CONVERT	=CONVERT(1,"Pica2","m2")	1.2445216049382715E-07	Double
CONVERT	=CONVERT(1,"bit","bit")	1	Double
CONVERT	=CONVERT(1,"byte","bit")	8	Double
CONVERT	=CONVERT(1,"admkn","m/s")	0.5147733333333333	Double
CONVERT	=CONVERT(1,"kn","m/s")	0.5144444444444445	Double
CONVERT	=CONVERT(1,"m/h","m/s")	0.0002777777777777778	Double
CONVERT	=CONVERT(1,"m/hr","m/s")	0.0002777777777777778	Double
CONVERT	=CONVERT(1,"mph","m/s")	0.44704	Double
CONVERT	=CONVERT(1,"m/s","m/s")	1	Double
CONVERT	=CONVERT(1,"m/sec","m/s")	1	Double
CONVERT	=CONVERT(1,"ang^3","l")	1E-27	Double
CONVERT	=CONVERT(1,"ft^3","l")	28.316846592	Double
CONVERT	=CONVERT(1,"in^3","l")	0.016387064	Double
CONVERT	=CONVERT(1,"ly^3","l")	8.467866646237152E+50	Double
CONVERT	=CONVERT(1,"m^3","l")	1000	Double
CONVERT	=CONVERT(1,"mi^3","l")	4168181825440.5796	Double
CONVERT	=CONVERT(1,"yd^3","l")	764.554857984	Double
CONVERT	=CONVERT(1,"Nmi^3","l")	6352182208000	Double
CONVERT	=CONVERT(1,"Picapt^3","l")	4.39039566186557E-08	Double
CONVERT	=CONVERT(1,"Pica^3","l")	4.39039566186557E-08	Double
CONVERT	=CONVERT(1,"m^2","m2")	1	Double
CONVERT	=CONVERT(1,"mi^2","m2")	2589988.110336	Double
CONVERT	=CONVERT(1,"Nmi^2","m2")	3429904	Double
CONVERT	=CONVERT(1,"in^2","m2")	0.00064516	Double
CONVERT	=CONVERT(1,"ft^2","m2")	0.09290304	Double
CONVERT	=CONVERT(1,"yd^2","m2")	0.83612736	Double
CONVERT	=CONVERT(1,"ang^2","m2")	1E-20	Double
CONVERT	=CONVERT(1,"Picapt^2","m2")	1.2445216049382715E-07	Double
CONVERT	=CONVERT(1,"ly^2","m2")	8.95054210748189E+31	Double
CONVERT	=CONVERT(1,"Pica^2","m2")	1.2445216049382715E-07	Double
CONVERT	=CONVERT(1,"Ym","m")	1E+24	Double
CONVERT	=CONVERT(1,"Ybit","bit")	1E+24	Double
CONVERT	=CONVERT(1,"Zm","m")	1E+21	Double
CONVERT	=CONVERT(1,"Zbit","bit")	1E+21	Double
CONVERT	=CONVERT(1,"Em","m")	1E+18	Double
CONVERT	=CONVERT(1,"Ebit","bit")	1E+18	Double
CONVERT	=CONVERT(1,"Pm","m")	1000000000000000	Double
CONVERT	=CONVERT(1,"Pbit","bit")	1000000000000000	Double
CONVERT	=CONVERT(1,"Tm","m")	1000000000000	Double
CONVERT	=CONVERT(1,"Tbit","bit")	1000000000000	Double
CONVERT	=CONVERT(1,"Gm","m")	1000000000	Double
