# ★実Excel に 打たせた 答え★（入 C:\Users\zeroa\exally-wt-46b\docs\measured\kansuu46\cases-convert3.txt）
# 取った 日 … 2026-09-07
# ★どの Excel で 打ったか★ … 版 16.0 ／ build 20326 ／ UI の 言語 1041
# ★読み方★ … 数は .Value2 を 'R'（丸めない 書き方）で 出している
# 関数	式	実Excel の 答え	型
CONVERT	=CONVERT(1,"kBTU","BTU")	#N/A	error値
CONVERT	=CONVERT(1,"kGRT","GRT")	#N/A	error値
CONVERT	=CONVERT(1,"kHP","HP")	#N/A	error値
CONVERT	=CONVERT(1,"kHPh","HPh")	#N/A	error値
CONVERT	=CONVERT(1,"kJ","J")	1000	Double
CONVERT	=CONVERT(1,"kL","L")	1000	Double
CONVERT	=CONVERT(1,"kLTON","LTON")	#N/A	error値
CONVERT	=CONVERT(1,"kMorgen","Morgen")	#N/A	error値
CONVERT	=CONVERT(1,"kN","N")	1000	Double
CONVERT	=CONVERT(1,"kNmi","Nmi")	#N/A	error値
CONVERT	=CONVERT(1,"kNmi2","Nmi2")	#N/A	error値
CONVERT	=CONVERT(1,"kNmi3","Nmi3")	#N/A	error値
CONVERT	=CONVERT(1,"kNmi^2","Nmi^2")	#N/A	error値
CONVERT	=CONVERT(1,"kNmi^3","Nmi^3")	#N/A	error値
CONVERT	=CONVERT(1,"kPS","PS")	#N/A	error値
CONVERT	=CONVERT(1,"kPa","Pa")	1000	Double
CONVERT	=CONVERT(1,"kPica","Pica")	#N/A	error値
CONVERT	=CONVERT(1,"kPica2","Pica2")	#N/A	error値
CONVERT	=CONVERT(1,"kPica3","Pica3")	#N/A	error値
CONVERT	=CONVERT(1,"kPica^2","Pica^2")	#N/A	error値
CONVERT	=CONVERT(1,"kPica^3","Pica^3")	#N/A	error値
CONVERT	=CONVERT(1,"kPicapt","Picapt")	#N/A	error値
CONVERT	=CONVERT(1,"kPicapt2","Picapt2")	#N/A	error値
CONVERT	=CONVERT(1,"kPicapt3","Picapt3")	#N/A	error値
CONVERT	=CONVERT(1,"kPicapt^2","Picapt^2")	#N/A	error値
CONVERT	=CONVERT(1,"kPicapt^3","Picapt^3")	#N/A	error値
CONVERT	=CONVERT(1,"kT","T")	1000	Double
CONVERT	=CONVERT(1,"kTorr","Torr")	#N/A	error値
CONVERT	=CONVERT(1,"kW","W")	1000	Double
CONVERT	=CONVERT(1,"kWh","Wh")	1000	Double
CONVERT	=CONVERT(1,"kadmkn","admkn")	#N/A	error値
CONVERT	=CONVERT(1,"kang","ang")	1000	Double
CONVERT	=CONVERT(1,"kang2","ang2")	1000000	Double
CONVERT	=CONVERT(1,"kang3","ang3")	1000000000	Double
CONVERT	=CONVERT(1,"kang^2","ang^2")	1000000	Double
CONVERT	=CONVERT(1,"kang^3","ang^3")	1000000000	Double
CONVERT	=CONVERT(1,"kar","ar")	1000	Double
CONVERT	=CONVERT(1,"kat","at")	1000	Double
CONVERT	=CONVERT(1,"katm","atm")	1000	Double
CONVERT	=CONVERT(1,"kbit","bit")	1000	Double
CONVERT	=CONVERT(1,"kbrton","brton")	#N/A	error値
CONVERT	=CONVERT(1,"kbtu","btu")	#N/A	error値
CONVERT	=CONVERT(1,"kbyte","byte")	1000	Double
CONVERT	=CONVERT(1,"kc","c")	1000	Double
CONVERT	=CONVERT(1,"kcal","cal")	1000	Double
CONVERT	=CONVERT(1,"kcup","cup")	#N/A	error値
CONVERT	=CONVERT(1,"kcwt","cwt")	#N/A	error値
CONVERT	=CONVERT(1,"kd","d")	#N/A	error値
CONVERT	=CONVERT(1,"kday","day")	#N/A	error値
CONVERT	=CONVERT(1,"kdy","dy")	1000	Double
CONVERT	=CONVERT(1,"kdyn","dyn")	1000	Double
CONVERT	=CONVERT(1,"ke","e")	1000	Double
CONVERT	=CONVERT(1,"keV","eV")	1000	Double
CONVERT	=CONVERT(1,"kell","ell")	#N/A	error値
CONVERT	=CONVERT(1,"kev","ev")	1000	Double
CONVERT	=CONVERT(1,"kflb","flb")	#N/A	error値
CONVERT	=CONVERT(1,"kft","ft")	#N/A	error値
CONVERT	=CONVERT(1,"kft2","ft2")	#N/A	error値
CONVERT	=CONVERT(1,"kft3","ft3")	#N/A	error値
CONVERT	=CONVERT(1,"kft^2","ft^2")	#N/A	error値
CONVERT	=CONVERT(1,"kft^3","ft^3")	#N/A	error値
CONVERT	=CONVERT(1,"kg","g")	1000	Double
CONVERT	=CONVERT(1,"kga","ga")	1000	Double
CONVERT	=CONVERT(1,"kgrain","grain")	#N/A	error値
CONVERT	=CONVERT(1,"kh","h")	#N/A	error値
CONVERT	=CONVERT(1,"kha","ha")	#N/A	error値
CONVERT	=CONVERT(1,"khh","hh")	#N/A	error値
CONVERT	=CONVERT(1,"khr","hr")	#N/A	error値
CONVERT	=CONVERT(1,"khweight","hweight")	#N/A	error値
CONVERT	=CONVERT(1,"kin","in")	#N/A	error値
CONVERT	=CONVERT(1,"kin2","in2")	#N/A	error値
CONVERT	=CONVERT(1,"kin3","in3")	#N/A	error値
CONVERT	=CONVERT(1,"kin^2","in^2")	#N/A	error値
