# ★引数の 見張りの 境目を 実Excel に 聞いた★（2026-09-08）
# ★どこから 断るかは ★私が 決めない＝実Excel の 答えの 通り★
# ★境目の 前後を 必ず 両方★ … -2 -1 -0.5 0 0.5 1 1.5 2 2.5 3 3.5 4 5 6 45294
# ★物差し★ 表を 返す 式は =INDEX(式,1,1)（★溢れさせない★）
# ★土台★ A1:A5=1..5 / B1:B5=2,4,6,8,10
# 関数	式	実Excel の 答え	型	渡した数	どの引数
TOCOL	=TOCOL(A1:B5,-2)	#VALUE!	Error	-2	TOCOL の 2番目（無視する 印）
TOCOL	=TOCOL(A1:B5,-1)	#VALUE!	Error	-1	TOCOL の 2番目（無視する 印）
TOCOL	=TOCOL(A1:B5,-0.5)	1	Double	-0.5	TOCOL の 2番目（無視する 印）
TOCOL	=TOCOL(A1:B5,0)	1	Double	0	TOCOL の 2番目（無視する 印）
TOCOL	=TOCOL(A1:B5,0.5)	1	Double	0.5	TOCOL の 2番目（無視する 印）
TOCOL	=TOCOL(A1:B5,1)	1	Double	1	TOCOL の 2番目（無視する 印）
TOCOL	=TOCOL(A1:B5,1.5)	1	Double	1.5	TOCOL の 2番目（無視する 印）
TOCOL	=TOCOL(A1:B5,2)	1	Double	2	TOCOL の 2番目（無視する 印）
TOCOL	=TOCOL(A1:B5,2.5)	1	Double	2.5	TOCOL の 2番目（無視する 印）
TOCOL	=TOCOL(A1:B5,3)	1	Double	3	TOCOL の 2番目（無視する 印）
TOCOL	=TOCOL(A1:B5,3.5)	1	Double	3.5	TOCOL の 2番目（無視する 印）
TOCOL	=TOCOL(A1:B5,4)	#VALUE!	Error	4	TOCOL の 2番目（無視する 印）
TOCOL	=TOCOL(A1:B5,5)	#VALUE!	Error	5	TOCOL の 2番目（無視する 印）
TOCOL	=TOCOL(A1:B5,6)	#VALUE!	Error	6	TOCOL の 2番目（無視する 印）
TOCOL	=TOCOL(A1:B5,45294)	#VALUE!	Error	45294	TOCOL の 2番目（無視する 印）
TOROW	=TOROW(A1:B5,-2)	#VALUE!	Error	-2	TOROW の 2番目（無視する 印）
TOROW	=TOROW(A1:B5,-1)	#VALUE!	Error	-1	TOROW の 2番目（無視する 印）
TOROW	=TOROW(A1:B5,-0.5)	1	Double	-0.5	TOROW の 2番目（無視する 印）
TOROW	=TOROW(A1:B5,0)	1	Double	0	TOROW の 2番目（無視する 印）
TOROW	=TOROW(A1:B5,0.5)	1	Double	0.5	TOROW の 2番目（無視する 印）
TOROW	=TOROW(A1:B5,1)	1	Double	1	TOROW の 2番目（無視する 印）
TOROW	=TOROW(A1:B5,1.5)	1	Double	1.5	TOROW の 2番目（無視する 印）
TOROW	=TOROW(A1:B5,2)	1	Double	2	TOROW の 2番目（無視する 印）
