# ★答えを 1度も 確かめていない 関数を 実Excel に 聞いた★
# 取った 日 … 2026-09-08 ／ ★司さん「答え確かめて」★
# ★どの Excel で 打ったか★ … 版 16.0 ／ build 20326
# ★やり方★ 引数の 形を 95 通り 用意し、★実Excel が 誤りに しなかった 形を 全部★ 採る
#   ⇒★人が 決めるのは 形の 候補だけ／どれが 正しいかは 実Excel が 決める★
#   ⇒★1本だけだと『当たり前の 答え』で 通ってしまう★ので ★当たった 形は 全部 残す★
# ★材料★ A1:A5=1..5 ／ B1:B5=2,4,6,8,10 ／ D1=2024/1/1 ／ D2=2026/1/1
# ★★材料（機械が 読む）★★ … #材料<タブ>マス<タブ>値<タブ>型（★Excel から 読み返した 値★）
# ★数★ 関数 2個 ／ 呼び方が 見つかった 2 個 ／ 見つからない 0 個 ／ 式 36 本
# ★呼び方が 見つからない★ … 

#材料	A1	1	数
#材料	A2	2	数
#材料	A3	3	数
#材料	A4	4	数
#材料	A5	5	数
#材料	B1	2	数
#材料	B2	4	数
#材料	B3	6	数
#材料	B4	8	数
#材料	B5	10	数
#材料	D1	45292	数
#材料	D2	46023	数
# 関数	式	実Excel の 答え	型
INDEX	=INDEX(0.5,1)	0.5	Double
INDEX	=INDEX("あ",1)	あ	String
INDEX	=INDEX(A1:A5,B1:B5)	2	Double
INDEX	=INDEX(A1:A5,2)	2	Double
INDEX	=INDEX(A1:A5,A1)	1	Double
INDEX	=INDEX(2,TRUE)	2	Double
INDEX	=INDEX(A1:A5,B1:B5,1)	2	Double
INDEX	=INDEX(2.5,1)	2.5	Double
INDEX	=INDEX(A1,A1:A5,0)	1	Double
INDEX	=INDEX(9,A1:A5)	9	Double
INDEX	=INDEX(",",TRUE,A1:A5)	,	String
INDEX	=INDEX(A1:A5,A1:A5>2)	1	Double
INDEX	=INDEX(A1:A5,0.5)	1	Double
INDEX	=INDEX(A1:A5,B1:B5,1,1)	2	Double
INDEX	=INDEX(TRUE,1)	True	Boolean
INDEX	=INDEX(D1,1)	45292	Double
INDEX	=INDEX(A1:A5,1,0)	1	Double
INDEX	=INDEX(10,0.5,0.5)	10	Double
INDEX	=INDEX(A1:B5,1,A1:A2)	1	Double
INDEX	=INDEX(3,A1:A5,0)	3	Double
INDEX	=INDEX(3,A1:A5,1)	3	Double
INDEX	=INDEX(0,A1:A5,1)	0	Double
INDEX	=INDEX(9,A1:A5,0)	9	Double
INDEX	=INDEX("あ",A1:A5,0)	あ	String
INDEX	=INDEX(A1:A5,3)	3	Double
INDEX	=INDEX(A1:B5,2,2)	4	Double
INDEX	=INDEX(A1:B5,0,2)	2	Double
INDEX	=INDEX(A1:A5,0)	1	Double
MATCH	=MATCH(A1:A5,A1)	1	Double
MATCH	=MATCH(A1,A1:A5,B1:B5)	1	Double
MATCH	=MATCH(A1,A1:A5,0)	1	Double
MATCH	=MATCH(9,A1:A5)	5	Double
MATCH	=MATCH(3,A1:A5,0)	3	Double
MATCH	=MATCH(3,A1:A5,1)	3	Double
MATCH	=MATCH(2,B1:B5,0)	1	Double
MATCH	=MATCH(5,B1:B5,1)	2	Double
