# ★INDEX と MATCH の 決まりを 実Excel に 聞いた★（2026-09-15）
#   ★総当たりの 紙（golden-index-match2-2026-09-15.tsv）には 字の 表が 1つも 在りません★
#   ＝★客の 使い方（字で 探して 隣を 取る）が 1本も 測れて いない★ ので 別に 取った。
# ★どの Excel で 打ったか★ … 版 16.0 ／ build 20326
# ★★打った マスを 1本ずつ 書いて います★★（1列目）
#   ＝実Excel は ★四角を 1つの 値に 詰める 時、式の 行／列と 交わる 所★を 採ります（暗黙の 交わり）
#   ⇒★★突き合わせる 側も 同じ マスに 打って ください★★（H1 の 紙を A10 で 押すと 答えが 変わります）
# ★前の 式の 跡を 消してから 打ち、CalculateFull してから 読んで います★
#   ＝2026-09-15、消さずに 測る 道具が ★同じ 式に 2回で 違う 答え★を 返しました
# ★★材料（機械が 読む）★★ … #材料<タブ>マス<タブ>値<タブ>型（★Excel から 読み返した 値★）
#材料	A1	1	数
#材料	A2	2	数
#材料	A3	3	数
#材料	A4	4	数
#材料	A5	5	数
#材料	B1	2	数
#材料	B2	4	数
#材料	B3	6	数
#材料	B4	8	数
#材料	B5	10	数
#材料	C1	5	数
#材料	C2	4	数
#材料	C3	3	数
#材料	C4	2	数
#材料	C5	1	数
#材料	D1	apple	字
#材料	D2	Banana	字
#材料	D3	cherry	字
#材料	D4	date	字
#材料	D5	egg	字
#材料	E1	10	数
#材料	E2	30	数
#材料	E3	20	数
#材料	E4		空
#材料	E5	50	数
#材料	G1	TRUE	真偽
#材料	G2	FALSE	真偽
# 打ったマス	式	実Excel の 答え	型	何を 測って いるか
J1	=MATCH("banana",D1:D5,0)	2	Double	字の ぴたり＝大文字小文字を 区別するか
J1	=MATCH("BANANA",D1:D5,0)	2	Double	同上（全部 大文字）
J1	=MATCH("cherry",D1:D5,0)	3	Double	字の ぴたり（そのまま）
J1	=MATCH("b*",D1:D5,0)	2	Double	ワイルドカード ＊
J1	=MATCH("?anana",D1:D5,0)	2	Double	ワイルドカード ？
J1	=MATCH("z*",D1:D5,0)	#N/A	error値	ワイルドカードで 見つからない
J1	=MATCH(3,C1:C5,-1)	3	Double	降順＋型 -1（決まり通り）
J1	=MATCH(3,C1:C5,1)	3	Double	降順に 型 1（決まりを 破ると どうなる）
J1	=MATCH(20,E1:E5,0)	3	Double	並んで いない＋ぴたり
J1	=MATCH(20,E1:E5,1)	3	Double	並んで いない＋型 1
J1	=MATCH(3,A1:A5,2)	3	Double	型 2（-1/0/1 の 外）
J1	=MATCH(3,A1:A5,-2)	#N/A	error値	型 -2
J1	=MATCH(3,A1:A5,0.5)	3	Double	型 0.5（小数）
J1	=MATCH(3,A1:A5,1.9)	3	Double	型 1.9
J1	=MATCH(3,A1:A5,-0.5)	#N/A	error値	型 -0.5
J1	=MATCH(TRUE,G1:G2,0)	1	Double	真偽を 探す
J1	=MATCH("3",A1:A5,0)	#N/A	error値	字で 数を 探す
J1	=MATCH(3,"3",0)	#N/A	error値	数で 字を 探す
J1	=MATCH(3,{1,2,3,4,5},0)	3	Double	直に 書いた 表
J1	=MATCH(4,E1:E5,0)	#N/A	error値	空マスを 跨いで 無い
J1	=MATCH("",D1:D5,0)	#N/A	error値	空の 字
J1	=MATCH(1,A1:A5,-1)	1	Double	昇順に 型 -1（先頭が 当たる）
J1	=MATCH(5,A1:A5,1)	5	Double	一番 後ろ
J1	=MATCH(30,E1:E5,0)	2	Double	空マスの 手前
J1	=MATCH(50,E1:E5,0)	5	Double	空マスの 後ろ
J1	=INDEX(D1:D5,2)	Banana	String	字を 返す
J1	=INDEX(E1:E5,4)	0	Double	★空マスを 指す★（0 か 空か）
J1	=INDEX(E1:E5,4)&"|"	|	String	同上＝字に した時の 見え方
J1	=ISBLANK(INDEX(E1:E5,4))	TRUE	Boolean	同上＝空の マスとして 見えるか（★参照か★）
J1	=INDEX(A1:A5,1.9)	1	Double	小数の 行番号
J1	=INDEX(A1:A5,"2")	2	Double	字の 行番号
J1	=INDEX(A1:A5,TRUE)	1	Double	真偽の 行番号
J1	=INDEX(A1:B5,3)	#REF!	error値	2次元に 番号 1つ
J1	=INDEX(A1:B5,2,2)	4	Double	行と 列
J1	=INDEX(A1:A5)	★受け付けない★	-	引数 1つ
J1	=INDEX(A1:B5,0,0)	#VALUE!	error値	行も 列も 0
J1	=INDEX(A1:B5,1,1,1)	1	Double	4つ目＝区画 1
J1	=INDEX(A1:B5,1,1,2)	#REF!	error値	区画が 外
J1	=SUM(INDEX(A1:B5,0,2))	30	Double	★参照を 返して いるか★（縦 まるごとを 足す）
J1	=SUM(INDEX(A1:B5,2,0))	6	Double	★横 まるごとを 足す★
J1	=COUNT(INDEX(A1:B5,0,1))	5	Double	まるごとの 個数
J1	=ROWS(INDEX(A1:B5,0,2))	5	Double	まるごとの 行数
J1	=COLUMNS(INDEX(A1:B5,2,0))	2	Double	まるごとの 列数
J1	=CELL("address",INDEX(A1:B5,2,2))	$B$2	String	★1マスでも 参照か★（決め手）
J1	=SUM(INDEX(A1:A5,2):A5)	14	Double	★INDEX の 答えに : が 使えるか★
J1	=ROW(INDEX(A1:B5,3,2))	3	Double	★参照の 行番号★
J1	=INDEX(A1:B5,0,2)	2	Double	暗黙の 交わり … 行1 に 打つ
J3	=INDEX(A1:B5,0,2)	6	Double	同じ 式を 行3 に 打つ
J9	=INDEX(A1:B5,0,2)	#VALUE!	error値	同じ 式を 行9（材料の 外）に 打つ
A8	=INDEX(A1:B5,2,0)	2	Double	横 まるごとを 列A に 打つ
B8	=INDEX(A1:B5,2,0)	4	Double	同じ 式を 列B に 打つ
J1	=INDEX(B1:B5,MATCH(3,A1:A5,0))	6	Double	★客の 使い方★ INDEX＋MATCH（数）
J1	=INDEX(B1:B5,MATCH("cherry",D1:D5,0))	6	Double	★客の 使い方★ INDEX＋MATCH（字）
J1	=IFERROR(INDEX(B1:B5,MATCH(99,A1:A5,0)),"ない")	ない	String	★客の 使い方★ 見つからない時
J1	=INDEX(B1:B5,MATCH(99,A1:A5,0))	#N/A	error値	同上＝IFERROR で 包まない と
