# ★答えを 1度も 確かめていない 関数を 実Excel に 聞いた★
# 取った 日 … 2026-09-08 ／ ★司さん「答え確かめて」★
# ★どの Excel で 打ったか★ … 版 16.0 ／ build 20326
# ★やり方★ 引数の 形を 101 通り 用意し、★実Excel が 誤りに しなかった 形を 全部★ 採る
#   ⇒★人が 決めるのは 形の 候補だけ／どれが 正しいかは 実Excel が 決める★
#   ⇒★1本だけだと『当たり前の 答え』で 通ってしまう★ので ★当たった 形は 全部 残す★
# ★材料★ A1:A5=1..5 ／ B1:B5=2,4,6,8,10 ／ D1=2024/1/1 ／ D2=2026/1/1
# ★★式を 打った マス★★ … H1（★どこに 打ったかで 答えが 変わる 式が 在ります★）
#   ＝実Excel は ★四角を 1つの 値に 詰める 時、式の 行／列と 交わる 所★を 採ります（暗黙の 交わり）
#   例）=INDEX(A1:B5,0,2) は B1:B5（縦）→ ★式の 行＝1★ → B1 → 2
#      =INDEX(A1:B5,2,0) は A2:B2（横）→ ★式の 列＝H★ → A:B と 交わらない → ★#VALUE!★
#   ⇒★この 紙で 突き合わせる 時は 式を ★1行目・A〜B の 外の 列★に 打って ください★
# ★★材料（機械が 読む）★★ … #材料<タブ>マス<タブ>値<タブ>型（★Excel から 読み返した 値★）
# ★誤りも 残したか★ … ★残した（-誤りも残す）＝「正しい 誤り」も 紙に 在ります★
# ★数★ 関数 2個 ／ 呼び方が 見つかった 2 個 ／ 見つからない 0 個 ／ 式 138 本
# ★呼び方が 見つからない★ … 
# ★★2026-09-21 追記（経営者1）── ★この 紙は `.Formula`（★昔の 道★）で 取って います★★
#   ＝`docs/measured/kansuu46/` の 道具 21本は `Formula2` を ★1本も 使って いません★
#   ＝`.Formula` は ★溢れません★（2026-09-19 実測）＝★暗黙の 交わりで 1マス★
#   ⇒★範囲を 渡した 式の 答えは ★1マス目だけ★です（★間違いでは なく 足りない★）
#   ⇒★実測（2026-09-21）★ この 紙の 範囲を 渡す 812本を `Formula2` で 打ち直すと
#      ★昔と 同じ 809本／★違う 3本★（ISERR/ISERROR/ISNUMBER の A1:B5）／★溢れた 416本★
#   ⇒★新しい 道の 紙★ ... docs/measured/golden-furui-kami-torinaoshi-2026-09-21.tsv
#   ⇒★この 紙を 物差しに する 試験は ★昔の 道を 守って います★★

#材料	A1	1	数
#材料	A2	2	数
#材料	A3	3	数
#材料	A4	4	数
#材料	A5	5	数
#材料	B1	2	数
#材料	B2	4	数
#材料	B3	6	数
#材料	B4	8	数
#材料	B5	10	数
#材料	D1	45292	数
#材料	D2	46023	数
# 関数	式	実Excel の 答え	型
INDEX	=INDEX(2,3)	#REF!	error値
INDEX	=INDEX(2,3,4)	#REF!	error値
INDEX	=INDEX(2,3,4,5)	#REF!	error値
INDEX	=INDEX(0.5,1)	0.5	Double
INDEX	=INDEX(0.5,1,2)	#REF!	error値
INDEX	=INDEX(0.5,1,2,3)	#REF!	error値
INDEX	=INDEX("あ","い")	#VALUE!	error値
INDEX	=INDEX("あ",1)	あ	String
INDEX	=INDEX("あ",1,2)	#REF!	error値
INDEX	=INDEX("あいう",2)	#REF!	error値
INDEX	=INDEX("あいう",2,1)	#REF!	error値
INDEX	=INDEX("101",2)	#REF!	error値
INDEX	=INDEX(A1:A5,B1:B5)	2	Double
INDEX	=INDEX(A1:A5,2)	2	Double
INDEX	=INDEX(A1:A5,2,3)	#REF!	error値
INDEX	=INDEX(A1:B5,2,FALSE)	#VALUE!	error値
INDEX	=INDEX(A1:A5,A1)	1	Double
INDEX	=INDEX(A1:A5,"<3")	#VALUE!	error値
INDEX	=INDEX(A1:A5,"<3",B1:B5)	#VALUE!	error値
INDEX	=INDEX(A1:A5,1,B1:B5,1)	#REF!	error値
INDEX	=INDEX(D1,D2)	#REF!	error値
INDEX	=INDEX(D1,2)	#REF!	error値
INDEX	=INDEX(D1,D2,1)	#REF!	error値
INDEX	=INDEX(D1,D2,0)	#REF!	error値
INDEX	=INDEX(2,TRUE)	2	Double
INDEX	=INDEX(2,3,TRUE)	#REF!	error値
INDEX	=INDEX(A1:A5,B1:B5,1)	2	Double
INDEX	=INDEX(2.5,1)	2.5	Double
INDEX	=INDEX(A1,A1:A5,B1:B5)	#REF!	error値
INDEX	=INDEX(A1,A1:B5,2,FALSE)	#VALUE!	error値
INDEX	=INDEX(A1,A1:B5,2)	#VALUE!	error値
INDEX	=INDEX(A1,A1:A5,0)	1	Double
INDEX	=INDEX(9,A1:A5)	9	Double
INDEX	=INDEX(",",TRUE,A1:A5)	,	String
INDEX	=INDEX(A1:A5,A1:A5>2)	1	Double
INDEX	=INDEX(A1:A5,0.5)	1	Double
INDEX	=INDEX(A1:A5,B1:B5,1,1)	2	Double
INDEX	=INDEX(A1:B5,1,D1:D2)	#REF!	error値
INDEX	=INDEX(TRUE,1)	True	Boolean
INDEX	=INDEX(TRUE,1,2)	#REF!	error値
INDEX	=INDEX(1/0,2)	#DIV/0!	error値
INDEX	=INDEX(D1,1)	45292	Double
INDEX	=INDEX(0.05,12,100)	#REF!	error値
INDEX	=INDEX(A1:A5,1,0)	1	Double
INDEX	=INDEX(10,0.5,0.5)	10	Double
