# ★ISOMITTED の「本当の 使い方」を 実Excel に 聞いた★（2026-09-08）
# ★金の紙 16本は 全部 LAMBDA の 外＝本当の 仕事を 1本も 測っていなかった★（指示役）
# ★★1列目を 他の 20枚と 揃えた（2026-09-08）★★
#   ⇒ 前は 1列目が ★札★だったので ★grep で 数える 道具から 16行 全部 漏れた★
#   ⇒ 指示役「★道具に 合わせて 中身を 捨てるのでは なく 中身を 残して 形を 揃える★」
#   ⇒ だから ★札は 消さず 5列目へ 移した★
# 関数	式	実Excel の 答え	型	★札★
# ★★2026-09-21 追記（経営者1）── ★この 紙は `.Formula`（★昔の 道★）で 取って います★★
#   ＝`docs/measured/kansuu46/` の 道具 21本は `Formula2` を ★1本も 使って いません★
#   ＝`.Formula` は ★溢れません★（2026-09-19 実測）＝★暗黙の 交わりで 1マス★
#   ⇒★範囲を 渡した 式の 答えは ★1マス目だけ★です（★間違いでは なく 足りない★）
#   ⇒★実測（2026-09-21）★ この 紙の 範囲を 渡す 812本を `Formula2` で 打ち直すと
#      ★昔と 同じ 809本／★違う 3本★（ISERR/ISERROR/ISNUMBER の A1:B5）／★溢れた 416本★
#   ⇒★新しい 道の 紙★ ... docs/measured/golden-furui-kami-torinaoshi-2026-09-21.tsv
#   ⇒★この 紙を 物差しに する 試験は ★昔の 道を 守って います★★
LAMBDA	=LAMBDA(x,y,ISOMITTED(y))(1,2)	False	Boolean	LAMBDA の 中・渡した
LAMBDA	=LAMBDA(x,y,ISOMITTED(y))(1)	#VALUE!	Error	LAMBDA の 中・★省いた★
LAMBDA	=LAMBDA(x,ISOMITTED(x))(1)	False	Boolean	LAMBDA の 中・1つ 渡した
LAMBDA	=LAMBDA(x,ISOMITTED(x))(C1)	False	Boolean	LAMBDA の 中・★空のマス★
LAMBDA	=LAMBDA(x,ISOMITTED(x))(A1)	False	Boolean	LAMBDA の 中・値の在るマス
LAMBDA	=LAMBDA(x,y,IF(ISOMITTED(y),"ナシ",y))(1)	#VALUE!	Error	LAMBDA の 中・省いて IF
LAMBDA	=LAMBDA(x,y,IF(ISOMITTED(y),"ナシ",y))(1,9)	9	Double	LAMBDA の 中・渡して IF
LET	=LET(x,1,ISOMITTED(x))	False	Boolean	LET の 中
ISOMITTED	=ISOMITTED()	★実Excel が 受け付けない★	Rejected	裸（引数なし）
ISOMITTED	=ISOMITTED(C1)	False	Boolean	LAMBDA の 外・空のマス
ISOMITTED	=ISOMITTED(A1)	False	Boolean	LAMBDA の 外・値のマス
LAMBDA	=LAMBDA(x,y,ISOMITTED(y))(1,)	True	Boolean	★カンマで 省く★ (1,)
LAMBDA	=LAMBDA(x,y,IF(ISOMITTED(y),"ナシ",y))(1,)	ナシ	String	★カンマで 省く★ (1,) と IF
LAMBDA	=LAMBDA(x,y,ISOMITTED(x))(,2)	True	Boolean	★カンマで 省く★ (,2) 前を
LAMBDA	=LAMBDA(x,y,ISOMITTED(y))(,2)	False	Boolean	★カンマで 省く★ (,2) 後を
LAMBDA	=LAMBDA(x,y,z,ISOMITTED(y))(1,,3)	True	Boolean	★3つ中 真ん中を 省く★
