# ★JS層の 36個を 実Excel に 聞いた★（2026-09-08）
# ★JS層が 受ける 26個の うち 確かめたのは 2個だけ／死にコードだった 12個は 全部 0本★
# ★1列目＝式の 一番外側の 関数名★（他の 21枚と 同じ 形）
# ★土台★ A1:A5=1..5 / B1:B5=2,4,6,8,10 / C1=0 C2=3 C3=0.1 C4=0.2 C5=1 / F1:I3=台 / K1:K2=条件
# ★数★ 関数 36個 ／ 呼び方あり 32個 ／ なし 4個 ／ 式 103本
# 関数	式	実Excel の 答え	型
XLOOKUP	=XLOOKUP(3,A1:A5,B1:B5)	6	Double
XLOOKUP	=XLOOKUP(A1,0,0,2,2)	2	Double
N	=N(A1:A5)	1	Double
N	=N(2)	2	Double
N	=N(5)	5	Double
N	=N(TRUE)	1	Double
N	=N("あ")	0	Double
N	=N(A1)	1	Double
N	=N(C1)	0	Double
N	=N(A1:B2)	1	Double
DATESTRING	=DATESTRING(A1:A5)	明治33年01月01日	String
DATESTRING	=DATESTRING(2)	明治33年01月02日	String
DATESTRING	=DATESTRING(5)	明治33年01月05日	String
DATESTRING	=DATESTRING(TRUE)	明治33年01月01日	String
DATESTRING	=DATESTRING(A1)	明治33年01月01日	String
DATESTRING	=DATESTRING(C1)	明治33年01月00日	String
OFFSET	=OFFSET(A1,0,0)	1	Double
FREQUENCY	=FREQUENCY(A1:A5,B1:B5)	2	Double
FREQUENCY	=FREQUENCY(A1:A5,2)	2	Double
FREQUENCY	=FREQUENCY(A1:A5,0.2)	0	Double
FREQUENCY	=FREQUENCY(3,A1:A5)	0	Double
FREQUENCY	=FREQUENCY(5,2)	0	Double
FREQUENCY	=FREQUENCY(A1:A5,LAMBDA(x,x*2))	0	Double
PERCENTILE	=PERCENTILE(A1:A5,0.2)	1.8	Double
PERCENTILE	=PERCENTILE(3,A1:A5)	3	Double
QUARTILE	=QUARTILE(A1:A5,B1:B5)	3	Double
QUARTILE	=QUARTILE(A1:A5,2)	3	Double
QUARTILE	=QUARTILE(A1:A5,0.2)	1	Double
QUARTILE	=QUARTILE(3,A1:A5)	3	Double
QUARTILE	=QUARTILE(5,2)	5	Double
DSUM	=DSUM(F1:I3,"数",K1:K2)	30	Double
DSUM	=DSUM(F1:I3,3,K1:K2)	30	Double
DAVERAGE	=DAVERAGE(F1:I3,"数",K1:K2)	15	Double
DAVERAGE	=DAVERAGE(F1:I3,3,K1:K2)	15	Double
DCOUNT	=DCOUNT(F1:I3,"数",K1:K2)	2	Double
DCOUNT	=DCOUNT(F1:I3,3,K1:K2)	2	Double
DCOUNTA	=DCOUNTA(F1:I3,"数",K1:K2)	2	Double
DCOUNTA	=DCOUNTA(F1:I3,3,K1:K2)	2	Double
DMAX	=DMAX(F1:I3,"数",K1:K2)	20	Double
DMAX	=DMAX(F1:I3,3,K1:K2)	20	Double
DMIN	=DMIN(F1:I3,"数",K1:K2)	10	Double
DMIN	=DMIN(F1:I3,3,K1:K2)	10	Double
DPRODUCT	=DPRODUCT(F1:I3,"数",K1:K2)	200	Double
DPRODUCT	=DPRODUCT(F1:I3,3,K1:K2)	200	Double
DSTDEV	=DSTDEV(F1:I3,"数",K1:K2)	7.07106781186548	Double
DSTDEV	=DSTDEV(F1:I3,3,K1:K2)	7.07106781186548	Double
DSTDEVP	=DSTDEVP(F1:I3,"数",K1:K2)	5	Double
